symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
KONA,2010-01-04,2.91,3.17,2.91,3.15,9800,2.91,0.0,3.17,2.91,3.15,1.0,9800
KONA,2010-01-05,2.96,3.05,2.94,2.94,3500,2.96,0.0,3.05,2.94,2.94,1.0,3500
KONA,2010-01-06,2.96,3.02,2.96,3.02,3400,2.96,0.0,3.02,2.96,3.02,1.0,3400
KONA,2010-01-07,2.972,3.012,2.97,2.99,2400,2.972,0.0,3.012,2.97,2.99,1.0,2400
KONA,2010-01-08,3.028,3.028,2.97,2.97,2300,3.028,0.0,3.028,2.97,2.97,1.0,2300
KONA,2010-01-11,2.95,3.036,2.95,3.0,5500,2.95,0.0,3.036,2.95,3.0,1.0,5500
KONA,2010-01-12,2.92,3.08,2.86,3.04,7000,2.92,0.0,3.08,2.86,3.04,1.0,7000
KONA,2010-01-13,3.01,3.11,2.957,2.957,3600,3.01,0.0,3.11,2.957,2.957,1.0,3600
KONA,2010-01-14,2.96,3.12,2.85,3.05,34800,2.96,0.0,3.12,2.85,3.05,1.0,34800
KONA,2010-01-15,3.04,3.09,2.99,3.0,4400,3.04,0.0,3.09,2.99,3.0,1.0,4400
KONA,2010-01-19,3.36,3.36,3.04,3.08,14200,3.36,0.0,3.36,3.04,3.08,1.0,14200
KONA,2010-01-20,3.27,3.38,3.2,3.38,10400,3.27,0.0,3.38,3.2,3.38,1.0,10400
KONA,2010-01-21,3.19,3.25,3.19,3.2,1600,3.19,0.0,3.25,3.19,3.2,1.0,1600
KONA,2010-01-22,3.374,3.4,3.23,3.23,1800,3.374,0.0,3.4,3.23,3.23,1.0,1800
KONA,2010-01-25,3.1,3.39,3.09,3.36,4800,3.1,0.0,3.39,3.09,3.36,1.0,4800
KONA,2010-01-26,3.22,3.25,3.0001,3.03,2400,3.22,0.0,3.25,3.0001,3.03,1.0,2400
KONA,2010-01-27,3.21,3.25,3.13,3.13,2300,3.21,0.0,3.25,3.13,3.13,1.0,2300
KONA,2010-01-28,3.391,3.44,3.1001,3.25,5900,3.391,0.0,3.44,3.1001,3.25,1.0,5900
KONA,2010-01-29,3.68,3.68,3.39,3.39,9700,3.68,0.0,3.68,3.39,3.39,1.0,9700
KONA,2010-02-01,3.49,3.64,3.36,3.52,7100,3.49,0.0,3.64,3.36,3.52,1.0,7100
KONA,2010-02-02,3.6399,3.6399,3.28,3.43,5000,3.6399,0.0,3.6399,3.28,3.43,1.0,5000
KONA,2010-02-03,3.55,3.55,3.39,3.39,700,3.55,0.0,3.55,3.39,3.39,1.0,700
KONA,2010-02-04,3.33,3.5,3.33,3.5,3500,3.33,0.0,3.5,3.33,3.5,1.0,3500
KONA,2010-02-05,3.34,3.48,3.34,3.48,2700,3.34,0.0,3.48,3.34,3.48,1.0,2700
KONA,2010-02-08,3.4,3.42,3.16,3.16,4200,3.4,0.0,3.42,3.16,3.16,1.0,4200
KONA,2010-02-09,3.12,3.38,3.12,3.38,15000,3.12,0.0,3.38,3.12,3.38,1.0,15000
KONA,2010-02-10,3.2,3.37,3.12,3.16,3300,3.2,0.0,3.37,3.12,3.16,1.0,3300
KONA,2010-02-11,3.0,3.06,2.95,3.01,12000,3.0,0.0,3.06,2.95,3.01,1.0,12000
KONA,2010-02-12,3.03,3.03,2.9601,2.9601,2800,3.03,0.0,3.03,2.9601,2.9601,1.0,2800
KONA,2010-02-16,3.1799,3.29,3.02,3.02,700,3.1799,0.0,3.29,3.02,3.02,1.0,700
KONA,2010-02-17,3.1,3.12,3.0,3.1035,4700,3.1,0.0,3.12,3.0,3.1035,1.0,4700
KONA,2010-02-18,3.19,3.2,3.13,3.13,2500,3.19,0.0,3.2,3.13,3.13,1.0,2500
KONA,2010-02-19,3.32,3.38,3.3,3.35,3400,3.32,0.0,3.38,3.3,3.35,1.0,3400
KONA,2010-02-22,3.25,3.37,3.25,3.37,3000,3.25,0.0,3.37,3.25,3.37,1.0,3000
KONA,2010-02-23,3.2,3.25,3.17,3.17,4200,3.2,0.0,3.25,3.17,3.17,1.0,4200
KONA,2010-02-24,3.25,3.39,3.0301,3.0301,19900,3.25,0.0,3.39,3.0301,3.0301,1.0,19900
KONA,2010-02-25,3.25,3.25,3.15,3.15,800,3.25,0.0,3.25,3.15,3.15,1.0,800
KONA,2010-02-26,3.25,3.25,3.1,3.18,11500,3.25,0.0,3.25,3.1,3.18,1.0,11500
KONA,2010-03-01,3.2499,3.25,3.24,3.25,5900,3.2499,0.0,3.25,3.24,3.25,1.0,5900
KONA,2010-03-02,3.25,3.25,3.25,3.25,1000,3.25,0.0,3.25,3.25,3.25,1.0,1000
KONA,2010-03-03,3.2338,3.25,3.2338,3.24,4000,3.2338,0.0,3.25,3.2338,3.24,1.0,4000
KONA,2010-03-04,3.24,3.25,3.24,3.25,3500,3.24,0.0,3.25,3.24,3.25,1.0,3500
KONA,2010-03-05,3.25,3.35,3.23,3.25,5500,3.25,0.0,3.35,3.23,3.25,1.0,5500
KONA,2010-03-08,3.25,3.25,3.23,3.23,1200,3.25,0.0,3.25,3.23,3.23,1.0,1200
KONA,2010-03-09,3.2299,3.25,3.21,3.23,4300,3.2299,0.0,3.25,3.21,3.23,1.0,4300
KONA,2010-03-10,3.25,3.28,3.21,3.24,13900,3.25,0.0,3.28,3.21,3.24,1.0,13900
KONA,2010-03-11,3.25,3.25,3.23,3.25,4000,3.25,0.0,3.25,3.23,3.25,1.0,4000
KONA,2010-03-12,3.4,3.55,3.2101,3.25,14500,3.4,0.0,3.55,3.2101,3.25,1.0,14500
KONA,2010-03-15,3.35,3.4,3.35,3.39,3700,3.35,0.0,3.4,3.35,3.39,1.0,3700
