symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
KONE,2010-05-14,39.4,41.5,38.0,40.0,109703,3.94,0.0,4.15,3.8,4.0,1.0,1097034
KONE,2010-05-17,35.3,39.699,32.5,39.699,9099,3.53,0.0,3.9699,3.25,3.9699,1.0,90997
KONE,2010-05-18,33.0,36.6,32.5,35.9,5442,3.3,0.0,3.66,3.25,3.59,1.0,54420
KONE,2010-05-19,31.8,34.9,31.6,34.9,10177,3.18,0.0,3.49,3.16,3.49,1.0,101770
KONE,2010-05-20,29.5,31.8,29.5,31.8,13149,2.95,0.0,3.18,2.95,3.18,1.0,131497
KONE,2010-05-21,32.0,33.0,29.0,29.0,3139,3.2,0.0,3.3,2.9,2.9,1.0,31392
KONE,2010-05-24,29.2,32.9,29.2,32.9,3313,2.92,0.0,3.29,2.92,3.29,1.0,33135
KONE,2010-05-25,29.6,31.3,29.201,31.3,2609,2.96,0.0,3.13,2.9201,3.13,1.0,26093
KONE,2010-05-26,30.4,34.499,29.9,32.1,1840,3.04,0.0,3.4499,2.99,3.21,1.0,18400
KONE,2010-05-27,30.0,33.299,29.4,32.1,2190,3.0,0.0,3.3299,2.94,3.21,1.0,21905
KONE,2010-05-28,31.1,33.0,29.1,29.1,3444,3.11,0.0,3.3,2.91,2.91,1.0,34447
KONE,2010-06-01,30.0,31.9,29.503,31.9,866,3.0,0.0,3.19,2.9503,3.19,1.0,8661
KONE,2010-06-02,29.4,30.1,28.0,30.0,1420,2.94,0.0,3.01,2.8,3.0,1.0,14200
KONE,2010-06-03,29.9,30.0,28.9,29.5,90,2.99,0.0,3.0,2.89,2.95,1.0,900
KONE,2010-06-04,27.5,30.5,27.5,30.0,735,2.75,0.0,3.05,2.75,3.0,1.0,7350
KONE,2010-06-07,27.701,30.4,27.701,30.4,1110,2.7701,0.0,3.04,2.7701,3.04,1.0,11104
KONE,2010-06-08,26.6,27.5,25.3,27.45,1447,2.66,0.0,2.75,2.53,2.745,1.0,14478
KONE,2010-06-09,24.6,25.639,24.6,25.3,2176,2.46,0.0,2.5639,2.46,2.53,1.0,21760
KONE,2010-06-10,26.0,27.899,24.2,24.2,2478,2.6,0.0,2.7899,2.42,2.42,1.0,24781
KONE,2010-06-11,26.5,27.4,26.0,27.4,863,2.65,0.0,2.74,2.6,2.74,1.0,8636
KONE,2010-06-14,25.7,27.5,25.0,27.5,1161,2.57,0.0,2.75,2.5,2.75,1.0,11613
KONE,2010-06-15,28.2,29.9,27.4,27.499,4678,2.82,0.0,2.99,2.74,2.7499,1.0,46788
KONE,2010-06-16,28.0,29.2,26.2,28.7,1830,2.8,0.0,2.92,2.62,2.87,1.0,18300
KONE,2010-06-17,26.401,27.9,26.401,27.9,689,2.6401,0.0,2.79,2.6401,2.79,1.0,6896
KONE,2010-06-18,29.4,29.7,26.5,26.9,2180,2.94,0.0,2.97,2.65,2.69,1.0,21800
KONE,2010-06-21,28.6,28.7,27.0,28.1,1607,2.86,0.0,2.87,2.7,2.81,1.0,16070
KONE,2010-06-22,27.7,28.0,27.4,28.0,409,2.77,0.0,2.8,2.74,2.8,1.0,4090
KONE,2010-06-23,28.1,28.4,27.6,28.4,150,2.81,0.0,2.84,2.76,2.84,1.0,1500
KONE,2010-06-24,28.0,35.101,27.0,30.4,31002,2.8,0.0,3.5101,2.7,3.04,1.0,310023
KONE,2010-06-25,27.801,28.9,27.8,28.05,2592,2.7801,0.0,2.89,2.78,2.805,1.0,25920
KONE,2010-06-28,27.499,28.014,27.2,28.0,2617,2.7499,0.0,2.8014,2.72,2.8,1.0,26171
KONE,2010-06-29,26.2,27.6,26.0,27.1,1134,2.62,0.0,2.76,2.6,2.71,1.0,11347
KONE,2010-06-30,25.601,28.55,25.0,26.1,1613,2.5601,0.0,2.855,2.5,2.61,1.0,16136
KONE,2010-07-01,24.2,27.8,22.312,25.8,3899,2.42,0.0,2.78,2.2312,2.58,1.0,38992
KONE,2010-07-02,23.7,28.0,23.7,24.8,4328,2.37,0.0,2.8,2.37,2.48,1.0,43285
KONE,2010-07-06,23.7,24.712,23.7,24.7,2649,2.37,0.0,2.4712,2.37,2.47,1.0,26499
KONE,2010-07-07,24.1,25.4,23.11,25.4,1614,2.41,0.0,2.54,2.311,2.54,1.0,16141
KONE,2010-07-08,25.0,25.5,24.1,24.5,1902,2.5,0.0,2.55,2.41,2.45,1.0,19026
KONE,2010-07-09,26.3,27.0,24.0,24.1,1228,2.63,0.0,2.7,2.4,2.41,1.0,12288
KONE,2010-07-12,26.0,26.37,26.0,26.0,275,2.6,0.0,2.637,2.6,2.6,1.0,2750
KONE,2010-07-13,26.0,26.0,25.5,26.0,1735,2.6,0.0,2.6,2.55,2.6,1.0,17350
KONE,2010-07-14,26.5,27.499,26.1,26.1,837,2.65,0.0,2.7499,2.61,2.61,1.0,8376
KONE,2010-07-15,25.8,27.2,25.8,27.2,965,2.58,0.0,2.72,2.58,2.72,1.0,9650
KONE,2010-07-16,25.0,25.6,24.499,25.6,4421,2.5,0.0,2.56,2.4499,2.56,1.0,44216
KONE,2010-07-19,24.8,25.9,24.7,24.7,460,2.48,0.0,2.59,2.47,2.47,1.0,4600
KONE,2010-07-20,24.9,25.0,24.5,24.5,610,2.49,0.0,2.5,2.45,2.45,1.0,6100
KONE,2010-07-21,24.3,25.0,24.3,24.401,665,2.43,0.0,2.5,2.43,2.4401,1.0,6650
KONE,2010-07-22,23.5,25.499,23.5,24.5,8739,2.35,0.0,2.5499,2.35,2.45,1.0,87399
KONE,2010-07-23,23.9,24.201,22.6,23.999,22180,2.39,0.0,2.4201,2.26,2.3999,1.0,221800
KONE,2010-07-26,24.5,25.0,24.199,24.3,4834,2.45,0.0,2.5,2.4199,2.43,1.0,48340
KONE,2010-07-27,24.5,25.2,24.1,24.1,4336,2.45,0.0,2.52,2.41,2.41,1.0,43360
KONE,2010-07-28,23.8,24.0,23.505,24.0,1420,2.38,0.0,2.4,2.3505,2.4,1.0,14200
KONE,2010-07-29,24.4,25.2,23.8,24.499,3350,2.44,0.0,2.52,2.38,2.4499,1.0,33500
KONE,2010-07-30,24.2,25.5,23.899,23.899,1690,2.42,0.0,2.55,2.3899,2.3899,1.0,16902
KONE,2010-08-02,25.6,25.6,24.2,24.2,875,2.56,0.0,2.56,2.42,2.42,1.0,8750
KONE,2010-08-03,26.2,28.0,26.2,26.7,9472,2.62,0.0,2.8,2.62,2.67,1.0,94724
KONE,2010-08-04,26.2,26.9,26.1,26.3,1852,2.62,0.0,2.69,2.61,2.63,1.0,18528
KONE,2010-08-05,25.6,26.5,25.6,26.2,2445,2.56,0.0,2.65,2.56,2.62,1.0,24450
KONE,2010-08-06,25.2,26.503,25.2,25.6,2665,2.52,0.0,2.6503,2.52,2.56,1.0,26655
KONE,2010-08-09,24.8,25.4,24.69,25.1,1380,2.48,0.0,2.54,2.469,2.51,1.0,13800
KONE,2010-08-10,24.2,26.2,24.1,24.201,2450,2.42,0.0,2.62,2.41,2.4201,1.0,24500
KONE,2010-08-11,23.7,24.34,23.7,24.34,760,2.37,0.0,2.434,2.37,2.434,1.0,7600
KONE,2010-08-12,22.1,23.7,21.6,23.7,11453,2.21,0.0,2.37,2.16,2.37,1.0,114534
KONE,2010-08-13,22.6,24.59,22.4,22.4,10884,2.26,0.0,2.459,2.24,2.24,1.0,108842
KONE,2010-08-16,24.1,24.901,22.9,22.9,7174,2.41,0.0,2.4901,2.29,2.29,1.0,71742
KONE,2010-08-17,24.2,24.5,24.1,24.1,590,2.42,0.0,2.45,2.41,2.41,1.0,5900
KONE,2010-08-18,24.2,25.0,23.7,24.5,1027,2.42,0.0,2.5,2.37,2.45,1.0,10270
KONE,2010-08-19,23.8,24.2,23.124,23.7,27510,2.38,0.0,2.42,2.3124,2.37,1.0,275100
KONE,2010-08-20,23.5,25.0,23.3,23.3,1601,2.35,0.0,2.5,2.33,2.33,1.0,16012
KONE,2010-08-23,22.4,23.239,22.4,23.0,2410,2.24,0.0,2.3239,2.24,2.3,1.0,24100
KONE,2010-08-24,22.5,22.6,22.1,22.4,7975,2.25,0.0,2.26,2.21,2.24,1.0,79750
KONE,2010-08-25,22.9,23.5,22.2,22.5,1222,2.29,0.0,2.35,2.22,2.25,1.0,12221
KONE,2010-08-26,22.0,23.299,21.999,22.6,3601,2.2,0.0,2.3299,2.1999,2.26,1.0,36010
KONE,2010-08-27,21.7,22.5,21.5,22.0,11446,2.17,0.0,2.25,2.15,2.2,1.0,114469
KONE,2010-08-30,21.6,22.0,21.497,22.0,1030,2.16,0.0,2.2,2.1497,2.2,1.0,10309
KONE,2010-08-31,22.5,22.665,22.0,22.4,3868,2.25,0.0,2.2665,2.2,2.24,1.0,38686
KONE,2010-09-01,22.0,22.5,21.8,22.5,1795,2.2,0.0,2.25,2.18,2.25,1.0,17955
KONE,2010-09-02,22.5,23.0,21.999,22.0,3675,2.25,0.0,2.3,2.1999,2.2,1.0,36757
KONE,2010-09-03,23.5,23.5,23.0,23.499,739,2.35,0.0,2.35,2.3,2.3499,1.0,7390
KONE,2010-09-07,23.899,23.899,22.8,23.0,722,2.3899,0.0,2.3899,2.28,2.3,1.0,7228
KONE,2010-09-08,22.5,23.0,22.452,23.0,760,2.25,0.0,2.3,2.2452,2.3,1.0,7600
KONE,2010-09-09,24.2,24.6,23.0,23.0,29945,2.42,0.0,2.46,2.3,2.3,1.0,299458
KONE,2010-09-10,24.0,24.6,24.0,24.5,3644,2.4,0.0,2.46,2.4,2.45,1.0,36449
KONE,2010-09-13,22.9,23.801,22.9,23.8,6254,2.29,0.0,2.3801,2.29,2.38,1.0,62540
KONE,2010-09-14,23.2,24.0,22.6,23.7,5440,2.32,0.0,2.4,2.26,2.37,1.0,54400
KONE,2010-09-15,23.5,24.0,23.5,24.0,99,2.35,0.0,2.4,2.35,2.4,1.0,990
