symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
KRNT,2015-04-02,14.0,14.67,11.76,12.0,3064280,14.0,0.0,14.67,11.76,12.0,1.0,3064280
KRNT,2015-04-06,13.53,14.25,13.35,13.75,238938,13.53,0.0,14.25,13.35,13.75,1.0,238938
KRNT,2015-04-07,13.84,13.89,13.0305,13.28,113577,13.84,0.0,13.89,13.0305,13.28,1.0,113577
KRNT,2015-04-08,13.56,14.0,13.421,13.99,73960,13.56,0.0,14.0,13.421,13.99,1.0,73960
KRNT,2015-04-09,13.54,13.8,13.5,13.58,45667,13.54,0.0,13.8,13.5,13.58,1.0,45667
KRNT,2015-04-10,14.44,14.92,13.53,13.53,104963,14.44,0.0,14.92,13.53,13.53,1.0,104963
KRNT,2015-04-13,14.36,15.58,14.26,14.4,146983,14.36,0.0,15.58,14.26,14.4,1.0,146983
KRNT,2015-04-14,14.86,14.9099,14.04,14.5,115244,14.86,0.0,14.9099,14.04,14.5,1.0,115244
KRNT,2015-04-15,15.5,15.9084,15.162,15.38,125521,15.5,0.0,15.9084,15.162,15.38,1.0,125521
KRNT,2015-04-16,15.7,15.96,15.5414,15.95,70573,15.7,0.0,15.96,15.5414,15.95,1.0,70573
KRNT,2015-04-17,14.41,15.7,14.22,15.7,153697,14.41,0.0,15.7,14.22,15.7,1.0,153697
KRNT,2015-04-20,14.685,15.61,14.57,14.57,205588,14.685,0.0,15.61,14.57,14.57,1.0,205588
KRNT,2015-04-21,14.99,15.21,14.59,14.59,41887,14.99,0.0,15.21,14.59,14.59,1.0,41887
KRNT,2015-04-22,14.99,15.31,14.8,14.88,30130,14.99,0.0,15.31,14.8,14.88,1.0,30130
KRNT,2015-04-23,14.82,15.3499,14.69,15.0,31906,14.82,0.0,15.3499,14.69,15.0,1.0,31906
KRNT,2015-04-24,14.9,15.2,14.762,14.79,64222,14.9,0.0,15.2,14.762,14.79,1.0,64222
KRNT,2015-04-27,14.77,15.25,13.97,14.9,135342,14.77,0.0,15.25,13.97,14.9,1.0,135342
KRNT,2015-04-28,14.59,14.9,14.37,14.9,41288,14.59,0.0,14.9,14.37,14.9,1.0,41288
KRNT,2015-04-29,14.4,14.71,13.97,14.42,61492,14.4,0.0,14.71,13.97,14.42,1.0,61492
KRNT,2015-04-30,14.9,15.0397,14.39,14.39,78878,14.9,0.0,15.0397,14.39,14.39,1.0,78878
KRNT,2015-05-01,14.56,15.0799,14.5,15.0,99269,14.56,0.0,15.0799,14.5,15.0,1.0,99269
KRNT,2015-05-04,13.76,14.65,13.21,14.65,138603,13.76,0.0,14.65,13.21,14.65,1.0,138603
KRNT,2015-05-05,13.495,13.75,13.25,13.65,112622,13.495,0.0,13.75,13.25,13.65,1.0,112622
KRNT,2015-05-06,13.55,14.13,13.49,13.55,161401,13.55,0.0,14.13,13.49,13.55,1.0,161401
KRNT,2015-05-07,14.42,14.5,13.301,13.63,85142,14.42,0.0,14.5,13.301,13.63,1.0,85142
KRNT,2015-05-08,14.94,15.02,14.36,14.5,36389,14.94,0.0,15.02,14.36,14.5,1.0,36389
KRNT,2015-05-11,14.99,15.0092,14.9,15.0,86861,14.99,0.0,15.0092,14.9,15.0,1.0,86861
KRNT,2015-05-12,14.455,14.98,14.02,14.98,17621,14.455,0.0,14.98,14.02,14.98,1.0,17621
KRNT,2015-05-13,14.77,14.77,14.52,14.7599,14105,14.77,0.0,14.77,14.52,14.7599,1.0,14105
KRNT,2015-05-14,15.29,15.36,14.64,14.68,236823,15.29,0.0,15.36,14.64,14.68,1.0,236823
KRNT,2015-05-15,15.6,15.95,15.2,15.35,40143,15.6,0.0,15.95,15.2,15.35,1.0,40143
KRNT,2015-05-18,16.64,17.195,15.8,15.8,76531,16.64,0.0,17.195,15.8,15.8,1.0,76531
KRNT,2015-05-19,16.12,17.5,15.39,17.0,102745,16.12,0.0,17.5,15.39,17.0,1.0,102745
KRNT,2015-05-20,16.48,16.75,16.02,16.5,23290,16.48,0.0,16.75,16.02,16.5,1.0,23290
KRNT,2015-05-21,16.55,17.0,16.0,16.32,117937,16.55,0.0,17.0,16.0,16.32,1.0,117937
KRNT,2015-05-22,16.14,16.56,16.016,16.27,17359,16.14,0.0,16.56,16.016,16.27,1.0,17359
KRNT,2015-05-26,15.3,16.14,15.3,16.14,78503,15.3,0.0,16.14,15.3,16.14,1.0,78503
KRNT,2015-05-27,14.6,15.42,14.0,15.26,80122,14.6,0.0,15.42,14.0,15.26,1.0,80122
KRNT,2015-05-28,14.27,15.48,14.073,14.63,48853,14.27,0.0,15.48,14.073,14.63,1.0,48853
KRNT,2015-05-29,14.27,14.39,13.41,14.15,47120,14.27,0.0,14.39,13.41,14.15,1.0,47120
KRNT,2015-06-01,14.4,14.7,13.768,14.7,57804,14.4,0.0,14.7,13.768,14.7,1.0,57804
KRNT,2015-06-02,15.08,15.3,14.2,14.37,140186,15.08,0.0,15.3,14.2,14.37,1.0,140186
KRNT,2015-06-03,14.43,15.2,14.15,15.14,55097,14.43,0.0,15.2,14.15,15.14,1.0,55097
KRNT,2015-06-04,14.7,14.71,13.88,14.35,182707,14.7,0.0,14.71,13.88,14.35,1.0,182707
KRNT,2015-06-05,14.35,14.76,14.05,14.66,214507,14.35,0.0,14.76,14.05,14.66,1.0,214507
KRNT,2015-06-08,13.14,14.53,12.6,13.83,591876,13.14,0.0,14.53,12.6,13.83,1.0,591876
KRNT,2015-06-09,13.3,13.84,12.76,13.1,360709,13.3,0.0,13.84,12.76,13.1,1.0,360709
KRNT,2015-06-10,13.54,13.915,13.11,13.44,129789,13.54,0.0,13.915,13.11,13.44,1.0,129789
KRNT,2015-06-11,13.63,14.1,13.042,13.55,56633,13.63,0.0,14.1,13.042,13.55,1.0,56633
KRNT,2015-06-12,13.94,14.15,13.4,13.72,39914,13.94,0.0,14.15,13.4,13.72,1.0,39914
KRNT,2015-06-15,13.89,14.15,13.11,13.94,38131,13.89,0.0,14.15,13.11,13.94,1.0,38131
KRNT,2015-06-16,14.66,14.8,13.5,13.8,41822,14.66,0.0,14.8,13.5,13.8,1.0,41822
KRNT,2015-06-17,14.09,14.7099,14.0,14.52,39421,14.09,0.0,14.7099,14.0,14.52,1.0,39421
KRNT,2015-06-18,14.02,14.25,13.735,14.1,19816,14.02,0.0,14.25,13.735,14.1,1.0,19816
KRNT,2015-06-19,14.56,14.8,13.91,14.0,72874,14.56,0.0,14.8,13.91,14.0,1.0,72874
KRNT,2015-06-22,14.28,14.9,14.19,14.75,27850,14.28,0.0,14.9,14.19,14.75,1.0,27850
KRNT,2015-06-23,14.58,14.97,14.51,14.97,5184,14.58,0.0,14.97,14.51,14.97,1.0,5184
KRNT,2015-06-24,14.51,14.97,14.5,14.66,34653,14.51,0.0,14.97,14.5,14.66,1.0,34653
KRNT,2015-06-25,14.51,14.6647,14.5,14.56,15260,14.51,0.0,14.6647,14.5,14.56,1.0,15260
KRNT,2015-06-26,14.44,14.76,14.44,14.58,53139,14.44,0.0,14.76,14.44,14.58,1.0,53139
KRNT,2015-06-29,14.26,14.449,14.17,14.31,49788,14.26,0.0,14.449,14.17,14.31,1.0,49788
KRNT,2015-06-30,13.76,14.35,13.46,14.35,76599,13.76,0.0,14.35,13.46,14.35,1.0,76599
KRNT,2015-07-01,13.75,14.0795,13.44,13.8,33010,13.75,0.0,14.0795,13.44,13.8,1.0,33010
KRNT,2015-07-02,13.34,13.77,13.06,13.75,101875,13.34,0.0,13.77,13.06,13.75,1.0,101875
KRNT,2015-07-06,14.37,14.72,13.08,13.22,182974,14.37,0.0,14.72,13.08,13.22,1.0,182974
KRNT,2015-07-07,14.19,14.75,13.75,14.4,53955,14.19,0.0,14.75,13.75,14.4,1.0,53955
KRNT,2015-07-08,14.14,14.2,13.87,13.98,87185,14.14,0.0,14.2,13.87,13.98,1.0,87185
KRNT,2015-07-09,14.53,15.85,14.0,14.13,93678,14.53,0.0,15.85,14.0,14.13,1.0,93678
KRNT,2015-07-10,14.5,15.09,14.29,14.6,83321,14.5,0.0,15.09,14.29,14.6,1.0,83321
KRNT,2015-07-13,14.45,14.8499,14.43,14.55,18677,14.45,0.0,14.8499,14.43,14.55,1.0,18677
KRNT,2015-07-14,14.2,14.5,13.98,14.37,82558,14.2,0.0,14.5,13.98,14.37,1.0,82558
KRNT,2015-07-15,14.16,14.44,14.04,14.2,47484,14.16,0.0,14.44,14.04,14.2,1.0,47484
KRNT,2015-07-16,14.1,14.19,13.88,14.1,62708,14.1,0.0,14.19,13.88,14.1,1.0,62708
KRNT,2015-07-17,14.05,14.4,13.89,14.4,18966,14.05,0.0,14.4,13.89,14.4,1.0,18966
KRNT,2015-07-20,14.16,14.16,14.0,14.03,6398,14.16,0.0,14.16,14.0,14.03,1.0,6398
KRNT,2015-07-21,14.25,14.25,13.96,13.96,18813,14.25,0.0,14.25,13.96,13.96,1.0,18813
KRNT,2015-07-22,14.51,15.5,14.37,15.5,16911,14.51,0.0,15.5,14.37,15.5,1.0,16911
KRNT,2015-07-23,14.75,14.82,14.11,14.82,27455,14.75,0.0,14.82,14.11,14.82,1.0,27455
KRNT,2015-07-24,14.7,14.83,14.48,14.6,14166,14.7,0.0,14.83,14.48,14.6,1.0,14166
KRNT,2015-07-27,14.8,15.15,14.7601,14.85,9359,14.8,0.0,15.15,14.7601,14.85,1.0,9359
KRNT,2015-07-28,14.59,14.98,14.31,14.92,6657,14.59,0.0,14.98,14.31,14.92,1.0,6657
KRNT,2015-07-29,14.69,14.8,14.14,14.5,11835,14.69,0.0,14.8,14.14,14.5,1.0,11835
KRNT,2015-07-30,14.63,14.78,14.5275,14.75,16444,14.63,0.0,14.78,14.5275,14.75,1.0,16444
KRNT,2015-07-31,14.54,14.75,14.28,14.66,22456,14.54,0.0,14.75,14.28,14.66,1.0,22456
KRNT,2015-08-03,14.85,15.0,14.43,14.73,53964,14.85,0.0,15.0,14.43,14.73,1.0,53964
KRNT,2015-08-04,14.97,15.09,14.74,14.74,48554,14.97,0.0,15.09,14.74,14.74,1.0,48554
KRNT,2015-08-05,14.44,15.34,14.1535,15.12,42638,14.44,0.0,15.34,14.1535,15.12,1.0,42638
KRNT,2015-08-06,14.32,15.0,13.7927,14.43,29245,14.32,0.0,15.0,13.7927,14.43,1.0,29245
KRNT,2015-08-07,13.64,14.3,13.59,14.21,97138,13.64,0.0,14.3,13.59,14.21,1.0,97138
KRNT,2015-08-10,13.93,14.115,13.7,13.75,8445,13.93,0.0,14.115,13.7,13.75,1.0,8445
KRNT,2015-08-11,13.5,14.1099,13.19,14.0,52597,13.5,0.0,14.1099,13.19,14.0,1.0,52597
KRNT,2015-08-12,13.12,13.4,12.8,13.08,18044,13.12,0.0,13.4,12.8,13.08,1.0,18044
KRNT,2015-08-13,13.26,13.92,13.08,13.23,7742,13.26,0.0,13.92,13.08,13.23,1.0,7742
KRNT,2015-08-14,13.16,13.5188,12.92,13.29,5864,13.16,0.0,13.5188,12.92,13.29,1.0,5864
KRNT,2015-08-17,13.0,13.58,12.788,13.07,30019,13.0,0.0,13.58,12.788,13.07,1.0,30019
KRNT,2015-08-18,13.11,13.355,13.0,13.0,60993,13.11,0.0,13.355,13.0,13.0,1.0,60993
KRNT,2015-08-19,13.2,13.5,12.8234,12.84,19353,13.2,0.0,13.5,12.8234,12.84,1.0,19353
KRNT,2015-08-20,13.32,13.4672,13.01,13.37,22714,13.32,0.0,13.4672,13.01,13.37,1.0,22714
KRNT,2015-08-21,13.56,13.62,13.22,13.22,118350,13.56,0.0,13.62,13.22,13.22,1.0,118350
KRNT,2015-08-24,13.19,13.77,12.89,13.0,59191,13.19,0.0,13.77,12.89,13.0,1.0,59191
KRNT,2015-08-25,13.43,13.8,13.05,13.33,34347,13.43,0.0,13.8,13.05,13.33,1.0,34347
KRNT,2015-08-26,13.11,13.77,12.99,13.67,34793,13.11,0.0,13.77,12.99,13.67,1.0,34793
KRNT,2015-08-27,13.13,13.6,13.0,13.21,91713,13.13,0.0,13.6,13.0,13.21,1.0,91713
KRNT,2015-08-28,12.78,13.78,12.75,13.36,148158,12.78,0.0,13.78,12.75,13.36,1.0,148158
KRNT,2015-08-31,12.25,13.1,11.731,12.75,61221,12.25,0.0,13.1,11.731,12.75,1.0,61221
KRNT,2015-09-01,11.79,12.03,11.425,11.95,45314,11.79,0.0,12.03,11.425,11.95,1.0,45314
KRNT,2015-09-02,11.92,11.99,11.75,11.81,23839,11.92,0.0,11.99,11.75,11.81,1.0,23839
KRNT,2015-09-03,12.06,12.4,11.87,12.04,17982,12.06,0.0,12.4,11.87,12.04,1.0,17982
KRNT,2015-09-04,12.04,12.3207,11.74,11.91,5868,12.04,0.0,12.3207,11.74,11.91,1.0,5868
KRNT,2015-09-08,12.34,12.62,11.96,12.19,24972,12.34,0.0,12.62,11.96,12.19,1.0,24972
KRNT,2015-09-09,12.36,12.905,12.216,12.35,19450,12.36,0.0,12.905,12.216,12.35,1.0,19450
KRNT,2015-09-10,12.0,12.51,12.0,12.34,7698,12.0,0.0,12.51,12.0,12.34,1.0,7698
KRNT,2015-09-11,12.71,12.74,11.82,12.05,24305,12.71,0.0,12.74,11.82,12.05,1.0,24305
KRNT,2015-09-14,12.39,12.89,11.55,12.89,29807,12.39,0.0,12.89,11.55,12.89,1.0,29807
KRNT,2015-09-15,13.0,13.304,12.3,12.5,35696,13.0,0.0,13.304,12.3,12.5,1.0,35696
KRNT,2015-09-16,12.78,13.0,12.78,13.0,9613,12.78,0.0,13.0,12.78,13.0,1.0,9613
