symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
KZ,2010-01-04,11.6427539437,11.9482234999,10.8921716055,11.4245614035,1428475,13.34,0.0,13.69,12.48,13.09,1.0,1428475
KZ,2010-01-05,11.4507445083,11.9132254165,11.1365472505,11.6514816453,596786,13.12,0.0,13.6499,12.76,13.35,1.0,596786
KZ,2010-01-06,11.5554769276,11.8260356774,11.4079787705,11.5205661212,518813,13.24,0.0,13.55,13.071,13.2,1.0,518813
KZ,2010-01-07,11.4856553148,11.8522187822,11.4332891051,11.6340262421,358856,13.16,0.0,13.58,13.1,13.33,1.0,358856
KZ,2010-01-08,11.5642046292,11.6506088751,11.3721951939,11.4856553148,219221,13.25,0.0,13.349,13.03,13.16,1.0,219221
KZ,2010-01-11,11.4158337019,11.7387586614,11.3896505971,11.4681999115,173141,13.08,0.0,13.45,13.05,13.14,1.0,173141
KZ,2010-01-12,10.8834439039,11.9220403951,10.7438006782,11.5642046292,837858,12.47,0.0,13.66,12.31,13.25,1.0,837858
KZ,2010-01-13,11.3809228955,11.4245614035,10.5605189444,10.8572607991,374080,13.04,0.0,13.09,12.1,12.44,1.0,374080
KZ,2010-01-14,11.3199162612,11.6951201533,11.2761904762,11.6689370485,215962,12.9701,0.0,13.4,12.92,13.37,1.0,215962
KZ,2010-01-15,10.7874391862,11.3896505971,10.7525283798,11.3896505971,314946,12.36,0.0,13.05,12.32,13.05,1.0,314946
KZ,2010-01-19,10.8834439039,10.9270824119,10.5517912428,10.8834439039,211100,12.47,0.0,12.52,12.09,12.47,1.0,211100
KZ,2010-01-20,10.48196963,10.9707209199,10.3161432994,10.8398053958,281039,12.01,0.0,12.57,11.82,12.42,1.0,281039
KZ,2010-01-21,9.7139318885,10.3423264042,9.6528379773,10.3161432994,562546,11.13,0.0,11.85,11.06,11.82,1.0,562546
KZ,2010-01-22,9.5742886628,9.9757629368,9.2164528969,9.7750257998,607371,10.97,0.0,11.43,10.56,11.2,1.0,607371
KZ,2010-01-25,9.3910069291,9.7139318885,9.3386407194,9.6877487837,219937,10.76,0.0,11.13,10.7,11.1,1.0,219937
KZ,2010-01-26,9.0069880584,9.303729913,8.6316968893,8.9895326552,884466,10.32,0.0,10.66,9.89,10.3,1.0,884466
