symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
LINDW,2015-07-09,2.2,2.35,2.16,2.35,8100,2.2,0.0,2.35,2.16,2.35,1.0,8100
LINDW,2015-07-10,2.16,2.4,2.05,2.35,30450,2.16,0.0,2.4,2.05,2.35,1.0,30450
LINDW,2015-07-13,2.1958,2.3,2.15,2.15,12506,2.1958,0.0,2.3,2.15,2.15,1.0,12506
LINDW,2015-07-14,2.1875,2.35,2.13,2.33,6563,2.1875,0.0,2.35,2.13,2.33,1.0,6563
LINDW,2015-07-15,2.27,2.42,2.07,2.29,38001,2.27,0.0,2.42,2.07,2.29,1.0,38001
LINDW,2015-07-16,2.41,2.41,2.15,2.355,5206,2.41,0.0,2.41,2.15,2.355,1.0,5206
LINDW,2015-07-17,2.2692,2.385,1.68,2.06,87271,2.2692,0.0,2.385,1.68,2.06,1.0,87271
LINDW,2015-07-20,2.04,2.4,1.77,2.35,100144,2.04,0.0,2.4,1.77,2.35,1.0,100144
LINDW,2015-07-21,2.215,2.25,1.98,2.04,44157,2.215,0.0,2.25,1.98,2.04,1.0,44157
LINDW,2015-07-22,2.21,2.21,2.2099,2.21,1100,2.21,0.0,2.21,2.2099,2.21,1.0,1100
LINDW,2015-07-23,2.2,2.2,2.05,2.197,76450,2.2,0.0,2.2,2.05,2.197,1.0,76450
LINDW,2015-07-24,2.11,2.2,2.0701,2.2,4003,2.11,0.0,2.2,2.0701,2.2,1.0,4003
LINDW,2015-07-27,2.1,2.17,2.05,2.05,35121,2.1,0.0,2.17,2.05,2.05,1.0,35121
LINDW,2015-07-28,2.12,2.2,1.65,2.15,65984,2.12,0.0,2.2,1.65,2.15,1.0,65984
LINDW,2015-07-29,1.94,2.12,1.93,2.12,40203,1.94,0.0,2.12,1.93,2.12,1.0,40203
LINDW,2015-07-30,2.05,2.12,1.92,1.97,170084,2.05,0.0,2.12,1.92,1.97,1.0,170084
LINDW,2015-07-31,2.36,2.48,2.1,2.12,78434,2.36,0.0,2.48,2.1,2.12,1.0,78434
LINDW,2015-08-03,2.17,2.25,2.17,2.25,3500,2.17,0.0,2.25,2.17,2.25,1.0,3500
LINDW,2015-08-04,2.18,2.25,2.18,2.25,1200,2.18,0.0,2.25,2.18,2.25,1.0,1200
LINDW,2015-08-05,2.05,2.18,2.05,2.14,1355,2.05,0.0,2.18,2.05,2.14,1.0,1355
LINDW,2015-08-06,1.98,2.05,1.98,2.0,56845,1.98,0.0,2.05,1.98,2.0,1.0,56845
LINDW,2015-08-07,1.96,1.96,1.96,1.96,300,1.96,0.0,1.96,1.96,1.96,1.0,300
LINDW,2015-08-10,1.8,1.96,1.75,1.85,45201,1.8,0.0,1.96,1.75,1.85,1.0,45201
LINDW,2015-08-11,1.48,1.87,1.42,1.8,237002,1.48,0.0,1.87,1.42,1.8,1.0,237002
LINDW,2015-08-12,1.48,1.58,1.48,1.5,42305,1.48,0.0,1.58,1.48,1.5,1.0,42305
LINDW,2015-08-13,1.46,1.58,1.46,1.55,21830,1.46,0.0,1.58,1.46,1.55,1.0,21830
LINDW,2015-08-14,1.5,1.5,1.46,1.49,6600,1.5,0.0,1.5,1.46,1.49,1.0,6600
LINDW,2015-08-17,1.55,1.58,1.501,1.501,5400,1.55,0.0,1.58,1.501,1.501,1.0,5400
LINDW,2015-08-18,1.53,1.53,1.5,1.51,8600,1.53,0.0,1.53,1.5,1.51,1.0,8600
LINDW,2015-08-19,1.65,1.75,1.59,1.59,6804,1.65,0.0,1.75,1.59,1.59,1.0,6804
LINDW,2015-08-20,1.46,1.7,1.45,1.6,16104,1.46,0.0,1.7,1.45,1.6,1.0,16104
LINDW,2015-08-21,1.2,1.46,1.16,1.405,69414,1.2,0.0,1.46,1.16,1.405,1.0,69414
LINDW,2015-08-24,1.2,1.32,0.8,1.12,49709,1.2,0.0,1.32,0.8,1.12,1.0,49709
LINDW,2015-08-25,1.15,1.28,1.15,1.18,28937,1.15,0.0,1.28,1.15,1.18,1.0,28937
LINDW,2015-08-26,1.2999,1.3,1.15,1.25,117020,1.2999,0.0,1.3,1.15,1.25,1.0,117020
LINDW,2015-08-27,1.48,1.4999,1.25,1.25,60387,1.48,0.0,1.4999,1.25,1.25,1.0,60387
LINDW,2015-08-28,1.48,1.58,1.42,1.58,25400,1.48,0.0,1.58,1.42,1.58,1.0,25400
LINDW,2015-08-31,1.85,1.99,1.36,1.5,116801,1.85,0.0,1.99,1.36,1.5,1.0,116801
LINDW,2015-09-01,1.58,1.6299,1.58,1.58,5503,1.58,0.0,1.6299,1.58,1.58,1.0,5503
LINDW,2015-09-02,1.51,1.58,1.45,1.58,5103,1.51,0.0,1.58,1.45,1.58,1.0,5103
LINDW,2015-09-03,1.54,1.6168,1.54,1.6168,1000,1.54,0.0,1.6168,1.54,1.6168,1.0,1000
LINDW,2015-09-04,1.53,1.562,1.3,1.55,23900,1.53,0.0,1.562,1.3,1.55,1.0,23900
LINDW,2015-09-08,1.69,1.7,1.51,1.56,33120,1.69,0.0,1.7,1.51,1.56,1.0,33120
LINDW,2015-09-09,1.644,1.69,1.39,1.69,21915,1.644,0.0,1.69,1.39,1.69,1.0,21915
LINDW,2015-09-10,1.663,1.68,1.574,1.58,4000,1.663,0.0,1.68,1.574,1.58,1.0,4000
LINDW,2015-09-11,1.5799,1.58,1.45,1.45,10200,1.5799,0.0,1.58,1.45,1.45,1.0,10200
LINDW,2015-09-14,1.49,1.51,1.4,1.4,16082,1.49,0.0,1.51,1.4,1.4,1.0,16082
LINDW,2015-09-15,1.36,1.625,1.21,1.49,133800,1.36,0.0,1.625,1.21,1.49,1.0,133800
LINDW,2015-09-16,1.32,1.4,1.03,1.29,66376,1.32,0.0,1.4,1.03,1.29,1.0,66376
LINDW,2015-09-17,1.45,1.6,1.31,1.38,176724,1.45,0.0,1.6,1.31,1.38,1.0,176724
LINDW,2015-09-18,1.515,1.78,1.4,1.4,148719,1.515,0.0,1.78,1.4,1.4,1.0,148719
LINDW,2015-09-21,1.74,1.785,1.52,1.52,28210,1.74,0.0,1.785,1.52,1.52,1.0,28210
LINDW,2015-09-22,1.68,1.7,1.51,1.68,17400,1.68,0.0,1.7,1.51,1.68,1.0,17400
LINDW,2015-09-23,1.78,1.78,1.6,1.64,29500,1.78,0.0,1.78,1.6,1.64,1.0,29500
LINDW,2015-09-24,1.8,1.81,1.65,1.68,37200,1.8,0.0,1.81,1.65,1.68,1.0,37200
LINDW,2015-09-25,1.8,1.93,1.65,1.69,74300,1.8,0.0,1.93,1.65,1.69,1.0,74300
LINDW,2015-09-28,1.75,1.78,1.57,1.63,20400,1.75,0.0,1.78,1.57,1.63,1.0,20400
LINDW,2015-09-29,1.65,1.914,1.53,1.68,99058,1.65,0.0,1.914,1.53,1.68,1.0,99058
LINDW,2015-09-30,1.87,1.9,1.66,1.68,179542,1.87,0.0,1.9,1.66,1.68,1.0,179542
LINDW,2015-10-01,1.79,1.888,1.6,1.82,15949,1.79,0.0,1.888,1.6,1.82,1.0,15949
LINDW,2015-10-02,1.69,1.82,1.68,1.68,27900,1.69,0.0,1.82,1.68,1.68,1.0,27900
LINDW,2015-10-05,1.88,1.88,1.68,1.68,4800,1.88,0.0,1.88,1.68,1.68,1.0,4800
LINDW,2015-10-06,1.89,1.92,1.722,1.906,1701,1.89,0.0,1.92,1.722,1.906,1.0,1701
LINDW,2015-10-07,1.94,1.94,1.73,1.74,24200,1.94,0.0,1.94,1.73,1.74,1.0,24200
LINDW,2015-10-08,1.99,2.18,1.9,1.915,49235,1.99,0.0,2.18,1.9,1.915,1.0,49235
LINDW,2015-10-09,2.05,2.05,1.69,1.7,6653,2.05,0.0,2.05,1.69,1.7,1.0,6653
LINDW,2015-10-12,1.992,2.06,1.68,1.71,42900,1.992,0.0,2.06,1.68,1.71,1.0,42900
LINDW,2015-10-13,2.03,2.09,1.81,1.81,23500,2.03,0.0,2.09,1.81,1.81,1.0,23500
LINDW,2015-10-14,2.0,2.01,1.9,1.9,400,2.0,0.0,2.01,1.9,1.9,1.0,400
LINDW,2015-10-15,2.05,2.1,1.91,1.99,44900,2.05,0.0,2.1,1.91,1.99,1.0,44900
LINDW,2015-10-16,2.04,2.05,1.9,2.02,13800,2.04,0.0,2.05,1.9,2.02,1.0,13800
LINDW,2015-10-19,2.05,2.07,2.02,2.03,4905,2.05,0.0,2.07,2.02,2.03,1.0,4905
