symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
LMCA,2013-01-10,108.71,110.0,101.0,101.0,5803400,108.71,0.0,110.0,101.0,101.0,1.0,5803400
LMCA,2013-01-11,109.83,112.56,108.0,108.0,10132000,109.83,0.0,112.56,108.0,108.0,1.0,10132000
LMCA,2013-01-14,109.6,110.4,107.66,108.51,2321400,109.6,0.0,110.4,107.66,108.51,1.0,2321400
LMCA,2013-01-15,109.9,113.25,108.98,108.98,771900,109.9,0.0,113.25,108.98,108.98,1.0,771900
LMCA,2013-01-16,109.3,110.35,109.1,109.3,771000,109.3,0.0,110.35,109.1,109.3,1.0,771000
LMCA,2013-01-17,110.54,113.09,109.21,110.19,922200,110.54,0.0,113.09,109.21,110.19,1.0,922200
LMCA,2013-01-18,110.55,111.91,110.07,110.5,534300,110.55,0.0,111.91,110.07,110.5,1.0,534300
LMCA,2013-01-22,110.74,112.12,108.25,110.25,850900,110.74,0.0,112.12,108.25,110.25,1.0,850900
LMCA,2013-01-23,110.05,110.93,109.85,110.67,900800,110.05,0.0,110.93,109.85,110.67,1.0,900800
LMCA,2013-01-24,110.09,110.81,109.02,110.15,867700,110.09,0.0,110.81,109.02,110.15,1.0,867700
LMCA,2013-01-25,110.75,111.05,109.1,111.05,439900,110.75,0.0,111.05,109.1,111.05,1.0,439900
LMCA,2013-01-28,110.84,111.04,109.52,110.87,635800,110.84,0.0,111.04,109.52,110.87,1.0,635800
LMCA,2013-01-29,110.65,111.61,110.02,110.7,589800,110.65,0.0,111.61,110.02,110.7,1.0,589800
LMCA,2013-01-30,110.57,111.74,109.9,110.93,513800,110.57,0.0,111.74,109.9,110.93,1.0,513800
LMCA,2013-01-31,111.51,111.6,109.75,109.91,798000,111.51,0.0,111.6,109.75,109.91,1.0,798000
LMCA,2013-02-01,112.47,113.56,111.19,111.96,1182500,112.47,0.0,113.56,111.19,111.96,1.0,1182500
LMCA,2013-02-04,110.88,112.64,110.16,111.13,394400,110.88,0.0,112.64,110.16,111.13,1.0,394400
LMCA,2013-02-05,113.06,113.34,110.13,111.36,1016200,113.06,0.0,113.34,110.13,111.36,1.0,1016200
LMCA,2013-02-06,111.62,113.21,111.45,112.23,517600,111.62,0.0,113.21,111.45,112.23,1.0,517600
LMCA,2013-02-07,110.37,112.82,109.81,112.14,311000,110.37,0.0,112.82,109.81,112.14,1.0,311000
LMCA,2013-02-08,110.05,111.47,109.72,110.05,442800,110.05,0.0,111.47,109.72,110.05,1.0,442800
LMCA,2013-02-11,110.99,111.23,109.76,110.01,193200,110.99,0.0,111.23,109.76,110.01,1.0,193200
LMCA,2013-02-12,110.97,111.57,109.76,111.57,597600,110.97,0.0,111.57,109.76,111.57,1.0,597600
LMCA,2013-02-13,110.82,112.5,110.23,111.48,450700,110.82,0.0,112.5,110.23,111.48,1.0,450700
LMCA,2013-02-14,110.73,111.49,110.03,110.54,234200,110.73,0.0,111.49,110.03,110.54,1.0,234200
LMCA,2013-02-15,111.08,112.26,110.28,110.33,285900,111.08,0.0,112.26,110.28,110.33,1.0,285900
LMCA,2013-02-19,110.72,111.89,110.6,111.89,224900,110.72,0.0,111.89,110.6,111.89,1.0,224900
LMCA,2013-02-20,109.87,111.83,109.25,110.67,212600,109.87,0.0,111.83,109.25,110.67,1.0,212600
LMCA,2013-02-21,107.5,110.28,106.26,110.28,573000,107.5,0.0,110.28,106.26,110.28,1.0,573000
LMCA,2013-02-22,107.14,108.45,106.76,107.82,488500,107.14,0.0,108.45,106.76,107.82,1.0,488500
LMCA,2013-02-25,106.42,108.25,105.75,105.75,322700,106.42,0.0,108.25,105.75,105.75,1.0,322700
