symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
LORL,2010-01-04,13.2487490131,13.3472088007,12.4925778447,12.6304215473,31300,33.64,0.0,33.89,31.72,32.07,1.0,31300
LORL,2010-01-05,13.2763177536,13.5323132013,12.7091893773,13.1857347491,46500,33.71,0.0,34.36,32.27,33.48,1.0,46500
LORL,2010-01-06,13.3117632771,13.4692989372,13.2014883151,13.2133034896,46900,33.8,0.0,34.2,33.52,33.55,1.0,46900
LORL,2010-01-07,13.4377918052,13.4968676777,13.00456874,13.3196400601,25500,34.12,0.0,34.27,33.02,33.82,1.0,25500
LORL,2010-01-08,13.6898488613,13.7410479509,13.4299150222,13.4299150222,26500,34.76,0.0,34.89,34.1,34.1,1.0,26500
LORL,2010-01-11,13.6386497718,13.7568015169,13.3669007582,13.7528631254,25200,34.63,0.0,34.93,33.94,34.92,1.0,25200
LORL,2010-01-12,13.1739195746,13.7449863424,13.1581660086,13.4653605457,30200,33.45,0.0,34.9,33.41,34.19,1.0,30200
LORL,2010-01-13,13.3984078902,13.4929292862,13.1975499236,13.2054267066,12800,34.02,0.0,34.26,33.51,33.53,1.0,12800
LORL,2010-01-14,13.5401899843,13.5756355078,13.3038864941,13.5480667673,13700,34.38,0.0,34.47,33.78,34.4,1.0,13700
LORL,2010-01-15,12.6776822453,13.6110810313,12.6619286793,13.6032042483,40800,32.19,0.0,34.56,32.15,34.54,1.0,40800
LORL,2010-01-19,13.2566257961,13.2763177536,12.6776822453,12.6776822453,20000,33.66,0.0,33.71,32.19,32.19,1.0,20000
LORL,2010-01-20,13.2920713196,13.3590239752,13.00456874,13.0793981785,49800,33.75,0.0,33.92,33.02,33.21,1.0,49800
LORL,2010-01-21,12.9573080419,13.4220382392,12.6934358113,13.3925003029,36400,32.9,0.0,34.08,32.23,34.005,1.0,36400
LORL,2010-01-22,11.6773308038,12.9494312589,11.5867477992,12.9061089524,48100,29.65,0.0,32.88,29.42,32.77,1.0,48100
LORL,2010-01-25,11.6733924123,11.9471106217,11.6340084972,11.8427432468,29300,29.64,0.0,30.335,29.54,30.07,1.0,29300
LORL,2010-01-26,11.3268139601,11.8072977233,11.271676479,11.6300701057,36800,28.76,0.0,29.98,28.62,29.53,1.0,36800
LORL,2010-01-27,11.5985629737,11.7245915018,11.114140819,11.3071220026,41600,29.45,0.0,29.77,28.22,28.71,1.0,41600
LORL,2010-01-28,11.3386291346,11.6025013652,11.1259559935,11.6025013652,34600,28.79,0.0,29.46,28.25,29.46,1.0,34600
LORL,2010-01-29,11.2126006065,11.5985629737,11.1653399085,11.4252737476,30300,28.47,0.0,29.45,28.35,29.01,1.0,30300
LORL,2010-02-01,11.3268139601,11.4252737476,11.0668801209,11.232292564,27200,28.76,0.0,29.01,28.1,28.52,1.0,27200
LORL,2010-02-02,11.3898282241,11.4764728371,11.129894385,11.3071220026,33400,28.92,0.0,29.14,28.26,28.71,1.0,33400
LORL,2010-02-03,11.2834916535,11.4646576626,11.185031866,11.3504443091,23400,28.65,0.0,29.11,28.4,28.82,1.0,23400
LORL,2010-02-04,10.6887945367,11.1495863425,10.6651641877,11.0393113804,35200,27.14,0.0,28.31,27.08,28.03,1.0,35200
LORL,2010-02-05,10.6139650982,10.6612257962,10.4367374806,10.5548892257,26600,26.95,0.0,27.07,26.5,26.8,1.0,26600
LORL,2010-02-08,10.3815999996,10.6533490132,10.3776616081,10.6297186642,27000,26.36,0.0,27.05,26.35,26.99,1.0,27000
LORL,2010-02-09,10.7675623668,10.8423918053,10.4958133531,10.5745811832,23600,27.34,0.0,27.53,26.65,26.85,1.0,23600
LORL,2010-02-10,10.7990694988,10.8896525033,10.6336570557,10.7439320178,49500,27.42,0.0,27.65,27.0,27.28,1.0,49500
LORL,2010-02-11,11.6537004547,11.6615772377,10.7084864942,10.7518088008,40900,29.59,0.0,29.61,27.19,27.3,1.0,40900
LORL,2010-02-12,11.6182549312,11.7600370253,11.4252737476,11.5079799692,16000,29.5,0.0,29.86,29.01,29.22,1.0,16000
LORL,2010-02-16,12.0436012135,12.0514779965,11.7324682848,11.7915441573,15800,30.58,0.0,30.6,29.79,29.94,1.0,15800
LORL,2010-02-17,12.2641511376,12.2641511376,12.0286353257,12.1302458265,30800,31.14,0.0,31.14,30.542,30.8,1.0,30800
LORL,2010-02-18,12.5280233682,12.6304215473,12.2877814866,12.2877814866,16300,31.81,0.0,32.07,31.2,31.2,1.0,16300
LORL,2010-02-19,12.6619286793,12.7761420328,12.4689474957,12.5280233682,20000,32.15,0.0,32.44,31.66,31.81,1.0,20000
LORL,2010-02-22,12.9100473439,12.9927535655,12.6461751133,12.6934358113,14000,32.78,0.0,32.99,32.11,32.23,1.0,14000
LORL,2010-02-23,12.9376160844,13.0163839145,12.5437769342,12.9218625184,35900,32.85,0.0,33.05,31.85,32.81,1.0,35900
LORL,2010-02-24,12.9769999995,13.154227617,12.8588482544,12.9573080419,17500,32.95,0.0,33.4,32.65,32.9,1.0,17500
LORL,2010-02-25,12.7958339904,13.1660427916,12.3704877081,12.7210045518,18800,32.49,0.0,33.43,31.41,32.3,1.0,18800
LORL,2010-02-26,12.8115875564,12.9829075867,12.5831608492,12.8470330799,22100,32.53,0.0,32.965,31.95,32.62,1.0,22100
LORL,2010-03-01,13.106966919,13.146350834,12.8194643394,12.8470330799,17600,33.28,0.0,33.38,32.55,32.62,1.0,17600
LORL,2010-03-02,13.4299150222,13.4299150222,12.9573080419,13.099090136,21800,34.1,0.0,34.1,32.9,33.26,1.0,21800
LORL,2010-03-03,13.961597875,14.1230719266,13.3708391497,13.4889908947,46300,35.45,0.0,35.86,33.95,34.25,1.0,46300
LORL,2010-03-04,13.914337177,14.071872837,13.6544033378,13.961597875,20100,35.33,0.0,35.73,34.67,35.45,1.0,20100
LORL,2010-03-05,14.1033799691,14.1191335351,13.7174176019,13.9970433985,30600,35.81,0.0,35.85,34.83,35.54,1.0,30600
LORL,2010-03-08,14.07974962,14.1703326246,13.969474658,14.1388254926,12300,35.75,0.0,35.98,35.47,35.9,1.0,12300
LORL,2010-03-09,13.906460394,14.0955031861,13.8623504091,13.977351441,24200,35.31,0.0,35.79,35.198,35.49,1.0,24200
LORL,2010-03-10,13.6859104698,13.8946452194,13.6308123727,13.8670764789,23500,34.75,0.0,35.28,34.6101,35.21,1.0,23500
LORL,2010-03-11,13.6662185123,14.0443040965,13.5126212437,13.5362515928,34500,34.7,0.0,35.66,34.31,34.37,1.0,34500
LORL,2010-03-12,14.00098179,14.0124031254,13.5716971163,13.5716971163,21300,35.55,0.0,35.579,34.46,34.46,1.0,21300
LORL,2010-03-15,14.1151951436,14.3948209402,14.008858573,14.008858573,29100,35.84,0.0,36.55,35.57,35.57,1.0,29100
LORL,2010-03-16,14.1703326246,14.2057781481,13.9734130495,14.1703326246,16400,35.98,0.0,36.07,35.48,35.98,1.0,16400
LORL,2010-03-17,14.1979013651,14.3199915017,14.1073183606,14.1782094076,17300,36.05,0.0,36.36,35.82,36.0,1.0,17300
LORL,2010-03-18,14.0836880115,14.2097165396,14.00098179,14.1821477991,13500,35.76,0.0,36.08,35.55,36.01,1.0,13500
LORL,2010-03-19,13.5480667673,14.2057781481,13.5047444607,14.2057781481,38200,34.4,0.0,36.07,34.29,36.07,1.0,38200
LORL,2010-03-22,14.048242488,14.07974962,13.1187820935,13.4771757202,36300,35.67,0.0,35.75,33.31,34.22,1.0,36300
LORL,2010-03-23,13.977351441,14.2569772376,13.8355693469,14.0915647946,30000,35.49,0.0,36.2,35.13,35.78,1.0,30000
LORL,2010-03-24,13.4299150222,13.8729840662,13.4299150222,13.8552613044,26400,34.1,0.0,35.225,34.1,35.18,1.0,26400
LORL,2010-03-25,13.5716971163,13.953721092,13.4850525032,13.6189578143,41200,34.46,0.0,35.43,34.24,34.58,1.0,41200
LORL,2010-03-26,13.6583417293,13.9497827005,13.5953274653,13.6150194228,21300,34.68,0.0,35.42,34.52,34.57,1.0,21300
LORL,2010-03-29,13.6977256443,13.7843702574,13.5953274653,13.6859104698,29200,34.78,0.0,35.0,34.52,34.75,1.0,29200
LORL,2010-03-30,13.8434461299,13.9340291345,13.6780336868,13.9340291345,23500,35.15,0.0,35.38,34.73,35.38,1.0,23500
LORL,2010-03-31,13.8316309554,14.2333468886,13.7252943849,13.7331711679,33500,35.12,0.0,36.14,34.85,34.87,1.0,33500
LORL,2010-04-01,13.8788916534,14.1266164789,13.7568015169,13.9103987855,19900,35.24,0.0,35.869,34.93,35.32,1.0,19900
LORL,2010-04-05,14.3751289827,14.3751289827,14.0600576625,14.1545790586,23100,36.5,0.0,36.5,35.7,35.94,1.0,23100
LORL,2010-04-06,14.3514986337,14.3633138082,14.1033799691,14.2097165396,21800,36.44,0.0,36.47,35.81,36.08,1.0,21800
LORL,2010-04-07,14.3830057657,14.3830057657,14.07974962,14.2845459782,29600,36.52,0.0,36.52,35.75,36.27,1.0,29600
LORL,2010-04-08,14.3396834592,14.3711905912,14.1624558416,14.2648540206,18100,36.41,0.0,36.49,35.96,36.22,1.0,18100
LORL,2010-04-09,14.3081763272,14.3830057657,14.1742710161,14.3239298932,23000,36.33,0.0,36.52,35.99,36.37,1.0,23000
LORL,2010-04-12,14.4972191193,14.5011575108,14.1821477991,14.2727308036,27700,36.81,0.0,36.82,36.01,36.24,1.0,27700
LORL,2010-04-13,14.3633138082,14.4932807278,14.2372852801,14.4932807278,26500,36.47,0.0,36.8,36.15,36.8,1.0,26500
LORL,2010-04-14,15.0997930191,15.1332693469,14.4342048552,14.4895392558,44800,38.34,0.0,38.425,36.65,36.7905,1.0,44800
LORL,2010-04-15,15.2218831557,15.3006509857,14.973764491,15.0525323211,21000,38.65,0.0,38.85,38.02,38.22,1.0,21000
LORL,2010-04-16,15.2415751132,15.3636652497,14.942257359,15.2061295896,35800,38.7,0.0,39.01,37.94,38.61,1.0,35800
LORL,2010-04-19,15.2494518962,15.5172625183,15.1470537171,15.1588688916,19400,38.72,0.0,39.4,38.46,38.49,1.0,19400
LORL,2010-04-20,15.5723999993,15.5763383908,15.3026201814,15.3518500752,57200,39.54,0.0,39.55,38.855,38.98,1.0,57200
LORL,2010-04-21,15.7023669189,15.7102437019,15.3124661602,15.5448312588,22500,39.87,0.0,39.89,38.88,39.47,1.0,22500
LORL,2010-04-22,15.6354142634,15.6472294379,15.3636652497,15.4778786033,15500,39.7,0.0,39.73,39.01,39.3,1.0,15500
LORL,2010-04-23,16.1867890737,16.1907274652,15.5054473438,15.5723999993,27700,41.1,0.0,41.11,39.37,39.54,1.0,27700
LORL,2010-04-26,16.7736094075,17.0217280721,16.0528837626,16.1474051587,47200,42.59,0.0,43.22,40.76,41.0,1.0,47200
LORL,2010-04-27,16.6554576624,16.856315629,16.5412443089,16.6160737474,50000,42.29,0.0,42.8,42.0,42.19,1.0,50000
LORL,2010-04-28,16.4545996958,16.7657326245,16.4388461298,16.7657326245,31700,41.78,0.0,42.57,41.74,42.57,1.0,31700
LORL,2010-04-29,17.4943350524,17.5809796654,16.5176139599,16.6003201814,49200,44.42,0.0,44.64,41.94,42.15,1.0,49200
LORL,2010-04-30,16.9587138081,17.4470743543,16.9587138081,17.4273823968,56400,43.06,0.0,44.3,43.06,44.25,1.0,56400
LORL,2010-05-03,17.1398798172,17.4470743543,16.8523772375,17.0886807277,58600,43.52,0.0,44.3,42.79,43.39,1.0,58600
LORL,2010-05-04,16.8523772375,17.8999893771,16.738163884,16.777547799,140800,42.79,0.0,45.45,42.5,42.6,1.0,140800
LORL,2010-05-05,16.7105951435,16.9350834591,16.6357657049,16.7263487095,37700,42.43,0.0,43.0,42.24,42.47,1.0,37700
LORL,2010-05-06,15.6432910464,16.7027183605,14.5129726853,16.6081969644,78500,39.72,0.0,42.41,36.85,42.17,1.0,78500
