symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
LPNT,2010-01-04,33.2,33.39,32.62,32.7,381900,33.2,0.0,33.39,32.62,32.7,1.0,381900
LPNT,2010-01-05,32.37,33.44,31.87,33.24,844400,32.37,0.0,33.44,31.87,33.24,1.0,844400
LPNT,2010-01-06,32.33,32.55,31.8,32.17,550800,32.33,0.0,32.55,31.8,32.17,1.0,550800
LPNT,2010-01-07,32.5,32.57,32.04,32.35,296900,32.5,0.0,32.57,32.04,32.35,1.0,296900
LPNT,2010-01-08,33.2,33.23,32.32,32.5,403500,33.2,0.0,33.23,32.32,32.5,1.0,403500
LPNT,2010-01-11,32.96,33.37,32.76,33.37,301500,32.96,0.0,33.37,32.76,33.37,1.0,301500
LPNT,2010-01-12,32.21,32.94,32.11,32.54,265300,32.21,0.0,32.94,32.11,32.54,1.0,265300
LPNT,2010-01-13,33.37,33.515,32.3,32.45,710600,33.37,0.0,33.515,32.3,32.45,1.0,710600
LPNT,2010-01-14,33.86,33.895,33.03,33.2,539800,33.86,0.0,33.895,33.03,33.2,1.0,539800
LPNT,2010-01-15,33.01,33.92,32.96,33.92,378600,33.01,0.0,33.92,32.96,33.92,1.0,378600
LPNT,2010-01-19,32.79,33.02,31.68,32.94,892300,32.79,0.0,33.02,31.68,32.94,1.0,892300
LPNT,2010-01-20,31.95,32.43,31.57,32.39,1221700,31.95,0.0,32.43,31.57,32.39,1.0,1221700
LPNT,2010-01-21,31.5,32.28,31.29,32.07,946800,31.5,0.0,32.28,31.29,32.07,1.0,946800
LPNT,2010-01-22,30.31,31.64,30.23,31.54,728600,30.31,0.0,31.64,30.23,31.54,1.0,728600
LPNT,2010-01-25,30.6,30.83,30.05,30.61,759700,30.6,0.0,30.83,30.05,30.61,1.0,759700
LPNT,2010-01-26,31.11,31.58,30.38,30.66,471200,31.11,0.0,31.58,30.38,30.66,1.0,471200
LPNT,2010-01-27,30.78,31.45,30.47,31.09,332600,30.78,0.0,31.45,30.47,31.09,1.0,332600
LPNT,2010-01-28,30.25,30.93,30.19,30.76,275000,30.25,0.0,30.93,30.19,30.76,1.0,275000
LPNT,2010-01-29,29.98,30.64,29.98,30.38,430600,29.98,0.0,30.64,29.98,30.38,1.0,430600
LPNT,2010-02-01,30.23,30.38,29.68,30.17,251000,30.23,0.0,30.38,29.68,30.17,1.0,251000
LPNT,2010-02-02,31.18,31.22,30.26,30.4,414600,31.18,0.0,31.22,30.26,30.4,1.0,414600
LPNT,2010-02-03,30.54,31.19,30.5,31.13,329400,30.54,0.0,31.19,30.5,31.13,1.0,329400
LPNT,2010-02-04,29.7,30.4,29.69,30.4,496300,29.7,0.0,30.4,29.69,30.4,1.0,496300
LPNT,2010-02-05,29.3,29.66,28.48,29.66,508300,29.3,0.0,29.66,28.48,29.66,1.0,508300
LPNT,2010-02-08,29.02,29.525,28.935,29.26,320500,29.02,0.0,29.525,28.935,29.26,1.0,320500
LPNT,2010-02-09,29.69,29.73,28.88,29.32,422600,29.69,0.0,29.73,28.88,29.32,1.0,422600
LPNT,2010-02-10,29.29,30.12,29.17,29.69,416500,29.29,0.0,30.12,29.17,29.69,1.0,416500
LPNT,2010-02-11,29.83,29.87,29.08,29.33,240100,29.83,0.0,29.87,29.08,29.33,1.0,240100
LPNT,2010-02-12,30.66,30.66,29.52,29.54,400300,30.66,0.0,30.66,29.52,29.54,1.0,400300
LPNT,2010-02-16,31.19,31.22,30.41,30.93,233900,31.19,0.0,31.22,30.41,30.93,1.0,233900
LPNT,2010-02-17,30.75,31.32,30.72,31.32,505600,30.75,0.0,31.32,30.72,31.32,1.0,505600
LPNT,2010-02-18,30.4,30.98,30.2,30.91,992900,30.4,0.0,30.98,30.2,30.91,1.0,992900
LPNT,2010-02-19,31.95,32.26,30.8,30.8,1048500,31.95,0.0,32.26,30.8,30.8,1.0,1048500
LPNT,2010-02-22,31.51,32.18,31.35,31.35,646800,31.51,0.0,32.18,31.35,31.35,1.0,646800
