symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
LTRPA,2014-08-27,37.93,38.1,35.11,38.1,490457,37.93,0.0,38.1,35.11,38.1,1.0,490457
LTRPA,2014-08-28,36.0,38.39,34.24,37.36,2454686,36.0,0.0,38.39,34.24,37.36,1.0,2454686
LTRPA,2014-08-29,35.77,36.19,35.5,35.84,1101801,35.77,0.0,36.19,35.5,35.84,1.0,1101801
LTRPA,2014-09-02,35.45,36.69,35.27,36.69,775724,35.45,0.0,36.69,35.27,36.69,1.0,775724
LTRPA,2014-09-03,35.02,35.85,34.83,35.27,500839,35.02,0.0,35.85,34.83,35.27,1.0,500839
LTRPA,2014-09-04,34.8,35.17,34.65,34.95,1314430,34.8,0.0,35.17,34.65,34.95,1.0,1314430
LTRPA,2014-09-05,34.71,34.99,34.22,34.9,2229955,34.71,0.0,34.99,34.22,34.9,1.0,2229955
LTRPA,2014-09-08,35.2,35.52,34.56,35.49,1495223,35.2,0.0,35.52,34.56,35.49,1.0,1495223
LTRPA,2014-09-09,34.33,35.57,34.12,34.76,2325123,34.33,0.0,35.57,34.12,34.76,1.0,2325123
LTRPA,2014-09-10,35.14,35.295,33.82,33.85,1766864,35.14,0.0,35.295,33.82,33.85,1.0,1766864
LTRPA,2014-09-11,35.26,35.9,34.53,35.28,304556,35.26,0.0,35.9,34.53,35.28,1.0,304556
LTRPA,2014-09-12,36.28,36.29,35.01,35.28,1186135,36.28,0.0,36.29,35.01,35.28,1.0,1186135
LTRPA,2014-09-15,34.77,36.32,34.59,36.32,652267,34.77,0.0,36.32,34.59,36.32,1.0,652267
LTRPA,2014-09-16,34.92,35.18,33.93,34.56,524165,34.92,0.0,35.18,33.93,34.56,1.0,524165
LTRPA,2014-09-17,34.99,35.44,34.06,34.73,637743,34.99,0.0,35.44,34.06,34.73,1.0,637743
LTRPA,2014-09-18,35.78,36.08,35.46,35.8,523754,35.78,0.0,36.08,35.46,35.8,1.0,523754
LTRPA,2014-09-19,36.11,36.62,35.6901,36.62,916591,36.11,0.0,36.62,35.6901,36.62,1.0,916591
LTRPA,2014-09-22,34.74,36.0,34.16,36.0,1166401,34.74,0.0,36.0,34.16,36.0,1.0,1166401
LTRPA,2014-09-23,33.88,35.1,33.49,33.85,1161525,33.88,0.0,35.1,33.49,33.85,1.0,1161525
LTRPA,2014-09-24,34.58,34.68,33.0601,33.63,280494,34.58,0.0,34.68,33.0601,33.63,1.0,280494
LTRPA,2014-09-25,33.61,34.64,33.35,34.19,674621,33.61,0.0,34.64,33.35,34.19,1.0,674621
LTRPA,2014-09-26,33.99,34.25,33.49,33.82,698415,33.99,0.0,34.25,33.49,33.82,1.0,698415
LTRPA,2014-09-29,33.62,33.94,32.91,33.89,278248,33.62,0.0,33.94,32.91,33.89,1.0,278248
LTRPA,2014-09-30,33.9,34.1,32.46,33.72,355712,33.9,0.0,34.1,32.46,33.72,1.0,355712
LTRPA,2014-10-01,33.23,34.04,32.75,34.04,334768,33.23,0.0,34.04,32.75,34.04,1.0,334768
LTRPA,2014-10-02,32.57,33.43,31.9,33.366,633655,32.57,0.0,33.43,31.9,33.366,1.0,633655
LTRPA,2014-10-03,32.7,33.39,32.395,32.89,302306,32.7,0.0,33.39,32.395,32.89,1.0,302306
LTRPA,2014-10-06,32.37,33.42,32.18,32.96,396602,32.37,0.0,33.42,32.18,32.96,1.0,396602
LTRPA,2014-10-07,31.55,32.37,31.5,32.37,398734,31.55,0.0,32.37,31.5,32.37,1.0,398734
LTRPA,2014-10-08,32.03,32.2,29.803,30.44,309295,32.03,0.0,32.2,29.803,30.44,1.0,309295
LTRPA,2014-10-09,30.93,32.23,30.74,32.23,603426,30.93,0.0,32.23,30.74,32.23,1.0,603426
LTRPA,2014-10-10,29.58,31.07,29.39,31.07,345209,29.58,0.0,31.07,29.39,31.07,1.0,345209
LTRPA,2014-10-13,28.27,29.78,28.01,29.4,642219,28.27,0.0,29.78,28.01,29.4,1.0,642219
LTRPA,2014-10-14,27.87,28.73,27.03,28.56,636098,27.87,0.0,28.73,27.03,28.56,1.0,636098
LTRPA,2014-10-15,27.59,27.76,26.39,27.36,714287,27.59,0.0,27.76,26.39,27.36,1.0,714287
LTRPA,2014-10-16,27.79,28.21,26.39,26.54,517321,27.79,0.0,28.21,26.39,26.54,1.0,517321
LTRPA,2014-10-17,28.48,28.7,28.13,28.2,508454,28.48,0.0,28.7,28.13,28.2,1.0,508454
LTRPA,2014-10-20,29.4,29.66,28.38,28.58,285303,29.4,0.0,29.66,28.38,28.58,1.0,285303
LTRPA,2014-10-21,31.47,31.53,29.68,29.89,584411,31.47,0.0,31.53,29.68,29.89,1.0,584411
LTRPA,2014-10-22,30.53,31.72,30.378,31.7,308642,30.53,0.0,31.72,30.378,31.7,1.0,308642
LTRPA,2014-10-23,31.27,31.56,30.515,30.88,371662,31.27,0.0,31.56,30.515,30.88,1.0,371662
LTRPA,2014-10-24,31.6,31.76,30.88,31.18,425124,31.6,0.0,31.76,30.88,31.18,1.0,425124
LTRPA,2014-10-27,31.2,31.52,30.875,31.31,222605,31.2,0.0,31.52,30.875,31.31,1.0,222605
LTRPA,2014-10-28,31.68,31.73,31.18,31.21,392370,31.68,0.0,31.73,31.18,31.21,1.0,392370
