symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
MHLD,2010-01-04,5.2296097757,5.3416228365,5.1876048779,5.1876048779,515000,7.47,0.0,7.63,7.41,7.41,1.0,515000
MHLD,2010-01-05,5.1736032453,5.236610592,5.1455999801,5.236610592,225700,7.39,0.0,7.48,7.35,7.48,1.0,225700
MHLD,2010-01-06,5.0825926334,5.2296097757,5.0335869193,5.1596016127,228600,7.26,0.0,7.47,7.19,7.37,1.0,228600
MHLD,2010-01-07,5.1736032453,5.1806040616,5.0405877356,5.096594266,126200,7.39,0.0,7.4,7.2,7.28,1.0,126200
MHLD,2010-01-08,5.1876048779,5.2226089594,5.0755918171,5.1455999801,89700,7.41,0.0,7.46,7.25,7.35,1.0,89700
MHLD,2010-01-11,5.166602429,5.2226089594,5.1175967149,5.2226089594,88500,7.38,0.0,7.46,7.31,7.46,1.0,88500
MHLD,2010-01-12,5.166602429,5.1946056942,5.0825926334,5.1245975312,131900,7.38,0.0,7.42,7.26,7.32,1.0,131900
MHLD,2010-01-13,5.1806040616,5.2156081431,5.121097123,5.166602429,159500,7.4,0.0,7.45,7.315,7.38,1.0,159500
MHLD,2010-01-14,5.1455999801,5.2436114083,5.1105958986,5.1526007964,137100,7.35,0.0,7.49,7.3,7.36,1.0,137100
MHLD,2010-01-15,5.0825926334,5.1806040616,5.0335869193,5.166602429,252800,7.26,0.0,7.4,7.19,7.38,1.0,252800
MHLD,2010-01-19,5.1455999801,5.3556244691,5.0405877356,5.0755918171,218500,7.35,0.0,7.65,7.2,7.25,1.0,218500
MHLD,2010-01-20,5.0195852867,5.1175967149,4.9075722259,5.096594266,202700,7.17,0.0,7.31,7.01,7.28,1.0,202700
MHLD,2010-01-21,4.9355754911,5.0685910008,4.9075722259,5.0195852867,171600,7.05,0.0,7.24,7.01,7.17,1.0,171600
MHLD,2010-01-22,4.8375640629,4.9495771237,4.746553451,4.9425763074,312800,6.91,0.0,7.07,6.78,7.06,1.0,312800
MHLD,2010-01-25,4.8725681444,4.9215738585,4.8375640629,4.9005714096,115500,6.96,0.0,7.03,6.91,7.0,1.0,115500
MHLD,2010-01-26,4.8305632466,4.886569777,4.816561614,4.8375640629,150300,6.9,0.0,6.98,6.88,6.91,1.0,150300
MHLD,2010-01-27,4.9005714096,4.9005714096,4.7815575325,4.8305632466,123000,7.0,0.0,7.0,6.83,6.9,1.0,123000
MHLD,2010-01-28,4.8095607977,4.9215738585,4.7115493695,4.9145730422,126500,6.87,0.0,7.03,6.73,7.02,1.0,126500
MHLD,2010-01-29,4.7535542673,4.8655673281,4.7045485532,4.8235624303,90200,6.79,0.0,6.95,6.72,6.89,1.0,90200
MHLD,2010-02-01,4.7605550836,4.8795689607,4.6835461043,4.7535542673,784200,6.8,0.0,6.97,6.69,6.79,1.0,784200
MHLD,2010-02-02,4.7255510021,4.7745567162,4.6905469206,4.746553451,153700,6.75,0.0,6.82,6.7,6.78,1.0,153700
MHLD,2010-02-03,4.6205387576,4.7766569611,4.6205387576,4.7045485532,181900,6.6,0.0,6.823,6.6,6.72,1.0,181900
MHLD,2010-02-04,4.5435297783,4.6310399821,4.536528962,4.5645322272,222600,6.49,0.0,6.615,6.48,6.52,1.0,222600
MHLD,2010-02-05,4.5855346761,4.6380407984,4.536528962,4.5645322272,321700,6.55,0.0,6.625,6.48,6.52,1.0,321700
MHLD,2010-02-08,4.5575314109,4.6625436554,4.5435297783,4.5925354924,284900,6.51,0.0,6.66,6.49,6.56,1.0,284900
MHLD,2010-02-09,4.5645322272,4.6905469206,4.5295281457,4.6135379413,135300,6.52,0.0,6.7,6.47,6.59,1.0,135300
MHLD,2010-02-10,4.5645322272,4.5785338598,4.5225273294,4.5435297783,297800,6.52,0.0,6.54,6.46,6.49,1.0,297800
