symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
NCBS,2013-05-17,16.0,16.0,16.0,16.0,300,16.0,0.0,16.0,16.0,16.0,1.0,300
NCBS,2013-05-20,16.0,16.0,16.0,16.0,0,16.0,0.0,16.0,16.0,16.0,1.0,0
NCBS,2013-05-21,15.99,15.99,15.99,15.99,1000,15.99,0.0,15.99,15.99,15.99,1.0,1000
NCBS,2013-05-22,15.99,15.99,15.99,15.99,0,15.99,0.0,15.99,15.99,15.99,1.0,0
NCBS,2013-05-23,16.0,16.0,16.0,16.0,1000,16.0,0.0,16.0,16.0,16.0,1.0,1000
NCBS,2013-05-24,16.0,16.0,16.0,16.0,1300,16.0,0.0,16.0,16.0,16.0,1.0,1300
NCBS,2013-05-28,16.0,16.0,16.0,16.0,0,16.0,0.0,16.0,16.0,16.0,1.0,0
NCBS,2013-05-29,16.0,16.0,16.0,16.0,0,16.0,0.0,16.0,16.0,16.0,1.0,0
NCBS,2013-05-30,16.0,16.0,16.0,16.0,600,16.0,0.0,16.0,16.0,16.0,1.0,600
NCBS,2013-05-31,16.0,16.0,16.0,16.0,0,16.0,0.0,16.0,16.0,16.0,1.0,0
NCBS,2013-06-03,15.8,15.8,15.8,15.8,200,15.8,0.0,15.8,15.8,15.8,1.0,200
NCBS,2013-06-04,16.0,16.0,15.99,15.99,500,16.0,0.0,16.0,15.99,15.99,1.0,500
NCBS,2013-06-05,16.0,16.0,16.0,16.0,0,16.0,0.0,16.0,16.0,16.0,1.0,0
NCBS,2013-06-06,16.0,16.0,16.0,16.0,0,16.0,0.0,16.0,16.0,16.0,1.0,0
NCBS,2013-06-07,16.5,16.5,16.5,16.5,300,16.5,0.0,16.5,16.5,16.5,1.0,300
NCBS,2013-06-10,16.5,16.5,16.5,16.5,0,16.5,0.0,16.5,16.5,16.5,1.0,0
NCBS,2013-06-11,16.5,16.5,16.5,16.5,0,16.5,0.0,16.5,16.5,16.5,1.0,0
NCBS,2013-06-12,16.0,16.049999,16.0,16.049999,1600,16.0,0.0,16.049999,16.0,16.049999,1.0,1600
NCBS,2013-06-13,16.0,16.0,16.0,16.0,600,16.0,0.0,16.0,16.0,16.0,1.0,600
NCBS,2013-06-14,16.0,16.0,16.0,16.0,0,16.0,0.0,16.0,16.0,16.0,1.0,0
NCBS,2013-06-17,16.0,16.0,16.0,16.0,0,16.0,0.0,16.0,16.0,16.0,1.0,0
NCBS,2013-06-18,16.0,16.5,16.0,16.5,1200,16.0,0.0,16.5,16.0,16.5,1.0,1200
NCBS,2013-06-19,16.0,16.0,16.0,16.0,0,16.0,0.0,16.0,16.0,16.0,1.0,0
NCBS,2013-06-20,17.5,17.5,16.0,16.0,700,17.5,0.0,17.5,16.0,16.0,1.0,700
NCBS,2013-06-21,16.5,16.5,16.5,16.5,200,16.5,0.0,16.5,16.5,16.5,1.0,200
NCBS,2013-06-24,16.5,16.5,16.5,16.5,0,16.5,0.0,16.5,16.5,16.5,1.0,0
NCBS,2013-06-25,16.5,16.5,16.5,16.5,0,16.5,0.0,16.5,16.5,16.5,1.0,0
NCBS,2013-06-26,16.5,16.5,16.5,16.5,0,16.5,0.0,16.5,16.5,16.5,1.0,0
NCBS,2013-06-27,16.5,16.5,16.5,16.5,1800,16.5,0.0,16.5,16.5,16.5,1.0,1800
NCBS,2013-06-28,16.5,16.5,16.5,16.5,200,16.5,0.0,16.5,16.5,16.5,1.0,200
NCBS,2013-07-01,16.5,16.5,16.5,16.5,0,16.5,0.0,16.5,16.5,16.5,1.0,0
NCBS,2013-07-02,16.5,16.5,16.5,16.5,0,16.5,0.0,16.5,16.5,16.5,1.0,0
NCBS,2013-07-03,16.5,16.5,16.1,16.5,3000,16.5,0.0,16.5,16.1,16.5,1.0,3000
NCBS,2013-07-05,16.5,16.5,16.5,16.5,200,16.5,0.0,16.5,16.5,16.5,1.0,200
