symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
NEO,2010-01-04,1.5,1.55,1.5,1.55,48600,1.5,0.0,1.55,1.5,1.55,1.0,48600
NEO,2010-01-05,1.52,1.55,1.52,1.52,18500,1.52,0.0,1.55,1.52,1.52,1.0,18500
NEO,2010-01-06,1.52,1.52,1.52,1.52,6900,1.52,0.0,1.52,1.52,1.52,1.0,6900
NEO,2010-01-07,1.3,1.52,1.24,1.52,174800,1.3,0.0,1.52,1.24,1.52,1.0,174800
NEO,2010-01-08,1.4,1.49,1.35,1.35,33400,1.4,0.0,1.49,1.35,1.35,1.0,33400
NEO,2010-01-11,1.35,1.4,1.33,1.4,63100,1.35,0.0,1.4,1.33,1.4,1.0,63100
NEO,2010-01-12,1.35,1.356,1.35,1.35,5500,1.35,0.0,1.356,1.35,1.35,1.0,5500
NEO,2010-01-13,1.35,1.35,1.35,1.35,11100,1.35,0.0,1.35,1.35,1.35,1.0,11100
NEO,2010-01-14,1.36,1.36,1.35,1.35,7800,1.36,0.0,1.36,1.35,1.35,1.0,7800
NEO,2010-01-15,1.35,1.36,1.34,1.36,21800,1.35,0.0,1.36,1.34,1.36,1.0,21800
NEO,2010-01-19,1.36,1.37,1.35,1.35,11800,1.36,0.0,1.37,1.35,1.35,1.0,11800
NEO,2010-01-20,1.4,1.4,1.35,1.3522,14100,1.4,0.0,1.4,1.35,1.3522,1.0,14100
NEO,2010-01-21,1.5,1.54,1.4,1.4,38400,1.5,0.0,1.54,1.4,1.4,1.0,38400
NEO,2010-01-22,1.41,1.54,1.41,1.42,5500,1.41,0.0,1.54,1.41,1.42,1.0,5500
NEO,2010-01-25,1.47,1.54,1.4,1.41,18000,1.47,0.0,1.54,1.4,1.41,1.0,18000
NEO,2010-01-26,1.43,1.49,1.43,1.49,2400,1.43,0.0,1.49,1.43,1.49,1.0,2400
NEO,2010-01-27,1.5,1.5,1.43,1.49,27500,1.5,0.0,1.5,1.43,1.49,1.0,27500
NEO,2010-01-28,1.43,1.5,1.43,1.5,9500,1.43,0.0,1.5,1.43,1.5,1.0,9500
NEO,2010-01-29,1.46,1.48,1.43,1.48,12700,1.46,0.0,1.48,1.43,1.48,1.0,12700
NEO,2010-02-01,1.45,1.45,1.43,1.43,7300,1.45,0.0,1.45,1.43,1.43,1.0,7300
NEO,2010-02-02,1.45,1.45,1.45,1.45,0,1.45,0.0,1.45,1.45,1.45,1.0,0
NEO,2010-02-03,1.46,1.54,1.45,1.45,28900,1.46,0.0,1.54,1.45,1.45,1.0,28900
NEO,2010-02-04,1.46,1.46,1.46,1.46,6500,1.46,0.0,1.46,1.46,1.46,1.0,6500
NEO,2010-02-05,1.35,1.45,1.35,1.45,28500,1.35,0.0,1.45,1.35,1.45,1.0,28500
NEO,2010-02-08,1.35,1.4,1.35,1.4,11400,1.35,0.0,1.4,1.35,1.4,1.0,11400
NEO,2010-02-09,1.27,1.32,1.2,1.3,47900,1.27,0.0,1.32,1.2,1.3,1.0,47900
NEO,2010-02-10,1.25,1.28,1.15,1.27,54700,1.25,0.0,1.28,1.15,1.27,1.0,54700
NEO,2010-02-11,1.32,1.32,1.26,1.26,8000,1.32,0.0,1.32,1.26,1.26,1.0,8000
NEO,2010-02-12,1.33,1.35,1.32,1.32,9800,1.33,0.0,1.35,1.32,1.32,1.0,9800
NEO,2010-02-16,1.33,1.38,1.33,1.33,17800,1.33,0.0,1.38,1.33,1.33,1.0,17800
NEO,2010-02-17,1.32,1.36,1.32,1.36,32400,1.32,0.0,1.36,1.32,1.36,1.0,32400
NEO,2010-02-18,1.32,1.32,1.32,1.32,3200,1.32,0.0,1.32,1.32,1.32,1.0,3200
NEO,2010-02-19,1.39,1.39,1.33,1.33,10500,1.39,0.0,1.39,1.33,1.33,1.0,10500
NEO,2010-02-22,1.39,1.4,1.35,1.35,9500,1.39,0.0,1.4,1.35,1.35,1.0,9500
NEO,2010-02-23,1.38,1.38,1.38,1.38,500,1.38,0.0,1.38,1.38,1.38,1.0,500
NEO,2010-02-24,1.33,1.33,1.28,1.33,72000,1.33,0.0,1.33,1.28,1.33,1.0,72000
NEO,2010-02-25,1.38,1.38,1.25,1.28,6300,1.38,0.0,1.38,1.25,1.28,1.0,6300
NEO,2010-02-26,1.36,1.39,1.36,1.38,21500,1.36,0.0,1.39,1.36,1.38,1.0,21500
