symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
NFEC,2010-01-04,11.25,11.75,10.25,10.35,37906,4.5,0.0,4.7,4.1,4.14,1.0,94765
NFEC,2010-01-05,11.525,12.125,11.375,11.5,49939,4.61,0.0,4.85,4.55,4.6,1.0,124849
NFEC,2010-01-06,11.925,12.1,11.625,12.1,19267,4.77,0.0,4.84,4.65,4.84,1.0,48168
NFEC,2010-01-07,11.75,11.95,11.5,11.95,14889,4.7,0.0,4.78,4.6,4.78,1.0,37223
NFEC,2010-01-08,11.45,11.775,11.375,11.75,23316,4.58,0.0,4.71,4.55,4.7,1.0,58291
NFEC,2010-01-11,11.75,11.75,11.275,11.625,20433,4.7,0.0,4.7,4.51,4.65,1.0,51083
NFEC,2010-01-12,11.25,11.75,10.625,11.75,22651,4.5,0.0,4.7,4.25,4.7,1.0,56629
NFEC,2010-01-13,10.975,11.3,10.625,11.3,26689,4.39,0.0,4.52,4.25,4.52,1.0,66723
NFEC,2010-01-14,11.125,11.35,10.75,11.225,9840,4.45,0.0,4.54,4.3,4.49,1.0,24600
NFEC,2010-01-15,11.25,11.7,10.675,11.125,23266,4.5,0.0,4.68,4.27,4.45,1.0,58166
NFEC,2010-01-19,11.75,11.75,11.25,11.5,60651,4.7,0.0,4.7,4.5,4.6,1.0,151629
NFEC,2010-01-20,11.25,11.75,11.2,11.75,13286,4.5,0.0,4.7,4.48,4.7,1.0,33215
NFEC,2010-01-21,10.625,11.125,10.625,11.0,18607,4.25,0.0,4.45,4.25,4.4,1.0,46519
NFEC,2010-01-22,11.1,11.225,10.25,10.625,13574,4.44,0.0,4.49,4.1,4.25,1.0,33936
NFEC,2010-01-25,11.1,11.1,10.4,11.1,22270,4.44,0.0,4.44,4.16,4.44,1.0,55675
NFEC,2010-01-26,10.975,10.975,10.5,10.85,11200,4.39,0.0,4.39,4.2,4.34,1.0,28000
NFEC,2010-01-27,10.625,10.775,10.375,10.5,12458,4.25,0.0,4.31,4.15,4.2,1.0,31145
NFEC,2010-01-28,10.0,10.4,10.0,10.4,13755,4.0,0.0,4.16,4.0,4.16,1.0,34389
NFEC,2010-01-29,9.2,10.25,9.2,10.0,18936,3.68,0.0,4.1,3.68,4.0,1.0,47340
NFEC,2010-02-01,10.5,10.5,8.75,9.0,38590,4.2,0.0,4.2,3.5,3.6,1.0,96475
NFEC,2010-02-02,9.875,10.25,9.75,10.25,12099,3.95,0.0,4.1,3.9,4.1,1.0,30248
NFEC,2010-02-03,9.5,10.25,9.4,9.8,12820,3.8,0.0,4.1,3.76,3.92,1.0,32050
NFEC,2010-02-04,9.5,9.5,9.25,9.5,11195,3.8,0.0,3.8,3.7,3.8,1.0,27989
NFEC,2010-02-05,9.125,9.625,7.775,9.15,63246,3.65,0.0,3.85,3.11,3.66,1.0,158117
NFEC,2010-02-08,9.0,9.0,8.75,8.875,6080,3.6,0.0,3.6,3.5,3.55,1.0,15200
NFEC,2010-02-09,9.325,9.325,8.9,8.9,3518,3.73,0.0,3.73,3.56,3.56,1.0,8795
NFEC,2010-02-10,8.875,9.325,8.5,9.0,3872,3.55,0.0,3.73,3.4,3.6,1.0,9680
NFEC,2010-02-11,9.1,9.125,8.625,8.875,6060,3.64,0.0,3.65,3.45,3.55,1.0,15150
NFEC,2010-02-12,8.75,9.0,8.75,9.0,6836,3.5,0.0,3.6,3.5,3.6,1.0,17090
NFEC,2010-02-16,8.5,8.7,8.5,8.7,8894,3.4,0.0,3.48,3.4,3.48,1.0,22237
NFEC,2010-02-17,9.25,9.25,8.5,8.5,9550,3.7,0.0,3.7,3.4,3.4,1.0,23876
NFEC,2010-02-18,8.75,9.125,8.75,9.125,2026,3.5,0.0,3.65,3.5,3.65,1.0,5066
NFEC,2010-02-19,8.75,9.0,8.75,8.75,2440,3.5,0.0,3.6,3.5,3.5,1.0,6100
NFEC,2010-02-22,9.3,9.475,8.75,8.75,19150,3.72,0.0,3.79,3.5,3.5,1.0,47877
NFEC,2010-02-23,9.0,9.65,8.875,8.875,5740,3.6,0.0,3.86,3.55,3.55,1.0,14350
NFEC,2010-02-24,8.875,9.0,8.875,8.875,1882,3.55,0.0,3.6,3.55,3.55,1.0,4706
NFEC,2010-02-25,8.625,9.0,8.125,8.875,28302,3.45,0.0,3.6,3.25,3.55,1.0,70756
NFEC,2010-02-26,8.0,8.5,7.75,8.5,12686,3.2,0.0,3.4,3.1,3.4,1.0,31715
NFEC,2010-03-01,8.075,8.125,7.575,8.125,24554,3.23,0.0,3.25,3.03,3.25,1.0,61386
NFEC,2010-03-02,8.125,8.125,7.775,8.125,14065,3.25,0.0,3.25,3.11,3.25,1.0,35164
NFEC,2010-03-03,8.25,8.25,7.875,8.0,4994,3.3,0.0,3.3,3.15,3.2,1.0,12487
NFEC,2010-03-04,9.125,9.35,8.25,8.25,70953,3.65,0.0,3.74,3.3,3.3,1.0,177383
NFEC,2010-03-05,9.5,9.6,8.75,8.875,28886,3.8,0.0,3.84,3.5,3.55,1.0,72217
NFEC,2010-03-08,9.875,9.975,9.275,9.275,28328,3.95,0.0,3.99,3.71,3.71,1.0,70822
NFEC,2010-03-09,10.125,10.5,9.75,10.0,19790,4.05,0.0,4.2,3.9,4.0,1.0,49476
NFEC,2010-03-10,10.0,10.2,9.875,10.2,12128,4.0,0.0,4.08,3.95,4.08,1.0,30320
NFEC,2010-03-11,10.0,10.075,9.875,10.0,4522,4.0,0.0,4.03,3.95,4.0,1.0,11307
NFEC,2010-03-12,10.0,10.0,9.825,10.0,6197,4.0,0.0,4.0,3.93,4.0,1.0,15494
NFEC,2010-03-15,10.0,10.075,10.0,10.0,1880,4.0,0.0,4.03,4.0,4.0,1.0,4701
NFEC,2010-03-16,10.075,10.1,9.875,10.0,8754,4.03,0.0,4.04,3.95,4.0,1.0,21886
NFEC,2010-03-17,10.075,10.125,10.0,10.075,18708,4.03,0.0,4.05,4.0,4.03,1.0,46771
NFEC,2010-03-18,10.1,10.1,9.875,10.0,4632,4.04,0.0,4.04,3.95,4.0,1.0,11580
NFEC,2010-03-19,10.05,10.075,8.625,10.0,44616,4.02,0.0,4.03,3.45,4.0,1.0,111542
NFEC,2010-03-22,10.0,10.0,9.0,9.875,19766,4.0,0.0,4.0,3.6,3.95,1.0,49416
NFEC,2010-03-23,10.0,10.0,9.3,9.75,14160,4.0,0.0,4.0,3.72,3.9,1.0,35400
NFEC,2010-03-24,10.0,10.0,9.25,9.5,30358,4.0,0.0,4.0,3.7,3.8,1.0,75895
NFEC,2010-03-25,10.0,10.0,9.4,9.575,44453,4.0,0.0,4.0,3.76,3.83,1.0,111133
NFEC,2010-03-26,9.75,9.95,9.0,9.875,52519,3.9,0.0,3.98,3.6,3.95,1.0,131299
NFEC,2010-03-29,9.425,9.425,9.125,9.25,6634,3.77,0.0,3.77,3.65,3.7,1.0,16585
NFEC,2010-03-30,9.9,9.9,9.15,9.75,30713,3.96,0.0,3.96,3.66,3.9,1.0,76783
NFEC,2010-03-31,10.0,10.0,9.75,10.0,28060,4.0,0.0,4.0,3.9,4.0,1.0,70150
NFEC,2010-04-01,9.975,9.975,9.75,9.75,49857,3.99,0.0,3.99,3.9,3.9,1.0,124643
NFEC,2010-04-05,10.0,10.0,9.625,9.625,7626,4.0,0.0,4.0,3.85,3.85,1.0,19066
NFEC,2010-04-06,9.775,10.0,9.775,9.975,4180,3.91,0.0,4.0,3.91,3.99,1.0,10450
NFEC,2010-04-07,9.925,9.95,9.775,9.95,16740,3.97,0.0,3.98,3.91,3.98,1.0,41850
NFEC,2010-04-08,9.875,9.95,9.875,9.925,4260,3.95,0.0,3.98,3.95,3.97,1.0,10650
NFEC,2010-04-09,9.775,9.925,9.775,9.875,13060,3.91,0.0,3.97,3.91,3.95,1.0,32650
NFEC,2010-04-12,9.75,9.925,9.75,9.775,10658,3.9,0.0,3.97,3.9,3.91,1.0,26647
NFEC,2010-04-13,9.5,9.8,9.5,9.75,20447,3.8,0.0,3.92,3.8,3.9,1.0,51119
NFEC,2010-04-14,9.625,9.625,9.375,9.45,5768,3.85,0.0,3.85,3.75,3.78,1.0,14421
NFEC,2010-04-15,9.375,9.725,9.275,9.375,12420,3.75,0.0,3.89,3.71,3.75,1.0,31050
NFEC,2010-04-16,9.25,9.35,9.15,9.35,13006,3.7,0.0,3.74,3.66,3.74,1.0,32516
NFEC,2010-04-19,9.25,9.5,9.175,9.5,3146,3.7,0.0,3.8,3.67,3.8,1.0,7865
NFEC,2010-04-20,9.575,9.575,9.25,9.25,10746,3.83,0.0,3.83,3.7,3.7,1.0,26865
NFEC,2010-04-21,9.5,9.625,9.375,9.575,5710,3.8,0.0,3.85,3.75,3.83,1.0,14275
NFEC,2010-04-22,9.6,9.625,9.5,9.5,6998,3.84,0.0,3.85,3.8,3.8,1.0,17497
NFEC,2010-04-23,9.5,9.725,9.25,9.25,4093,3.8,0.0,3.89,3.7,3.7,1.0,10233
NFEC,2010-04-26,9.375,9.675,9.275,9.625,3481,3.75,0.0,3.87,3.71,3.85,1.0,8704
NFEC,2010-04-27,9.575,9.625,9.375,9.375,1680,3.83,0.0,3.85,3.75,3.75,1.0,4200
NFEC,2010-04-28,9.575,9.575,9.375,9.375,300,3.83,0.0,3.83,3.75,3.75,1.0,750
NFEC,2010-04-29,8.95,9.375,8.875,9.275,6093,3.58,0.0,3.75,3.55,3.71,1.0,15233
NFEC,2010-04-30,9.0,9.0,8.5,8.925,3136,3.6,0.0,3.6,3.4,3.57,1.0,7841
NFEC,2010-05-03,9.25,9.45,9.0,9.05,7912,3.7,0.0,3.78,3.6,3.62,1.0,19780
NFEC,2010-05-04,9.25,9.375,9.25,9.25,8000,3.7,0.0,3.75,3.7,3.7,1.0,20000
NFEC,2010-05-05,9.0,9.125,8.125,9.0,2040,3.6,0.0,3.65,3.25,3.6,1.0,5100
NFEC,2010-05-06,8.25,8.25,7.5,8.25,10896,3.3,0.0,3.3,3.0,3.3,1.0,27240
NFEC,2010-05-07,7.5,7.725,7.25,7.5,8063,3.0,0.0,3.09,2.9,3.0,1.0,20159
