symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
NXEO,2014-09-24,9.87,9.88,9.86,9.88,7040,9.87,0.0,9.88,9.86,9.88,1.0,7040
NXEO,2014-09-25,9.87,9.87,9.87,9.87,0,9.87,0.0,9.87,9.87,9.87,1.0,0
NXEO,2014-09-26,9.9,9.93,9.86,9.87,18851,9.9,0.0,9.93,9.86,9.87,1.0,18851
NXEO,2014-09-29,9.866,9.866,9.85,9.85,601,9.866,0.0,9.866,9.85,9.85,1.0,601
NXEO,2014-09-30,9.89,9.89,9.89,9.89,200,9.89,0.0,9.89,9.89,9.89,1.0,200
NXEO,2014-10-01,9.89,9.89,9.89,9.89,350,9.89,0.0,9.89,9.89,9.89,1.0,350
NXEO,2014-10-02,9.87,9.9,9.87,9.8999,35902,9.87,0.0,9.9,9.87,9.8999,1.0,35902
NXEO,2014-10-03,9.93,10.0,9.9099,9.91,136480,9.93,0.0,10.0,9.9099,9.91,1.0,136480
NXEO,2014-10-06,9.87,10.0,9.86,10.0,98580,9.87,0.0,10.0,9.86,10.0,1.0,98580
NXEO,2014-10-07,9.87,9.94,9.87,9.94,11750,9.87,0.0,9.94,9.87,9.94,1.0,11750
NXEO,2014-10-08,9.9,9.93,9.8699,9.93,17900,9.9,0.0,9.93,9.8699,9.93,1.0,17900
NXEO,2014-10-09,9.87,9.8999,9.87,9.8999,3900,9.87,0.0,9.8999,9.87,9.8999,1.0,3900
NXEO,2014-10-10,9.8999,9.9,9.87,9.9,4800,9.8999,0.0,9.9,9.87,9.9,1.0,4800
NXEO,2014-10-13,9.86,9.96,9.86,9.96,8461,9.86,0.0,9.96,9.86,9.96,1.0,8461
NXEO,2014-10-14,9.85,9.98,9.85,9.91,4601,9.85,0.0,9.98,9.85,9.91,1.0,4601
NXEO,2014-10-15,9.85,9.8599,9.8,9.85,103793,9.85,0.0,9.8599,9.8,9.85,1.0,103793
NXEO,2014-10-16,9.7,9.79,9.17,9.79,119519,9.7,0.0,9.79,9.17,9.79,1.0,119519
NXEO,2014-10-17,9.79,9.79,9.6601,9.76,12562,9.79,0.0,9.79,9.6601,9.76,1.0,12562
NXEO,2014-10-20,9.81,9.81,9.66,9.75,1663,9.81,0.0,9.81,9.66,9.75,1.0,1663
NXEO,2014-10-21,9.83,9.83,9.7628,9.81,701,9.83,0.0,9.83,9.7628,9.81,1.0,701
NXEO,2014-10-22,9.84,9.84,9.82,9.82,1210,9.84,0.0,9.84,9.82,9.82,1.0,1210
NXEO,2014-10-23,9.83,9.85,9.82,9.85,500,9.83,0.0,9.85,9.82,9.85,1.0,500
NXEO,2014-10-24,9.85,9.85,9.8299,9.8299,4700,9.85,0.0,9.85,9.8299,9.8299,1.0,4700
NXEO,2014-10-27,10.1525,10.1525,9.9,9.9,57065,10.1525,0.0,10.1525,9.9,9.9,1.0,57065
NXEO,2014-10-28,10.115,10.2,9.95,10.2,22917,10.115,0.0,10.2,9.95,10.2,1.0,22917
NXEO,2014-10-29,10.0,10.15,9.82,10.11,35109,10.0,0.0,10.15,9.82,10.11,1.0,35109
NXEO,2014-10-30,10.15,10.15,9.95,10.051,34100,10.15,0.0,10.15,9.95,10.051,1.0,34100
NXEO,2014-10-31,10.08,10.08,9.969,9.969,5903,10.08,0.0,10.08,9.969,9.969,1.0,5903
NXEO,2014-11-03,10.01,10.075,9.951,10.051,8808,10.01,0.0,10.075,9.951,10.051,1.0,8808
NXEO,2014-11-04,10.01,10.01,10.01,10.01,1,10.01,0.0,10.01,10.01,10.01,1.0,1
NXEO,2014-11-05,10.15,10.15,10.15,10.15,105,10.15,0.0,10.15,10.15,10.15,1.0,105
NXEO,2014-11-06,10.0,10.0,10.0,10.0,2501,10.0,0.0,10.0,10.0,10.0,1.0,2501
NXEO,2014-11-07,10.0499,10.0499,10.0499,10.0499,250,10.0499,0.0,10.0499,10.0499,10.0499,1.0,250
NXEO,2014-11-10,10.05,10.05,10.05,10.05,1064,10.05,0.0,10.05,10.05,10.05,1.0,1064
NXEO,2014-11-11,10.14,10.14,10.14,10.14,500,10.14,0.0,10.14,10.14,10.14,1.0,500
NXEO,2014-11-12,10.07,10.1218,10.0562,10.1218,4101,10.07,0.0,10.1218,10.0562,10.1218,1.0,4101
NXEO,2014-11-13,10.0,10.15,10.0,10.15,3470,10.0,0.0,10.15,10.0,10.15,1.0,3470
NXEO,2014-11-14,10.1,10.1,10.0001,10.08,1851,10.1,0.0,10.1,10.0001,10.08,1.0,1851
NXEO,2014-11-17,10.1,10.1,10.0362,10.05,3332,10.1,0.0,10.1,10.0362,10.05,1.0,3332
NXEO,2014-11-18,10.065,10.15,10.0,10.15,6022,10.065,0.0,10.15,10.0,10.15,1.0,6022
NXEO,2014-11-19,10.14,10.15,10.14,10.149,1218,10.14,0.0,10.15,10.14,10.149,1.0,1218
NXEO,2014-11-20,10.15,10.15,10.15,10.15,350,10.15,0.0,10.15,10.15,10.15,1.0,350
NXEO,2014-11-21,10.1999,10.1999,10.07,10.07,8129,10.1999,0.0,10.1999,10.07,10.07,1.0,8129
NXEO,2014-11-24,10.24,10.26,10.19,10.19,12971,10.24,0.0,10.26,10.19,10.19,1.0,12971
NXEO,2014-11-25,10.24,10.24,10.24,10.24,0,10.24,0.0,10.24,10.24,10.24,1.0,0
NXEO,2014-11-26,10.24,10.25,10.24,10.25,910,10.24,0.0,10.25,10.24,10.25,1.0,910
NXEO,2014-11-28,10.178,10.25,10.142,10.25,6401,10.178,0.0,10.25,10.142,10.25,1.0,6401
NXEO,2014-12-01,10.235,10.28,10.14,10.28,14860,10.235,0.0,10.28,10.14,10.28,1.0,14860
NXEO,2014-12-02,10.25,10.25,10.19,10.25,16752,10.25,0.0,10.25,10.19,10.25,1.0,16752
NXEO,2014-12-03,10.25,10.29,10.244,10.29,4141,10.25,0.0,10.29,10.244,10.29,1.0,4141
NXEO,2014-12-04,10.14,10.3,10.14,10.3,7150,10.14,0.0,10.3,10.14,10.3,1.0,7150
NXEO,2014-12-05,10.33,10.33,10.2,10.31,1501,10.33,0.0,10.33,10.2,10.31,1.0,1501
NXEO,2014-12-08,10.3,10.3,10.2749,10.2749,1302,10.3,0.0,10.3,10.2749,10.2749,1.0,1302
NXEO,2014-12-09,10.32,10.32,10.15,10.3,19300,10.32,0.0,10.32,10.15,10.3,1.0,19300
NXEO,2014-12-10,10.48,10.765,10.35,10.39,4053,10.48,0.0,10.765,10.35,10.39,1.0,4053
NXEO,2014-12-11,10.54,10.54,10.54,10.54,251,10.54,0.0,10.54,10.54,10.54,1.0,251
NXEO,2014-12-12,10.75,11.0201,10.35,10.35,36651,10.75,0.0,11.0201,10.35,10.35,1.0,36651
NXEO,2014-12-15,10.4,10.83,10.3,10.83,4352,10.4,0.0,10.83,10.3,10.83,1.0,4352
NXEO,2014-12-16,10.49,10.49,10.44,10.4608,2302,10.49,0.0,10.49,10.44,10.4608,1.0,2302
NXEO,2014-12-17,10.56,10.59,10.13,10.45,6915,10.56,0.0,10.59,10.13,10.45,1.0,6915
NXEO,2014-12-18,10.34,10.5,10.08,10.4,26861,10.34,0.0,10.5,10.08,10.4,1.0,26861
NXEO,2014-12-19,10.29,10.46,10.21,10.25,3804,10.29,0.0,10.46,10.21,10.25,1.0,3804
NXEO,2014-12-22,10.33,10.35,10.14,10.2,17847,10.33,0.0,10.35,10.14,10.2,1.0,17847
NXEO,2014-12-23,10.35,10.35,10.3,10.3,2300,10.35,0.0,10.35,10.3,10.3,1.0,2300
NXEO,2014-12-24,10.35,10.35,10.35,10.35,0,10.35,0.0,10.35,10.35,10.35,1.0,0
NXEO,2014-12-26,10.35,10.35,10.2282,10.35,500,10.35,0.0,10.35,10.2282,10.35,1.0,500
NXEO,2014-12-29,10.35,10.35,10.35,10.35,111,10.35,0.0,10.35,10.35,10.35,1.0,111
NXEO,2014-12-30,10.35,10.36,10.25,10.25,2205,10.35,0.0,10.36,10.25,10.25,1.0,2205
NXEO,2014-12-31,10.26,10.3499,10.26,10.3499,502,10.26,0.0,10.3499,10.26,10.3499,1.0,502
NXEO,2015-01-02,10.26,10.26,10.26,10.26,2,10.26,0.0,10.26,10.26,10.26,1.0,2
NXEO,2015-01-05,10.3,10.3,10.25,10.3,302,10.3,0.0,10.3,10.25,10.3,1.0,302
NXEO,2015-01-06,10.17,10.35,9.83,10.3,21634,10.17,0.0,10.35,9.83,10.3,1.0,21634
NXEO,2015-01-07,10.23,10.35,10.23,10.35,913,10.23,0.0,10.35,10.23,10.35,1.0,913
NXEO,2015-01-08,10.25,10.45,10.25,10.3,10816,10.25,0.0,10.45,10.25,10.3,1.0,10816
NXEO,2015-01-09,10.25,10.25,10.25,10.25,103,10.25,0.0,10.25,10.25,10.25,1.0,103
NXEO,2015-01-12,10.3,10.3,10.27,10.27,1305,10.3,0.0,10.3,10.27,10.27,1.0,1305
NXEO,2015-01-13,10.35,10.35,10.25,10.349,12649,10.35,0.0,10.35,10.25,10.349,1.0,12649
NXEO,2015-01-14,10.18,10.2601,10.18,10.25,7707,10.18,0.0,10.2601,10.18,10.25,1.0,7707
NXEO,2015-01-15,10.2988,10.2988,10.2988,10.2988,1105,10.2988,0.0,10.2988,10.2988,10.2988,1.0,1105
NXEO,2015-01-16,10.254,10.254,10.254,10.254,581,10.254,0.0,10.254,10.254,10.254,1.0,581
NXEO,2015-01-20,10.3,10.35,10.26,10.3399,15477,10.3,0.0,10.35,10.26,10.3399,1.0,15477
NXEO,2015-01-21,10.21,10.37,10.18,10.26,11811,10.21,0.0,10.37,10.18,10.26,1.0,11811
NXEO,2015-01-22,10.21,10.4,10.21,10.24,20299,10.21,0.0,10.4,10.21,10.24,1.0,20299
NXEO,2015-01-23,10.25,10.35,10.25,10.26,15676,10.25,0.0,10.35,10.25,10.26,1.0,15676
NXEO,2015-01-26,10.24,10.3,10.2,10.249,18982,10.24,0.0,10.3,10.2,10.249,1.0,18982
NXEO,2015-01-27,10.0,10.18,10.0,10.18,60864,10.0,0.0,10.18,10.0,10.18,1.0,60864
NXEO,2015-01-28,9.9,10.06,9.9,10.055,19391,9.9,0.0,10.06,9.9,10.055,1.0,19391
NXEO,2015-01-29,9.95,9.9899,9.9,9.98,90260,9.95,0.0,9.9899,9.9,9.98,1.0,90260
NXEO,2015-01-30,9.89,9.959,9.86,9.95,84794,9.89,0.0,9.959,9.86,9.95,1.0,84794
NXEO,2015-02-02,9.97,10.29,9.89,9.89,20807,9.97,0.0,10.29,9.89,9.89,1.0,20807
NXEO,2015-02-03,9.98,9.99,9.94,9.951,27899,9.98,0.0,9.99,9.94,9.951,1.0,27899
NXEO,2015-02-04,9.99,9.99,9.94,9.99,9143,9.99,0.0,9.99,9.94,9.99,1.0,9143
NXEO,2015-02-05,9.91,9.97,9.89,9.95,49885,9.91,0.0,9.97,9.89,9.95,1.0,49885
NXEO,2015-02-06,9.961,9.979,9.93,9.945,55198,9.961,0.0,9.979,9.93,9.945,1.0,55198
NXEO,2015-02-09,10.01,10.01,9.95,9.96,22697,10.01,0.0,10.01,9.95,9.96,1.0,22697
NXEO,2015-02-10,9.9982,10.0,9.9566,9.9566,16636,9.9982,0.0,10.0,9.9566,9.9566,1.0,16636
NXEO,2015-02-11,9.88,9.98,9.88,9.97,66545,9.88,0.0,9.98,9.88,9.97,1.0,66545
NXEO,2015-02-12,9.93,9.98,9.92,9.921,30485,9.93,0.0,9.98,9.92,9.921,1.0,30485
NXEO,2015-02-13,9.92,10.019,9.92,9.97,103041,9.92,0.0,10.019,9.92,9.97,1.0,103041
NXEO,2015-02-17,9.99,10.0,9.96,9.97,30023,9.99,0.0,10.0,9.96,9.97,1.0,30023
NXEO,2015-02-18,10.0,10.0001,9.9644,9.97,8243,10.0,0.0,10.0001,9.9644,9.97,1.0,8243
NXEO,2015-02-19,9.97,10.02,9.95,10.02,24130,9.97,0.0,10.02,9.95,10.02,1.0,24130
NXEO,2015-02-20,9.96,9.99,9.95,9.9801,43469,9.96,0.0,9.99,9.95,9.9801,1.0,43469
NXEO,2015-02-23,9.97,9.99,9.9677,9.98,26915,9.97,0.0,9.99,9.9677,9.98,1.0,26915
NXEO,2015-02-24,9.97,10.0099,9.95,9.9799,35354,9.97,0.0,10.0099,9.95,9.9799,1.0,35354
NXEO,2015-02-25,9.9799,9.98,9.95,9.95,6621,9.9799,0.0,9.98,9.95,9.95,1.0,6621
NXEO,2015-02-26,9.989,10.01,9.98,10.01,6580,9.989,0.0,10.01,9.98,10.01,1.0,6580
NXEO,2015-02-27,10.01,10.02,9.96,10.02,11196,10.01,0.0,10.02,9.96,10.02,1.0,11196
NXEO,2015-03-02,10.0,10.03,9.97,9.97,11078,10.0,0.0,10.03,9.97,9.97,1.0,11078
NXEO,2015-03-03,9.99,10.0,9.989,10.0,4611,9.99,0.0,10.0,9.989,10.0,1.0,4611
NXEO,2015-03-04,9.97,10.05,9.96,10.0,40440,9.97,0.0,10.05,9.96,10.0,1.0,40440
NXEO,2015-03-05,9.96,10.0,9.96,9.969,32187,9.96,0.0,10.0,9.96,9.969,1.0,32187
NXEO,2015-03-06,10.0,10.0351,9.99,10.0351,28800,10.0,0.0,10.0351,9.99,10.0351,1.0,28800
NXEO,2015-03-09,9.97,9.99,9.9596,9.9596,8041,9.97,0.0,9.99,9.9596,9.9596,1.0,8041
NXEO,2015-03-10,9.97,9.9899,9.97,9.97,3544,9.97,0.0,9.9899,9.97,9.97,1.0,3544
NXEO,2015-03-11,9.98,10.0,9.96,9.99,17696,9.98,0.0,10.0,9.96,9.99,1.0,17696
NXEO,2015-03-12,9.99,9.99,9.97,9.99,3927,9.99,0.0,9.99,9.97,9.99,1.0,3927
NXEO,2015-03-13,9.98,9.99,9.98,9.9844,21596,9.98,0.0,9.99,9.98,9.9844,1.0,21596
NXEO,2015-03-16,10.01,10.01,9.99,9.99,36093,10.01,0.0,10.01,9.99,9.99,1.0,36093
NXEO,2015-03-17,10.0,10.0001,10.0,10.0,503911,10.0,0.0,10.0001,10.0,10.0,1.0,503911
NXEO,2015-03-18,9.9999,10.0,9.99,9.99,1518,9.9999,0.0,10.0,9.99,9.99,1.0,1518
NXEO,2015-03-19,9.99,10.0,9.99,10.0,3213,9.99,0.0,10.0,9.99,10.0,1.0,3213
NXEO,2015-03-20,9.99,10.04,9.99,10.04,5944,9.99,0.0,10.04,9.99,10.04,1.0,5944
NXEO,2015-03-23,10.0,10.04,10.0,10.04,702,10.0,0.0,10.04,10.0,10.04,1.0,702
NXEO,2015-03-24,9.98,10.0,9.98,10.0,26139,9.98,0.0,10.0,9.98,10.0,1.0,26139
NXEO,2015-03-25,10.02,10.02,9.99,10.02,6301,10.02,0.0,10.02,9.99,10.02,1.0,6301
NXEO,2015-03-26,10.03,10.03,9.9501,9.9501,20729,10.03,0.0,10.03,9.9501,9.9501,1.0,20729
NXEO,2015-03-27,10.03,10.03,10.03,10.03,0,10.03,0.0,10.03,10.03,10.03,1.0,0
NXEO,2015-03-30,9.99,10.0,9.97,9.9703,7903,9.99,0.0,10.0,9.97,9.9703,1.0,7903
NXEO,2015-03-31,10.0,10.01,9.97,9.99,285873,10.0,0.0,10.01,9.97,9.99,1.0,285873
NXEO,2015-04-01,10.0,10.03,9.99,10.03,353957,10.0,0.0,10.03,9.99,10.03,1.0,353957
NXEO,2015-04-02,9.995,10.03,9.99,10.03,43266,9.995,0.0,10.03,9.99,10.03,1.0,43266
NXEO,2015-04-06,10.0,10.19,9.988,9.988,336282,10.0,0.0,10.19,9.988,9.988,1.0,336282
NXEO,2015-04-07,10.055,10.2,10.0,10.0,641524,10.055,0.0,10.2,10.0,10.0,1.0,641524
NXEO,2015-04-08,10.08,10.17,10.045,10.06,22827,10.08,0.0,10.17,10.045,10.06,1.0,22827
NXEO,2015-04-09,10.12,10.12,10.05,10.05,26905,10.12,0.0,10.12,10.05,10.05,1.0,26905
NXEO,2015-04-10,10.11,10.12,10.0972,10.12,13623,10.11,0.0,10.12,10.0972,10.12,1.0,13623
NXEO,2015-04-13,10.15,10.25,10.11,10.11,28453,10.15,0.0,10.25,10.11,10.11,1.0,28453
NXEO,2015-04-14,10.18,10.19,10.1399,10.15,15085,10.18,0.0,10.19,10.1399,10.15,1.0,15085
NXEO,2015-04-15,10.29,10.29,10.13,10.16,21831,10.29,0.0,10.29,10.13,10.16,1.0,21831
NXEO,2015-04-16,10.2,10.2,10.14,10.14,7410,10.2,0.0,10.2,10.14,10.14,1.0,7410
NXEO,2015-04-17,10.19,10.22,10.15,10.17,8045,10.19,0.0,10.22,10.15,10.17,1.0,8045
NXEO,2015-04-20,10.19,10.25,10.1769,10.22,9439,10.19,0.0,10.25,10.1769,10.22,1.0,9439
NXEO,2015-04-21,10.4,10.4,10.19,10.25,93850,10.4,0.0,10.4,10.19,10.25,1.0,93850
NXEO,2015-04-22,10.48,10.498,10.3,10.39,154091,10.48,0.0,10.498,10.3,10.39,1.0,154091
NXEO,2015-04-23,10.42,10.53,10.41,10.48,71610,10.42,0.0,10.53,10.41,10.48,1.0,71610
NXEO,2015-04-24,10.47,10.5,10.161,10.43,144149,10.47,0.0,10.5,10.161,10.43,1.0,144149
