symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
OHGI,2010-01-04,46.8,46.8,46.8,46.8,0,1.3,0.0,1.3,1.3,1.3,1.0,0
OHGI,2010-01-05,46.44,46.8,18.36,46.8,0,1.29,0.0,1.3,0.51,1.3,1.0,0
OHGI,2010-01-06,46.44,46.44,46.44,46.44,0,1.29,0.0,1.29,1.29,1.29,1.0,0
OHGI,2010-01-07,46.44,46.44,46.44,46.44,0,1.29,0.0,1.29,1.29,1.29,1.0,0
OHGI,2010-01-08,46.44,46.44,18.36,46.44,0,1.29,0.0,1.29,0.51,1.29,1.0,0
OHGI,2010-01-11,46.44,46.44,21.6,46.44,0,1.29,0.0,1.29,0.6,1.29,1.0,0
OHGI,2010-01-12,46.44,46.44,41.4,46.44,0,1.29,0.0,1.29,1.15,1.29,1.0,0
OHGI,2010-01-13,50.04,50.04,21.6,46.44,0,1.39,0.0,1.39,0.6,1.29,1.0,0
OHGI,2010-01-14,50.4,50.4,50.4,50.4,0,1.4,0.0,1.4,1.4,1.4,1.0,0
OHGI,2010-01-15,50.04,50.04,21.6,50.04,0,1.39,0.0,1.39,0.6,1.39,1.0,0
OHGI,2010-01-19,50.04,50.04,50.04,50.04,0,1.39,0.0,1.39,1.39,1.39,1.0,0
OHGI,2010-01-20,50.04,50.04,21.6,50.04,0,1.39,0.0,1.39,0.6,1.39,1.0,0
OHGI,2010-01-21,46.44,46.44,46.44,46.44,0,1.29,0.0,1.29,1.29,1.29,1.0,0
OHGI,2010-01-22,46.8,46.8,21.6,46.44,0,1.3,0.0,1.3,0.6,1.29,1.0,0
OHGI,2010-01-25,46.44,46.44,37.8,46.44,0,1.29,0.0,1.29,1.05,1.29,1.0,0
OHGI,2010-01-26,37.8,37.8,37.8,37.8,0,1.05,0.0,1.05,1.05,1.05,1.0,0
OHGI,2010-01-27,46.08,46.08,23.4,37.8,0,1.28,0.0,1.28,0.65,1.05,1.0,0
OHGI,2010-01-28,46.08,46.08,46.08,46.08,0,1.28,0.0,1.28,1.28,1.28,1.0,0
OHGI,2010-01-29,46.08,46.08,46.08,46.08,0,1.28,0.0,1.28,1.28,1.28,1.0,0
OHGI,2010-02-01,46.08,46.08,46.08,46.08,0,1.28,0.0,1.28,1.28,1.28,1.0,0
OHGI,2010-02-02,46.08,46.08,23.4,46.08,0,1.28,0.0,1.28,0.65,1.28,1.0,0
OHGI,2010-02-03,37.8,37.8,37.8,37.8,0,1.05,0.0,1.05,1.05,1.05,1.0,0
OHGI,2010-02-04,37.8,37.8,37.8,37.8,0,1.05,0.0,1.05,1.05,1.05,1.0,0
OHGI,2010-02-05,44.64,46.08,37.8,37.8,11,1.24,0.0,1.28,1.05,1.05,1.0,400
OHGI,2010-02-08,14.760036,14.760036,14.760036,14.760036,0,0.410001,0.0,0.410001,0.410001,0.410001,1.0,0
OHGI,2010-02-09,14.760036,14.760036,14.760036,14.760036,0,0.410001,0.0,0.410001,0.410001,0.410001,1.0,0
OHGI,2010-02-10,14.760036,14.760036,14.760036,14.760036,0,0.410001,0.0,0.410001,0.410001,0.410001,1.0,0
OHGI,2010-02-11,33.840108,43.200108,5.4,14.760036,0,0.940003,0.0,1.200003,0.15,0.410001,1.0,0
OHGI,2010-02-12,20.160072,34.920108,20.160072,33.840108,16,0.560002,0.0,0.970003,0.560002,0.940003,1.0,600
OHGI,2010-02-16,20.160072,20.160072,20.160072,20.160072,0,0.560002,0.0,0.560002,0.560002,0.560002,1.0,0
OHGI,2010-02-17,20.160072,20.160072,20.160072,20.160072,0,0.560002,0.0,0.560002,0.560002,0.560002,1.0,0
OHGI,2010-02-18,23.400072,25.200072,5.4,20.160072,0,0.650002,0.0,0.700002,0.15,0.560002,1.0,0
OHGI,2010-02-19,23.400072,25.200072,5.4,23.400072,0,0.650002,0.0,0.700002,0.15,0.650002,1.0,0
OHGI,2010-02-22,25.200072,25.200072,5.4,23.400072,0,0.700002,0.0,0.700002,0.15,0.650002,1.0,0
OHGI,2010-02-23,24.840072,24.840072,5.4,24.840072,0,0.690002,0.0,0.690002,0.15,0.690002,1.0,0
OHGI,2010-02-24,24.840072,27.000072,5.4,24.840072,0,0.690002,0.0,0.750002,0.15,0.690002,1.0,0
OHGI,2010-02-25,24.840072,24.840072,24.840072,24.840072,0,0.690002,0.0,0.690002,0.690002,0.690002,1.0,0
OHGI,2010-02-26,24.840072,24.840072,5.4,24.840072,0,0.690002,0.0,0.690002,0.15,0.690002,1.0,0
OHGI,2010-03-01,21.600072,24.840072,5.4,24.840072,0,0.600002,0.0,0.690002,0.15,0.690002,1.0,0
OHGI,2010-03-02,24.840072,24.840072,5.4,21.600072,0,0.690002,0.0,0.690002,0.15,0.600002,1.0,0
OHGI,2010-03-03,24.840072,24.840072,24.840072,24.840072,0,0.690002,0.0,0.690002,0.690002,0.690002,1.0,0
OHGI,2010-03-04,24.840072,24.840072,24.840072,24.840072,0,0.690002,0.0,0.690002,0.690002,0.690002,1.0,0
OHGI,2010-03-05,24.480072,24.480072,5.4,24.480072,0,0.680002,0.0,0.680002,0.15,0.680002,1.0,0
OHGI,2010-03-08,24.480072,24.480072,5.4,24.480072,0,0.680002,0.0,0.680002,0.15,0.680002,1.0,0
OHGI,2010-03-09,24.840072,24.840072,5.4,24.480072,0,0.690002,0.0,0.690002,0.15,0.680002,1.0,0
OHGI,2010-03-10,24.840072,24.840072,5.4,24.840072,0,0.690002,0.0,0.690002,0.15,0.690002,1.0,0
OHGI,2010-03-11,21.600072,21.600072,5.4,21.600072,0,0.600002,0.0,0.600002,0.15,0.600002,1.0,0
OHGI,2010-03-12,21.600072,21.600072,5.4,21.600072,0,0.600002,0.0,0.600002,0.15,0.600002,1.0,0
OHGI,2010-03-15,21.960072,21.960072,5.4,21.600072,0,0.610002,0.0,0.610002,0.15,0.600002,1.0,0
