symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
OSS,2018-02-01,4.88,6.0,4.57,5.55,1413854,4.88,0.0,6.0,4.57,5.55,1.0,1413854
OSS,2018-02-02,4.7,4.99,4.51,4.91,153569,4.7,0.0,4.99,4.51,4.91,1.0,153569
OSS,2018-02-05,4.6,4.7397,4.45,4.7,156086,4.6,0.0,4.7397,4.45,4.7,1.0,156086
OSS,2018-02-06,4.9,4.939,4.6102,4.69,80024,4.9,0.0,4.939,4.6102,4.69,1.0,80024
OSS,2018-02-07,4.65,5.149,4.65,5.1,38838,4.65,0.0,5.149,4.65,5.1,1.0,38838
OSS,2018-02-08,5.06,5.06,4.65,4.96,216010,5.06,0.0,5.06,4.65,4.96,1.0,216010
OSS,2018-02-09,4.91,5.1,4.8,5.1,194351,4.91,0.0,5.1,4.8,5.1,1.0,194351
OSS,2018-02-12,4.63,4.95,4.619,4.95,25864,4.63,0.0,4.95,4.619,4.95,1.0,25864
OSS,2018-02-13,4.7037,4.915,4.601,4.915,5796,4.7037,0.0,4.915,4.601,4.915,1.0,5796
OSS,2018-02-14,4.7747,4.95,4.7,4.83,16567,4.7747,0.0,4.95,4.7,4.83,1.0,16567
OSS,2018-02-15,4.76,4.9199,4.61,4.61,17842,4.76,0.0,4.9199,4.61,4.61,1.0,17842
OSS,2018-02-16,5.0,5.05,4.8047,4.94,108709,5.0,0.0,5.05,4.8047,4.94,1.0,108709
OSS,2018-02-20,4.7,5.1,4.6501,5.1,36458,4.7,0.0,5.1,4.6501,5.1,1.0,36458
OSS,2018-02-21,4.89,4.915,4.725,4.9,23785,4.89,0.0,4.915,4.725,4.9,1.0,23785
OSS,2018-02-22,4.755,4.99,4.5,4.81,34946,4.755,0.0,4.99,4.5,4.81,1.0,34946
OSS,2018-02-23,4.91,4.92,4.7108,4.728,19126,4.91,0.0,4.92,4.7108,4.728,1.0,19126
OSS,2018-02-26,4.93,5.07,4.91,4.91,25609,4.93,0.0,5.07,4.91,4.91,1.0,25609
OSS,2018-02-27,4.91,5.02,4.9,5.02,16043,4.91,0.0,5.02,4.9,5.02,1.0,16043
OSS,2018-02-28,4.7835,5.02,4.769,5.02,20052,4.7835,0.0,5.02,4.769,5.02,1.0,20052
OSS,2018-03-01,4.7895,4.91,4.7568,4.91,11237,4.7895,0.0,4.91,4.7568,4.91,1.0,11237
OSS,2018-03-02,4.9,4.9,4.82,4.88,5729,4.9,0.0,4.9,4.82,4.88,1.0,5729
OSS,2018-03-05,4.8,4.95,4.8,4.9,6596,4.8,0.0,4.95,4.8,4.9,1.0,6596
OSS,2018-03-06,4.8,4.92,4.7595,4.76,22661,4.8,0.0,4.92,4.7595,4.76,1.0,22661
OSS,2018-03-07,5.15,5.45,4.86,4.86,114221,5.15,0.0,5.45,4.86,4.86,1.0,114221
OSS,2018-03-08,5.75,5.9,5.15,5.16,134640,5.75,0.0,5.9,5.15,5.16,1.0,134640
OSS,2018-03-09,6.1,6.25,5.7444,5.79,104422,6.1,0.0,6.25,5.7444,5.79,1.0,104422
OSS,2018-03-12,5.78,6.1,5.721,5.98,46178,5.78,0.0,6.1,5.721,5.98,1.0,46178
OSS,2018-03-13,5.75,6.1,5.66,5.67,44407,5.75,0.0,6.1,5.66,5.67,1.0,44407
OSS,2018-03-14,5.4,5.77,5.25,5.7501,51314,5.4,0.0,5.77,5.25,5.7501,1.0,51314
OSS,2018-03-15,5.21,5.38,5.18,5.25,37854,5.21,0.0,5.38,5.18,5.25,1.0,37854
OSS,2018-03-16,5.11,5.29,5.08,5.2655,100829,5.11,0.0,5.29,5.08,5.2655,1.0,100829
OSS,2018-03-19,5.05,5.299,5.0,5.299,17945,5.05,0.0,5.299,5.0,5.299,1.0,17945
OSS,2018-03-20,5.065,5.25,5.05,5.05,5876,5.065,0.0,5.25,5.05,5.05,1.0,5876
OSS,2018-03-21,5.21,5.375,5.11,5.1388,41625,5.21,0.0,5.375,5.11,5.1388,1.0,41625
OSS,2018-03-22,5.15,5.3,5.0,5.3,60739,5.15,0.0,5.3,5.0,5.3,1.0,60739
OSS,2018-03-23,5.0,5.1,4.97,5.05,75423,5.0,0.0,5.1,4.97,5.05,1.0,75423
OSS,2018-03-26,5.07,5.2,4.82,5.06,65744,5.07,0.0,5.2,4.82,5.06,1.0,65744
OSS,2018-03-27,4.87,5.1,4.87,4.96,31241,4.87,0.0,5.1,4.87,4.96,1.0,31241
OSS,2018-03-28,4.69,4.9,4.51,4.9,46961,4.69,0.0,4.9,4.51,4.9,1.0,46961
OSS,2018-03-29,4.4,4.9469,4.4,4.7,23608,4.4,0.0,4.9469,4.4,4.7,1.0,23608
OSS,2018-04-02,4.17,4.39,4.16,4.39,48944,4.17,0.0,4.39,4.16,4.39,1.0,48944
OSS,2018-04-03,4.19,4.33,4.16,4.21,45088,4.19,0.0,4.33,4.16,4.21,1.0,45088
OSS,2018-04-04,4.35,4.35,4.19,4.19,5951,4.35,0.0,4.35,4.19,4.19,1.0,5951
OSS,2018-04-05,4.21,4.32,4.14,4.32,6469,4.21,0.0,4.32,4.14,4.32,1.0,6469
OSS,2018-04-06,4.28,4.29,4.1,4.1,14192,4.28,0.0,4.29,4.1,4.1,1.0,14192
OSS,2018-04-09,4.25,4.35,4.1,4.35,25456,4.25,0.0,4.35,4.1,4.35,1.0,25456
OSS,2018-04-10,4.365,4.43,4.25,4.26,17543,4.365,0.0,4.43,4.25,4.26,1.0,17543
OSS,2018-04-11,4.17,4.757,4.17,4.31,22804,4.17,0.0,4.757,4.17,4.31,1.0,22804
OSS,2018-04-12,4.43,4.57,4.12,4.23,19251,4.43,0.0,4.57,4.12,4.23,1.0,19251
OSS,2018-04-13,4.51,4.6,4.25,4.45,36988,4.51,0.0,4.6,4.25,4.45,1.0,36988
OSS,2018-04-16,4.6,4.619,4.32,4.4098,7070,4.6,0.0,4.619,4.32,4.4098,1.0,7070
OSS,2018-04-17,4.49,4.67,4.32,4.65,19416,4.49,0.0,4.67,4.32,4.65,1.0,19416
OSS,2018-04-18,4.65,4.84,4.43,4.61,16416,4.65,0.0,4.84,4.43,4.61,1.0,16416
OSS,2018-04-19,4.86,4.86,4.5,4.64,11430,4.86,0.0,4.86,4.5,4.64,1.0,11430
OSS,2018-04-20,4.94,4.94,4.515,4.82,25062,4.94,0.0,4.94,4.515,4.82,1.0,25062
