symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
PLAY,2014-10-10,17.28,18.43,15.89,17.0,7045090,17.28,0.0,18.43,15.89,17.0,1.0,7045090
PLAY,2014-10-13,17.5,17.99,17.07,17.08,466906,17.5,0.0,17.99,17.07,17.08,1.0,466906
PLAY,2014-10-14,17.29,18.42,17.05,18.42,168022,17.29,0.0,18.42,17.05,18.42,1.0,168022
PLAY,2014-10-15,17.2,17.36,16.58,17.0,434939,17.2,0.0,17.36,16.58,17.0,1.0,434939
PLAY,2014-10-16,17.48,17.69,17.0,17.35,108542,17.48,0.0,17.69,17.0,17.35,1.0,108542
PLAY,2014-10-17,17.81,18.74,17.395,17.57,217104,17.81,0.0,18.74,17.395,17.57,1.0,217104
PLAY,2014-10-20,18.39,18.5,17.81,17.99,85556,18.39,0.0,18.5,17.81,17.99,1.0,85556
PLAY,2014-10-21,18.91,19.374,18.4101,18.97,121334,18.91,0.0,19.374,18.4101,18.97,1.0,121334
PLAY,2014-10-22,18.89,19.5,18.8,19.34,128475,18.89,0.0,19.5,18.8,19.34,1.0,128475
PLAY,2014-10-23,18.93,19.4098,18.84,18.9,92079,18.93,0.0,19.4098,18.84,18.9,1.0,92079
PLAY,2014-10-24,18.81,19.25,18.798,18.85,191755,18.81,0.0,19.25,18.798,18.85,1.0,191755
PLAY,2014-10-27,19.53,19.86,18.82,18.82,127285,19.53,0.0,19.86,18.82,18.82,1.0,127285
PLAY,2014-10-28,19.25,20.0,19.1,20.0,229697,19.25,0.0,20.0,19.1,20.0,1.0,229697
PLAY,2014-10-29,19.1,19.75,19.0,19.2,271270,19.1,0.0,19.75,19.0,19.2,1.0,271270
PLAY,2014-10-30,19.38,19.7,18.95,19.0,190899,19.38,0.0,19.7,18.95,19.0,1.0,190899
PLAY,2014-10-31,19.66,19.87,19.05,19.58,140727,19.66,0.0,19.87,19.05,19.58,1.0,140727
PLAY,2014-11-03,20.07,20.49,19.2,19.52,108884,20.07,0.0,20.49,19.2,19.52,1.0,108884
PLAY,2014-11-04,21.09,22.386,19.925,19.98,376374,21.09,0.0,22.386,19.925,19.98,1.0,376374
PLAY,2014-11-05,20.88,21.2,20.59,21.2,168084,20.88,0.0,21.2,20.59,21.2,1.0,168084
PLAY,2014-11-06,20.61,21.2999,20.5,20.75,120430,20.61,0.0,21.2999,20.5,20.75,1.0,120430
PLAY,2014-11-07,21.3,21.3,20.5165,21.0,208827,21.3,0.0,21.3,20.5165,21.0,1.0,208827
PLAY,2014-11-10,22.06,23.33,21.19,21.35,322726,22.06,0.0,23.33,21.19,21.35,1.0,322726
PLAY,2014-11-11,21.88,22.79,21.77,21.77,56621,21.88,0.0,22.79,21.77,21.77,1.0,56621
PLAY,2014-11-12,21.73,22.15,21.6501,21.77,160438,21.73,0.0,22.15,21.6501,21.77,1.0,160438
PLAY,2014-11-13,22.13,22.85,21.67,21.73,259839,22.13,0.0,22.85,21.67,21.73,1.0,259839
PLAY,2014-11-14,22.58,22.76,22.0,22.25,77317,22.58,0.0,22.76,22.0,22.25,1.0,77317
PLAY,2014-11-17,22.62,22.9499,22.41,22.75,85125,22.62,0.0,22.9499,22.41,22.75,1.0,85125
PLAY,2014-11-18,22.01,22.93,21.96,22.6,81938,22.01,0.0,22.93,21.96,22.6,1.0,81938
PLAY,2014-11-19,21.33,22.01,20.3,21.9,133406,21.33,0.0,22.01,20.3,21.9,1.0,133406
PLAY,2014-11-20,21.51,21.74,21.1,21.24,93385,21.51,0.0,21.74,21.1,21.24,1.0,93385
PLAY,2014-11-21,21.94,22.5,21.11,21.41,204114,21.94,0.0,22.5,21.11,21.41,1.0,204114
PLAY,2014-11-24,21.89,22.1078,21.7776,22.03,33638,21.89,0.0,22.1078,21.7776,22.03,1.0,33638
PLAY,2014-11-25,21.49,22.17,21.25,21.84,89155,21.49,0.0,22.17,21.25,21.84,1.0,89155
PLAY,2014-11-26,22.32,22.98,22.06,22.76,304728,22.32,0.0,22.98,22.06,22.76,1.0,304728
PLAY,2014-11-28,22.92,23.24,22.3401,22.77,99617,22.92,0.0,23.24,22.3401,22.77,1.0,99617
PLAY,2014-12-01,23.0,24.25,22.37,23.31,286250,23.0,0.0,24.25,22.37,23.31,1.0,286250
PLAY,2014-12-02,23.13,23.2,22.62,23.08,425182,23.13,0.0,23.2,22.62,23.08,1.0,425182
PLAY,2014-12-03,23.26,23.63,22.75,23.2,88562,23.26,0.0,23.63,22.75,23.2,1.0,88562
PLAY,2014-12-04,23.71,23.8,23.27,23.42,170298,23.71,0.0,23.8,23.27,23.42,1.0,170298
PLAY,2014-12-05,23.65,23.8,23.58,23.75,106158,23.65,0.0,23.8,23.58,23.75,1.0,106158
PLAY,2014-12-08,23.23,23.7,23.0,23.5,150999,23.23,0.0,23.7,23.0,23.5,1.0,150999
PLAY,2014-12-09,23.59,23.8,23.0,23.18,96582,23.59,0.0,23.8,23.0,23.18,1.0,96582
PLAY,2014-12-10,23.66,23.84,23.25,23.47,121948,23.66,0.0,23.84,23.25,23.47,1.0,121948
