symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
PLXS,2010-01-04,29.41,29.51,28.65,28.93,113200,29.41,0.0,29.51,28.65,28.93,1.0,113200
PLXS,2010-01-05,30.06,30.46,28.97,29.3,318500,30.06,0.0,30.46,28.97,29.3,1.0,318500
PLXS,2010-01-06,30.18,31.0,29.94,30.11,220800,30.18,0.0,31.0,29.94,30.11,1.0,220800
PLXS,2010-01-07,30.13,30.29,29.53,30.06,173500,30.13,0.0,30.29,29.53,30.06,1.0,173500
PLXS,2010-01-08,29.74,30.04,29.47,29.93,197700,29.74,0.0,30.04,29.47,29.93,1.0,197700
PLXS,2010-01-11,29.15,29.94,29.06,29.7,219700,29.15,0.0,29.94,29.06,29.7,1.0,219700
PLXS,2010-01-12,28.8,29.06,28.43,28.86,238700,28.8,0.0,29.06,28.43,28.86,1.0,238700
PLXS,2010-01-13,28.66,28.96,28.4,28.96,186600,28.66,0.0,28.96,28.4,28.96,1.0,186600
PLXS,2010-01-14,28.79,29.0,28.41,28.47,154800,28.79,0.0,29.0,28.41,28.47,1.0,154800
PLXS,2010-01-15,28.2,28.87,28.08,28.87,282700,28.2,0.0,28.87,28.08,28.87,1.0,282700
PLXS,2010-01-19,28.73,28.86,28.02,28.35,232700,28.73,0.0,28.86,28.02,28.35,1.0,232700
PLXS,2010-01-20,28.98,29.13,27.4201,28.4,769700,28.98,0.0,29.13,27.4201,28.4,1.0,769700
PLXS,2010-01-21,33.07,33.34,30.35,31.48,1892700,33.07,0.0,33.34,30.35,31.48,1.0,1892700
PLXS,2010-01-22,33.37,34.07,33.14,33.55,813800,33.37,0.0,34.07,33.14,33.55,1.0,813800
PLXS,2010-01-25,34.26,34.4794,33.52,33.52,671200,34.26,0.0,34.4794,33.52,33.52,1.0,671200
PLXS,2010-01-26,34.95,35.51,34.42,34.68,731800,34.95,0.0,35.51,34.42,34.68,1.0,731800
PLXS,2010-01-27,35.02,35.16,34.35,34.71,544900,35.02,0.0,35.16,34.35,34.71,1.0,544900
PLXS,2010-01-28,34.3,35.27,34.2103,34.99,499300,34.3,0.0,35.27,34.2103,34.99,1.0,499300
PLXS,2010-01-29,34.01,34.69,33.75,34.53,611300,34.01,0.0,34.69,33.75,34.53,1.0,611300
PLXS,2010-02-01,34.14,34.7,33.41,34.23,337000,34.14,0.0,34.7,33.41,34.23,1.0,337000
PLXS,2010-02-02,33.45,34.06,33.21,34.06,311400,33.45,0.0,34.06,33.21,34.06,1.0,311400
PLXS,2010-02-03,33.34,33.74,32.96,33.39,226500,33.34,0.0,33.74,32.96,33.39,1.0,226500
PLXS,2010-02-04,31.68,33.16,31.68,33.08,351200,31.68,0.0,33.16,31.68,33.08,1.0,351200
PLXS,2010-02-05,31.6,31.91,30.85,31.66,380100,31.6,0.0,31.91,30.85,31.66,1.0,380100
PLXS,2010-02-08,31.24,31.99,31.04,31.67,519700,31.24,0.0,31.99,31.04,31.67,1.0,519700
PLXS,2010-02-09,32.02,32.3,31.3698,31.61,521600,32.02,0.0,32.3,31.3698,31.61,1.0,521600
PLXS,2010-02-10,31.81,32.27,31.73,31.97,301500,31.81,0.0,32.27,31.73,31.97,1.0,301500
PLXS,2010-02-11,32.83,32.93,31.31,31.63,480800,32.83,0.0,32.93,31.31,31.63,1.0,480800
PLXS,2010-02-12,33.42,33.55,32.4,32.4,340400,33.42,0.0,33.55,32.4,32.4,1.0,340400
