symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
PPG,2010-01-04,25.77910453,25.7961204406,25.0942141292,25.2260874362,2413328,60.6,0.0,60.64,58.99,59.3,1.0,1206664
PPG,2010-01-05,25.7961204406,26.0088193229,25.6940249771,25.6940249771,2258522,60.64,0.0,61.14,60.4,60.4,1.0,1129261
PPG,2010-01-06,26.2002483169,26.3746614004,25.7025329324,25.7025329324,3028610,61.59,0.0,62.0,60.42,60.42,1.0,1514305
PPG,2010-01-07,26.319359691,26.3278676463,25.9024698818,26.0981528534,2439588,61.87,0.0,61.89,60.89,61.35,1.0,1219794
PPG,2010-01-08,26.2683119592,26.3704074227,26.0641210323,26.2555500263,2696004,61.75,0.0,61.99,61.27,61.72,1.0,1348002
PPG,2010-01-11,26.2385341157,26.3746614004,26.0726289876,26.3236136686,1988756,61.68,0.0,62.0,61.29,61.88,1.0,994378
PPG,2010-01-12,25.8769460159,26.0853909205,25.5919295137,25.9535176135,2229352,60.83,0.0,61.32,60.16,61.01,1.0,1114676
PPG,2010-01-13,26.1492005852,26.1704704734,25.7025329324,26.0258352335,1718310,61.47,0.0,61.52,60.42,61.18,1.0,859155
PPG,2010-01-14,26.7107256343,27.0893296448,26.5575824391,26.7192335896,4485236,62.79,0.0,63.68,62.43,62.81,1.0,2242618
PPG,2010-01-15,26.3959312886,26.787297232,26.2303239389,26.6894557461,3005884,62.05,0.0,62.97,61.6607,62.74,1.0,1502942
PPG,2010-01-19,27.3232984153,27.3360603482,26.3831693557,26.4639949309,3332542,64.23,0.0,64.26,62.02,62.21,1.0,1666271
PPG,2010-01-20,26.8553608743,27.2765046612,26.4895187968,27.1616472647,4235108,63.13,0.0,64.12,62.27,63.85,1.0,2117554
PPG,2010-01-21,25.1410078833,26.5745983497,25.0984681068,26.0598670546,10948876,59.1,0.0,62.47,59.0,61.26,1.0,5474438
PPG,2010-01-22,25.4898340502,25.92373977,25.060182308,25.2260874362,5954920,59.92,0.0,60.94,58.91,59.3,1.0,2977460
PPG,2010-01-25,25.983295457,26.1321846746,25.7535806642,25.8429141947,3568288,61.08,0.0,61.43,60.54,60.75,1.0,1784144
PPG,2010-01-26,25.5111039384,26.0768829652,25.4600562067,25.8173903288,2647588,59.97,0.0,61.3,59.85,60.69,1.0,1323794
PPG,2010-01-27,25.3154209667,25.4472942737,24.8389754704,25.4472942737,3261574,59.51,0.0,59.82,58.39,59.82,1.0,1630787
PPG,2010-01-28,25.1027220845,25.4472942737,24.5794828341,25.4472942737,2994216,59.01,0.0,59.82,57.78,59.82,1.0,1497108
PPG,2010-01-29,24.9623408222,25.5919295137,24.9453249116,25.251611302,4006626,58.68,0.0,60.16,58.64,59.36,1.0,2003313
PPG,2010-02-01,25.3196749444,25.3281828996,25.0431663974,25.2133255032,2728790,59.52,0.0,59.54,58.87,59.27,1.0,1364395
PPG,2010-02-02,25.4983420055,25.7365647536,25.0516743527,25.2898971008,2168314,59.94,0.0,60.5,58.89,59.45,1.0,1084157
PPG,2010-02-03,25.1878016374,25.6727550889,25.0346584421,25.3494527879,2963550,59.21,0.0,60.35,58.85,59.59,1.0,1481775
PPG,2010-02-04,24.5582129459,25.0771982186,24.4816413483,24.9708487775,2892606,57.73,0.0,58.95,57.55,58.7,1.0,1446303
PPG,2010-02-05,24.8177055822,24.8857692245,24.2306566672,24.5199271471,4339904,58.34,0.0,58.5,56.96,57.64,1.0,2169952
PPG,2010-02-08,24.5369430576,25.0346584421,24.422511059,24.8262135375,3073858,57.68,0.0,58.85,57.411,58.36,1.0,1536929
PPG,2010-02-09,25.1665317491,25.323928922,24.6475464764,24.8304675152,3064292,59.16,0.0,59.53,57.94,58.37,1.0,1532146
PPG,2010-02-10,25.4175164302,25.5493897372,24.8262135375,25.1410078833,3580752,59.75,0.0,60.06,58.36,59.1,1.0,1790376
PPG,2010-02-11,25.6217073572,25.6940249771,25.1112300397,25.3451988102,2874570,60.23,0.0,60.4,59.03,59.58,1.0,1437285
PPG,2010-02-12,25.6770090666,25.8386602171,25.132499928,25.2856431232,2951218,60.36,0.0,60.74,59.08,59.44,1.0,1475609
PPG,2010-02-16,26.127930697,26.127930697,25.7450727089,25.9450096582,1913000,61.42,0.0,61.42,60.52,60.99,1.0,956500
PPG,2010-02-17,26.523550618,26.5836266103,26.206006087,26.3004112178,2847526,61.81,0.54,61.95,61.07,61.29,1.0,1423763
PPG,2010-02-18,26.6522848873,26.7166520219,26.3690694948,26.5020949064,1992044,62.11,0.0,62.26,61.45,61.76,1.0,996022
PPG,2010-02-19,26.8110571527,26.9827028451,26.3905252063,26.510677191,2012832,62.48,0.0,62.88,61.5,61.78,1.0,1006416
PPG,2010-02-22,26.635120318,26.9140445682,26.4849303372,26.8368040066,1686604,62.07,0.0,62.72,61.72,62.54,1.0,843302
PPG,2010-02-23,26.3690694948,26.6297993016,26.2017149447,26.5664620411,1932980,61.45,0.0,62.0576,61.06,61.91,1.0,966490
PPG,2010-02-24,26.6479937449,26.8110571527,26.3132846448,26.4849303372,2376294,62.1,0.0,62.48,61.32,61.72,1.0,1188147
PPG,2010-02-25,26.2017149447,26.2832466486,25.9742844023,26.2360440832,3766248,61.06,0.0,61.25,60.53,61.14,1.0,1883124
PPG,2010-02-26,26.4076897756,26.5020949064,26.1158920985,26.1716769485,2025656,61.54,0.0,61.76,60.86,60.99,1.0,1012828
PPG,2010-03-01,26.7681457296,26.7938925835,26.2832466486,26.4720569102,2022308,62.38,0.0,62.44,61.25,61.69,1.0,1011154
PPG,2010-03-02,26.8625508604,26.9784117028,26.6522848873,26.884006572,2482956,62.6,0.0,62.87,62.11,62.65,1.0,1241478
PPG,2010-03-03,27.008449699,27.368905653,26.8410951489,26.939791422,2447828,62.94,0.0,63.78,62.55,62.78,1.0,1223914
PPG,2010-03-04,26.9955762721,27.2058422452,26.8196394373,27.008449699,2312816,62.91,0.0,63.4,62.5,62.94,1.0,1156408
PPG,2010-03-05,27.1586396798,27.2487536683,27.0856902606,27.2015511029,2299720,63.29,0.0,63.5,63.12,63.39,1.0,1149860
PPG,2010-03-08,27.2702093799,27.3517410838,27.1114371144,27.2230068145,1867632,63.55,0.0,63.74,63.18,63.44,1.0,933816
PPG,2010-03-09,27.0041585567,27.2745005222,26.9011711412,27.1500573952,1585146,62.93,0.0,63.56,62.69,63.27,1.0,792573
PPG,2010-03-10,27.3345765145,27.4633107838,26.7423988758,27.0256142682,2714986,63.7,0.0,64.0,62.32,62.98,1.0,1357493
PPG,2010-03-11,27.1586396798,27.1758042491,26.9269179951,27.1758042491,1913030,63.29,0.0,63.33,62.75,63.33,1.0,956515
PPG,2010-03-12,27.5319690608,27.742235034,27.3045385184,27.4032347915,2495670,64.16,0.0,64.65,63.63,63.86,1.0,1247835
PPG,2010-03-15,27.673576757,27.7336527494,27.4804753531,27.6049184801,1725604,64.49,0.0,64.63,64.04,64.33,1.0,862802
PPG,2010-03-16,27.7379438917,27.7937287417,27.4976399223,27.6993236109,1753764,64.64,0.0,64.77,64.08,64.55,1.0,876882
PPG,2010-03-17,28.2786278227,28.3558683843,27.686450184,27.7164881801,2396488,65.9,0.0,66.08,64.52,64.59,1.0,1198244
PPG,2010-03-18,27.7808553148,28.2056784035,27.6778678993,28.2056784035,2933518,64.74,0.0,65.73,64.5,65.73,1.0,1466759
PPG,2010-03-19,27.8623870187,28.0554884226,27.7551084609,27.8580958764,3129284,64.93,0.0,65.38,64.68,64.92,1.0,1564642
PPG,2010-03-22,28.0983998457,28.1456024111,27.5019310646,27.6306653339,1967558,65.48,0.0,65.59,64.09,64.39,1.0,983779
PPG,2010-03-23,28.3429949574,28.3601595266,27.9396275802,28.1413112688,1203786,66.05,0.0,66.09,65.11,65.58,1.0,601893
PPG,2010-03-24,28.0769441342,28.282918965,27.8924250148,28.1584758381,1808620,65.43,0.0,65.91,65.0,65.62,1.0,904310
PPG,2010-03-25,27.7593996032,28.3472860997,27.7465261763,28.2400075419,2106108,64.69,0.0,66.06,64.66,65.81,1.0,1053054
PPG,2010-03-26,28.351577242,28.4717292267,27.8323490225,27.866678161,2656318,66.07,0.0,66.35,64.86,64.94,1.0,1328159
PPG,2010-03-29,28.2185518304,28.5918812114,28.0941087034,28.4502735151,1807894,65.76,0.0,66.63,65.47,66.3,1.0,903947
PPG,2010-03-30,28.3429949574,28.4931849382,28.0168681418,28.2743366804,1194530,66.05,0.0,66.4,65.29,65.89,1.0,597265
PPG,2010-03-31,28.0640707072,28.3901975228,27.9954124303,28.2442986843,2279184,65.4,0.0,66.16,65.24,65.82,1.0,1139592
PPG,2010-04-01,28.5360963613,28.5489697883,28.3086658189,28.3086658189,1492960,66.5,0.0,66.53,65.97,65.97,1.0,746480
PPG,2010-04-05,28.7163243384,28.8021471846,28.3987798074,28.5918812114,1356750,66.92,0.0,67.12,66.18,66.63,1.0,678375
PPG,2010-04-06,29.0081220154,29.1154005732,28.6819951999,28.6991597691,2106384,67.6,0.0,67.85,66.84,66.88,1.0,1053192
PPG,2010-04-07,28.9437548808,29.3385399733,28.8321851807,28.8622231769,2507580,67.45,0.0,68.37,67.19,67.26,1.0,1253790
PPG,2010-04-08,29.1497297117,29.1797677078,28.6948686268,28.84934975,2974088,67.93,0.0,68.0,66.87,67.23,1.0,1487044
PPG,2010-04-09,29.4715653849,29.4715653849,29.1111094309,29.2055145617,2988086,68.68,0.0,68.68,67.84,68.06,1.0,1494043
PPG,2010-04-12,29.5616793734,29.6217553658,29.4200716772,29.5187679503,2705018,68.89,0.0,69.03,68.56,68.79,1.0,1352509
PPG,2010-04-13,29.7504896351,29.8105656274,29.265590554,29.5402236619,2154376,69.33,0.0,69.47,68.2,68.84,1.0,1077188
PPG,2010-04-14,29.8277301966,29.8491859082,29.4930210965,29.7504896351,3644492,69.51,0.0,69.56,68.73,69.33,1.0,1822246
PPG,2010-04-15,29.9221353275,30.0379961698,29.2698816963,29.9307176121,4095018,69.73,0.0,70.0,68.21,69.75,1.0,2047509
PPG,2010-04-16,29.6775402158,30.1409835853,29.4544008157,29.9307176121,3434152,69.16,0.0,70.24,68.64,69.75,1.0,1717076
PPG,2010-04-19,30.123819016,30.1667304391,29.5273502349,29.6560845042,3291912,70.2,0.0,70.3,68.81,69.11,1.0,1645956
PPG,2010-04-20,30.2139330045,30.37270527,29.9779201775,30.1967684353,2302152,70.41,0.0,70.78,69.86,70.37,1.0,1151076
PPG,2010-04-21,30.248262143,30.3297938469,29.887806189,30.0723253083,1928340,70.49,0.0,70.68,69.65,70.08,1.0,964170
PPG,2010-04-22,30.1452747276,30.1581481545,29.763363062,30.0465784544,3663710,70.25,0.0,70.28,69.36,70.02,1.0,1831855
PPG,2010-04-23,30.5829712432,30.5872623855,29.9350087544,30.1409835853,2714384,71.27,0.0,71.28,69.76,70.24,1.0,1357192
PPG,2010-04-26,30.3469584161,30.8136201424,30.3340849892,30.5743889586,1917050,70.72,0.0,71.8075,70.69,71.25,1.0,958525
PPG,2010-04-27,29.5917173696,30.4585281162,29.5659705157,30.3855786969,2991152,68.96,0.0,70.98,68.9,70.81,1.0,1495576
PPG,2010-04-28,30.0036670313,30.0809075929,29.5402236619,29.7419073504,2571656,69.92,0.0,70.1,68.84,69.31,1.0,1285828
PPG,2010-04-29,30.5700978163,30.6001358124,30.0637430237,30.2396798584,2589744,71.24,0.0,71.31,70.06,70.47,1.0,1294872
PPG,2010-04-30,30.1967684353,30.9992120473,30.192477293,30.6559206625,3234000,70.37,0.0,72.24,70.36,71.44,1.0,1617000
PPG,2010-05-03,30.5872623855,30.6301738086,30.2053507199,30.3898698392,2911980,71.28,0.0,71.38,70.39,70.82,1.0,1455990
PPG,2010-05-04,29.3814513964,30.3684141277,29.1068182886,30.2182241468,4034216,68.47,0.0,70.77,67.83,70.42,1.0,2017108
PPG,2010-05-05,29.3814513964,29.3814513964,29.3814513964,29.3814513964,4428000,68.47,0.0,68.47,68.47,68.47,1.0,2214000
PPG,2010-05-06,28.0168681418,29.1418697969,26.3466733769,28.8303308771,4844310,64.75,0.54,67.35,60.89,66.63,1.0,2422155
PPG,2010-05-07,27.6014829153,28.5577343222,27.4110980198,27.9735988474,4615608,63.79,0.0,66.0,63.35,64.65,1.0,2307804
PPG,2010-05-10,29.0293696314,29.0899466436,28.4495610861,28.9125425365,3064160,67.09,0.0,67.23,65.75,66.82,1.0,1532080
PPG,2010-05-11,28.7437922882,29.0856197142,28.5166284925,28.6702344877,2847796,66.43,0.0,67.22,65.905,66.26,1.0,1423898
PPG,2010-05-12,29.2673507508,29.2846584686,28.722157641,28.908215607,1787192,67.64,0.0,67.68,66.38,66.81,1.0,893596
PPG,2010-05-13,28.8952348187,29.4014855635,28.8346578065,29.1288890086,1790728,66.78,0.0,67.95,66.64,67.32,1.0,895364
PPG,2010-05-14,28.1639837429,28.6875422055,27.9260026235,28.6010036166,1970872,65.09,0.0,66.3,64.54,66.1,1.0,985436
PPG,2010-05-17,28.6096574755,28.9428310426,28.0449931832,28.302445485,4324474,66.12,0.0,66.89,64.815,65.41,1.0,2162237
PPG,2010-05-18,28.3976379328,29.4490817874,28.380330215,28.8433116654,3956154,65.63,0.0,68.06,65.59,66.66,1.0,1978077
PPG,2010-05-19,27.8481178936,28.3197532028,27.3851364432,28.3197532028,5182464,64.36,0.0,65.45,63.29,65.45,1.0,2591232
PPG,2010-05-20,26.6365776496,27.3461940782,26.6365776496,27.324559431,6254708,61.56,0.0,63.2,61.56,63.15,1.0,3127354
PPG,2010-05-21,27.1255206766,27.2207131244,26.0091728804,26.0697498926,5255966,62.69,0.0,62.91,60.11,60.25,1.0,2627983
PPG,2010-05-24,26.6235968613,27.0562898055,26.6192699318,27.0260012994,4361164,61.53,0.0,62.53,61.52,62.46,1.0,2180582
PPG,2010-05-25,26.9221549928,26.9308088517,25.5332106417,25.7668648316,3892870,62.22,0.0,62.24,59.01,59.55,1.0,1946435
PPG,2010-05-26,26.7663855329,27.1860976888,26.5933083552,27.1860976888,6440750,61.86,0.0,62.83,61.46,62.83,1.0,3220375
PPG,2010-05-27,28.1639837429,28.1639837429,27.1374197326,27.3721556549,3789260,65.09,0.0,65.09,62.7175,63.26,1.0,1894630
PPG,2010-05-28,27.7226369397,28.1466760251,27.6447522098,28.077445154,4156404,64.07,0.0,65.05,63.89,64.89,1.0,2078202
PPG,2010-06-01,27.060616735,27.774560093,27.060616735,27.4110980198,3087738,62.54,0.0,64.19,62.54,63.35,1.0,1543869
PPG,2010-06-02,28.0082142829,28.0211950713,27.1817707594,27.207732336,3380832,64.73,0.0,64.76,62.82,62.88,1.0,1690416
PPG,2010-06-03,27.6750407159,28.194272249,27.4543673143,28.038502789,3476946,63.96,0.0,65.16,63.45,64.8,1.0,1738473
PPG,2010-06-04,26.7360970268,27.285617066,26.6538853674,26.9091742045,3646360,61.79,0.0,63.06,61.6,62.19,1.0,1823180
PPG,2010-06-07,26.1865769875,27.02167437,26.1606154109,26.7360970268,5145974,60.52,0.0,62.45,60.46,61.79,1.0,2572987
PPG,2010-06-08,26.8832126278,26.9654242872,26.0827306809,26.2038847053,5420298,62.13,0.0,62.32,60.28,60.56,1.0,2710149
PPG,2010-06-09,26.7880201801,27.3678287254,26.6452315085,27.1082129588,5446656,61.91,0.0,63.25,61.58,62.65,1.0,2723328
PPG,2010-06-10,27.3981172315,27.5582136209,27.1125398883,27.207732336,4759090,63.32,0.0,63.69,62.66,62.88,1.0,2379545
PPG,2010-06-11,28.0298489302,28.0947528718,27.1644630416,27.1644630416,4591874,64.78,0.0,64.93,62.78,62.78,1.0,2295937
PPG,2010-06-14,27.7226369397,28.3889840739,27.7010022925,28.2635031201,4094854,64.07,0.0,65.61,64.02,65.32,1.0,2047427
PPG,2010-06-15,28.3760032856,28.3846571445,27.9346564824,28.0255220007,2147668,65.58,0.0,65.6,64.56,64.77,1.0,1073834
