symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
PPHM,2010-01-04,20.23,20.93,19.6,20.93,30257,2.89,0.0,2.99,2.8,2.99,1.0,211800
PPHM,2010-01-05,19.46,19.8548,19.32,19.67,14685,2.78,0.0,2.8364,2.76,2.81,1.0,102800
PPHM,2010-01-06,18.83,19.25,18.83,19.25,12657,2.69,0.0,2.75,2.69,2.75,1.0,88600
PPHM,2010-01-07,21.0,21.14,19.11,19.11,80642,3.0,0.0,3.02,2.73,2.73,1.0,564500
PPHM,2010-01-08,22.19,22.26,20.86,21.21,116642,3.17,0.0,3.18,2.98,3.03,1.0,816500
PPHM,2010-01-11,24.22,24.22,22.19,22.33,197571,3.46,0.0,3.46,3.17,3.19,1.0,1383000
PPHM,2010-01-12,23.1,23.52,22.05,22.96,81171,3.3,0.0,3.36,3.15,3.28,1.0,568200
PPHM,2010-01-13,23.38,24.22,22.26,24.22,52628,3.34,0.0,3.46,3.18,3.46,1.0,368400
PPHM,2010-01-14,23.17,23.52,22.61,23.38,24314,3.31,0.0,3.36,3.23,3.34,1.0,170200
PPHM,2010-01-15,22.54,23.1,22.26,23.1,26657,3.22,0.0,3.3,3.18,3.3,1.0,186600
PPHM,2010-01-19,22.96,23.17,22.05,22.82,40057,3.28,0.0,3.31,3.15,3.26,1.0,280400
PPHM,2010-01-20,22.47,23.275,22.4,22.82,21742,3.21,0.0,3.325,3.2,3.26,1.0,152200
PPHM,2010-01-21,21.77,22.512,21.7,22.4,21328,3.11,0.0,3.216,3.1,3.2,1.0,149300
PPHM,2010-01-22,21.42,21.8379,21.14,21.7,25314,3.06,0.0,3.1197,3.02,3.1,1.0,177200
PPHM,2010-01-25,21.21,21.84,21.07,21.84,24000,3.03,0.0,3.12,3.01,3.12,1.0,168000
PPHM,2010-01-26,20.65,21.21,20.3,21.21,26071,2.95,0.0,3.03,2.9,3.03,1.0,182500
PPHM,2010-01-27,20.16,20.86,19.698,20.86,25714,2.88,0.0,2.98,2.814,2.98,1.0,180000
PPHM,2010-01-28,20.51,20.58,19.95,20.16,24171,2.93,0.0,2.94,2.85,2.88,1.0,169200
PPHM,2010-01-29,21.35,21.98,20.804,20.86,38528,3.05,0.0,3.14,2.972,2.98,1.0,269700
PPHM,2010-02-01,20.51,21.14,20.37,21.14,23914,2.93,0.0,3.02,2.91,3.02,1.0,167400
PPHM,2010-02-02,20.58,20.93,20.02,20.44,33585,2.94,0.0,2.99,2.86,2.92,1.0,235100
PPHM,2010-02-03,20.37,20.51,20.16,20.51,47414,2.91,0.0,2.93,2.88,2.93,1.0,331900
PPHM,2010-02-04,20.86,21.0,20.16,20.5093,24885,2.98,0.0,3.0,2.88,2.9299,1.0,174200
PPHM,2010-02-05,21.35,21.49,20.44,20.65,17957,3.05,0.0,3.07,2.92,2.95,1.0,125700
PPHM,2010-02-08,21.91,22.68,20.86,21.49,33357,3.13,0.0,3.24,2.98,3.07,1.0,233500
PPHM,2010-02-09,21.7,22.33,21.35,21.84,24314,3.1,0.0,3.19,3.05,3.12,1.0,170200
PPHM,2010-02-10,21.77,21.77,21.14,21.49,22700,3.11,0.0,3.11,3.02,3.07,1.0,158900
PPHM,2010-02-11,22.05,22.33,21.7,21.98,33085,3.15,0.0,3.19,3.1,3.14,1.0,231600
PPHM,2010-02-12,22.33,22.33,21.7,22.05,39157,3.19,0.0,3.19,3.1,3.15,1.0,274100
PPHM,2010-02-16,22.68,22.68,22.05,22.33,20200,3.24,0.0,3.24,3.15,3.19,1.0,141400
PPHM,2010-02-17,22.89,22.96,22.47,22.47,21085,3.27,0.0,3.28,3.21,3.21,1.0,147600
PPHM,2010-02-18,23.31,23.45,22.75,22.96,49928,3.33,0.0,3.35,3.25,3.28,1.0,349500
PPHM,2010-02-19,23.17,23.45,22.75,23.45,30714,3.31,0.0,3.35,3.25,3.35,1.0,215000
PPHM,2010-02-22,23.1,23.1,22.75,23.03,20600,3.3,0.0,3.3,3.25,3.29,1.0,144200
PPHM,2010-02-23,22.96,23.17,22.68,22.75,20371,3.28,0.0,3.31,3.24,3.25,1.0,142600
PPHM,2010-02-24,22.82,23.1,22.75,22.96,12528,3.26,0.0,3.3,3.25,3.28,1.0,87700
PPHM,2010-02-25,22.54,22.54,22.26,22.54,21257,3.22,0.0,3.22,3.18,3.22,1.0,148800
PPHM,2010-02-26,22.68,22.68,22.288,22.54,22085,3.24,0.0,3.24,3.184,3.22,1.0,154600
PPHM,2010-03-01,22.54,22.75,22.4,22.54,13600,3.22,0.0,3.25,3.2,3.22,1.0,95200
PPHM,2010-03-02,22.47,22.75,22.26,22.68,36600,3.21,0.0,3.25,3.18,3.24,1.0,256200
PPHM,2010-03-03,22.68,22.68,22.26,22.26,9828,3.24,0.0,3.24,3.18,3.18,1.0,68800
PPHM,2010-03-04,22.61,22.68,22.33,22.61,11614,3.23,0.0,3.24,3.19,3.23,1.0,81300
PPHM,2010-03-05,22.4,22.68,22.33,22.68,25800,3.2,0.0,3.24,3.19,3.24,1.0,180600
PPHM,2010-03-08,23.31,23.59,22.33,22.33,38685,3.33,0.0,3.37,3.19,3.19,1.0,270800
PPHM,2010-03-09,24.5,24.85,23.38,23.59,102542,3.5,0.0,3.55,3.34,3.37,1.0,717800
PPHM,2010-03-10,24.71,25.06,23.8,24.78,48585,3.53,0.0,3.58,3.4,3.54,1.0,340100
PPHM,2010-03-11,23.94,25.06,23.8,25.06,37057,3.42,0.0,3.58,3.4,3.58,1.0,259400
PPHM,2010-03-12,24.29,24.5,23.66,23.8,28828,3.47,0.0,3.5,3.38,3.4,1.0,201800
PPHM,2010-03-15,23.8,24.5,23.52,24.5,25528,3.4,0.0,3.5,3.36,3.5,1.0,178700
PPHM,2010-03-16,23.17,23.73,22.47,23.66,33557,3.31,0.0,3.39,3.21,3.38,1.0,234900
PPHM,2010-03-17,22.89,23.1,22.54,23.1,24228,3.27,0.0,3.3,3.22,3.3,1.0,169600
PPHM,2010-03-18,21.98,22.82,21.91,22.82,20314,3.14,0.0,3.26,3.13,3.26,1.0,142200
PPHM,2010-03-19,22.12,22.19,21.21,22.19,33485,3.16,0.0,3.17,3.03,3.17,1.0,234400
PPHM,2010-03-22,21.9793,22.05,21.21,21.91,12657,3.1399,0.0,3.15,3.03,3.13,1.0,88600
PPHM,2010-03-23,22.33,22.4,21.56,21.77,20014,3.19,0.0,3.2,3.08,3.11,1.0,140100
PPHM,2010-03-24,22.12,22.5232,22.05,22.4,12014,3.16,0.0,3.2176,3.15,3.2,1.0,84100
PPHM,2010-03-25,21.84,22.54,21.7,22.26,14728,3.12,0.0,3.22,3.1,3.18,1.0,103100
PPHM,2010-03-26,21.77,22.33,21.7,22.26,9400,3.11,0.0,3.19,3.1,3.18,1.0,65800
PPHM,2010-03-29,21.42,21.84,21.42,21.63,15485,3.06,0.0,3.12,3.06,3.09,1.0,108400
PPHM,2010-03-30,21.49,21.77,21.14,21.14,17157,3.07,0.0,3.11,3.02,3.02,1.0,120100
PPHM,2010-03-31,21.56,22.4,21.21,21.35,27285,3.08,0.0,3.2,3.03,3.05,1.0,191000
PPHM,2010-04-01,22.05,22.54,21.56,21.56,26000,3.15,0.0,3.22,3.08,3.08,1.0,182000
PPHM,2010-04-05,23.73,23.8,22.61,22.75,57657,3.39,0.0,3.4,3.23,3.25,1.0,403600
PPHM,2010-04-06,23.24,23.73,22.82,23.73,17771,3.32,0.0,3.39,3.26,3.39,1.0,124400
PPHM,2010-04-07,23.73,23.73,22.75,23.1,18328,3.39,0.0,3.39,3.25,3.3,1.0,128300
PPHM,2010-04-08,23.45,23.625,22.96,23.45,20828,3.35,0.0,3.375,3.28,3.35,1.0,145800
PPHM,2010-04-09,23.8,24.15,23.17,23.59,30700,3.4,0.0,3.45,3.31,3.37,1.0,214900
PPHM,2010-04-12,25.13,25.48,23.52,23.52,66085,3.59,0.0,3.64,3.36,3.36,1.0,462600
PPHM,2010-04-13,27.23,27.58,25.2,26.04,124071,3.89,0.0,3.94,3.6,3.72,1.0,868500
PPHM,2010-04-14,27.51,28.7,27.3,27.79,119142,3.93,0.0,4.1,3.9,3.97,1.0,834000
PPHM,2010-04-15,28.0,30.1,27.51,29.75,182042,4.0,0.0,4.3,3.93,4.25,1.0,1274300
PPHM,2010-04-16,28.0,28.385,26.11,27.65,100442,4.0,0.0,4.055,3.73,3.95,1.0,703100
PPHM,2010-04-19,28.63,29.05,27.65,28.7,81857,4.09,0.0,4.15,3.95,4.1,1.0,573000
PPHM,2010-04-20,28.35,28.91,28.0,28.84,68171,4.05,0.0,4.13,4.0,4.12,1.0,477200
PPHM,2010-04-21,27.16,28.56,26.74,28.49,66542,3.88,0.0,4.08,3.82,4.07,1.0,465800
PPHM,2010-04-22,27.02,27.3,26.32,27.3,33814,3.86,0.0,3.9,3.76,3.9,1.0,236700
PPHM,2010-04-23,26.95,28.0,26.95,27.23,29114,3.85,0.0,4.0,3.85,3.89,1.0,203800
PPHM,2010-04-26,27.58,27.58,26.81,27.02,41614,3.94,0.0,3.94,3.83,3.86,1.0,291300
PPHM,2010-04-27,27.3,27.3,26.81,27.3,22142,3.9,0.0,3.9,3.83,3.9,1.0,155000
PPHM,2010-04-28,27.3,27.44,26.6721,27.09,22271,3.9,0.0,3.92,3.8103,3.87,1.0,155900
PPHM,2010-04-29,27.3,27.3,26.67,27.3,19000,3.9,0.0,3.9,3.81,3.9,1.0,133000
PPHM,2010-04-30,28.07,28.56,27.16,27.44,74628,4.01,0.0,4.08,3.88,3.92,1.0,522400
PPHM,2010-05-03,28.84,28.98,28.35,28.56,44928,4.12,0.0,4.14,4.05,4.08,1.0,314500
PPHM,2010-05-04,27.86,28.84,27.3,28.84,60542,3.98,0.0,4.12,3.9,4.12,1.0,423800
