symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
PROV,2010-01-04,2.236736363,2.3535807999,2.153276051,2.3035046127,195200,2.68,0.0,2.82,2.58,2.76,1.0,195200
PROV,2010-01-05,2.2951585815,2.3535807999,2.2200443006,2.236736363,272900,2.75,0.0,2.82,2.66,2.68,1.0,272900
PROV,2010-01-06,2.4362065088,2.4453871432,2.2283903318,2.3285427063,236900,2.919,0.0,2.93,2.67,2.79,1.0,236900
PROV,2010-01-07,2.4954633304,2.5121553928,2.4120030183,2.5038093616,137300,2.99,0.0,3.01,2.89,3.0,1.0,137300
PROV,2010-01-08,2.478771268,2.5704941509,2.3118506439,2.4453871432,75000,2.97,0.0,3.0799,2.77,2.93,1.0,75000
PROV,2010-01-11,2.6206537985,2.6623839545,2.478771268,2.4954633304,225700,3.14,0.0,3.19,2.97,2.99,1.0,225700
PROV,2010-01-12,2.3201966751,2.6123077673,2.3118506439,2.5371934864,172000,2.78,0.0,3.13,2.77,3.04,1.0,172000
PROV,2010-01-13,2.2533449651,2.3452347687,2.2283903318,2.3452347687,118100,2.6999,0.0,2.81,2.67,2.81,1.0,118100
PROV,2010-01-14,2.3869649247,2.4120030183,2.2534284254,2.278466519,97900,2.86,0.0,2.89,2.7,2.73,1.0,97900
PROV,2010-01-15,2.2033522382,2.4035735268,2.1866601758,2.3953109559,161300,2.64,0.0,2.8799,2.62,2.87,1.0,161300
PROV,2010-01-19,2.5455395176,2.5789236424,2.2951585815,2.2951585815,224600,3.05,0.0,3.09,2.75,2.75,1.0,224600
PROV,2010-01-20,2.6289998297,2.6456918921,2.5038093616,2.5121553928,110600,3.15,0.0,3.17,3.0,3.01,1.0,110600
PROV,2010-01-21,2.804266485,2.9120972082,2.6289998297,2.6790760169,167000,3.36,0.0,3.4892,3.15,3.21,1.0,167000
PROV,2010-01-22,2.5705776112,2.762536329,2.4453871432,2.762536329,120200,3.08,0.0,3.31,2.93,3.31,1.0,120200
PROV,2010-01-25,2.56223158,2.6874220481,2.520501424,2.5705776112,47800,3.07,0.0,3.22,3.02,3.08,1.0,47800
PROV,2010-01-26,2.56223158,2.7290687438,2.4620792056,2.7290687438,92900,3.07,0.0,3.2699,2.95,3.2699,1.0,92900
