symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
PTNT,2010-01-04,1.2758083832,1.2758083832,1.2758083832,1.2758083832,100,3.18,0.0,3.18,3.18,3.18,1.0,100
PTNT,2010-01-05,1.259760479,1.2838323353,1.259760479,1.2838323353,1100,3.14,0.0,3.2,3.14,3.2,1.0,1100
PTNT,2010-01-06,1.3038922156,1.3038922156,1.3038922156,1.3038922156,100,3.25,0.0,3.25,3.25,3.25,1.0,100
PTNT,2010-01-07,1.2838323353,1.3038922156,1.2838323353,1.3038922156,800,3.2,0.0,3.25,3.2,3.25,1.0,800
PTNT,2010-01-08,1.2838323353,1.2838323353,1.2838323353,1.2838323353,0,3.2,0.0,3.2,3.2,3.2,1.0,0
PTNT,2010-01-11,1.2437125749,1.2437526946,1.2437125749,1.2437526946,200,3.1,0.0,3.1001,3.1,3.1001,1.0,200
PTNT,2010-01-12,1.2637724551,1.2637724551,1.2517365269,1.2517766467,500,3.15,0.0,3.15,3.12,3.1201,1.0,500
PTNT,2010-01-13,1.2637724551,1.2637724551,1.2637724551,1.2637724551,0,3.15,0.0,3.15,3.15,3.15,1.0,0
PTNT,2010-01-14,1.2637724551,1.2637724551,1.2637724551,1.2637724551,0,3.15,0.0,3.15,3.15,3.15,1.0,0
PTNT,2010-01-15,1.2838323353,1.2838323353,1.2838323353,1.2838323353,100,3.2,0.0,3.2,3.2,3.2,1.0,100
PTNT,2010-01-19,1.2838323353,1.2838323353,1.2838323353,1.2838323353,0,3.2,0.0,3.2,3.2,3.2,1.0,0
PTNT,2010-01-20,1.2838323353,1.2838323353,1.2838323353,1.2838323353,0,3.2,0.0,3.2,3.2,3.2,1.0,0
PTNT,2010-01-21,1.2838323353,1.2854371257,1.2641736527,1.2838323353,1100,3.2,0.0,3.204,3.151,3.2,1.0,1100
PTNT,2010-01-22,1.2838323353,1.2838323353,1.2798203593,1.2838323353,400,3.2,0.0,3.2,3.19,3.2,1.0,400
PTNT,2010-01-25,1.2838323353,1.2838323353,1.2838323353,1.2838323353,0,3.2,0.0,3.2,3.2,3.2,1.0,0
PTNT,2010-01-26,1.677005988,1.7652694611,1.4122155689,1.4122155689,58800,4.18,0.0,4.4,3.52,3.52,1.0,58800
PTNT,2010-01-27,1.6047904192,1.6649700599,1.5686826347,1.6047904192,26100,4.0,0.0,4.15,3.91,4.0,1.0,26100
PTNT,2010-01-28,1.6047904192,1.6609580838,1.5847305389,1.6609580838,2800,4.0,0.0,4.14,3.95,4.14,1.0,2800
PTNT,2010-01-29,1.6047904192,1.6248502994,1.5646706587,1.6047904192,24400,4.0,0.0,4.05,3.9,4.0,1.0,24400
PTNT,2010-02-01,1.6408982036,1.6609580838,1.5967664671,1.6047904192,13200,4.09,0.0,4.14,3.98,4.0,1.0,13200
PTNT,2010-02-02,1.7171257485,1.7171257485,1.6047904192,1.6388922156,9000,4.28,0.0,4.28,4.0,4.085,1.0,9000
PTNT,2010-02-03,1.7050898204,1.7050898204,1.6893628743,1.7050898204,7900,4.25,0.0,4.25,4.2108,4.25,1.0,7900
PTNT,2010-02-04,1.6649700599,1.6655718563,1.6649700599,1.6649700599,1300,4.15,0.0,4.1515,4.15,4.15,1.0,1300
PTNT,2010-02-05,1.8054293413,1.8054293413,1.588742515,1.6047904192,7700,4.5001,0.0,4.5001,3.96,4.0,1.0,7700
PTNT,2010-02-08,1.7652694611,1.7652694611,1.7371856287,1.7492616766,6900,4.4,0.0,4.4,4.33,4.3601,1.0,6900
PTNT,2010-02-09,1.7452095808,1.7652694611,1.7010778443,1.7050898204,7000,4.35,0.0,4.4,4.24,4.25,1.0,7000
PTNT,2010-02-10,1.7251497006,1.7251497006,1.6489221557,1.6489221557,7000,4.3,0.0,4.3,4.11,4.11,1.0,7000
PTNT,2010-02-11,1.7291616766,1.7652694611,1.7251497006,1.7251497006,19800,4.31,0.0,4.4,4.3,4.3,1.0,19800
PTNT,2010-02-12,1.6449101796,1.7211377246,1.6449101796,1.7050898204,2200,4.1,0.0,4.29,4.1,4.25,1.0,2200
PTNT,2010-02-16,1.7251497006,1.7492215569,1.7251497006,1.7371856287,4500,4.3,0.0,4.36,4.3,4.33,1.0,4500
PTNT,2010-02-17,1.7251497006,1.7652694611,1.7251497006,1.7411976048,7800,4.3,0.0,4.4,4.3,4.34,1.0,7800
PTNT,2010-02-18,1.7050898204,1.7251497006,1.7050898204,1.7251497006,2000,4.25,0.0,4.3,4.25,4.3,1.0,2000
PTNT,2010-02-19,1.7050898204,1.7050898204,1.677005988,1.677005988,3000,4.25,0.0,4.25,4.18,4.18,1.0,3000
PTNT,2010-02-22,1.7452497006,1.7452497006,1.6810179641,1.7171257485,7200,4.3501,0.0,4.3501,4.19,4.28,1.0,7200
PTNT,2010-02-23,1.7452095808,1.7452497006,1.677005988,1.677005988,5900,4.35,0.0,4.3501,4.18,4.18,1.0,5900
