symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
RARX,2016-10-26,13.0,14.86,13.0,14.16,3885936,13.0,0.0,14.86,13.0,14.16,1.0,3885936
RARX,2016-10-27,13.0,13.19,12.5,13.0,742119,13.0,0.0,13.19,12.5,13.0,1.0,742119
RARX,2016-10-28,12.89,13.09,12.51,13.0,148183,12.89,0.0,13.09,12.51,13.0,1.0,148183
RARX,2016-10-31,12.85,12.98,12.76,12.9,30810,12.85,0.0,12.98,12.76,12.9,1.0,30810
RARX,2016-11-01,13.0,13.52,12.33,13.52,211041,13.0,0.0,13.52,12.33,13.52,1.0,211041
RARX,2016-11-02,12.78,12.99,12.75,12.84,56396,12.78,0.0,12.99,12.75,12.84,1.0,56396
RARX,2016-11-03,12.74,12.91,12.74,12.91,50134,12.74,0.0,12.91,12.74,12.91,1.0,50134
RARX,2016-11-04,12.75,12.89,12.75,12.7899,56375,12.75,0.0,12.89,12.75,12.7899,1.0,56375
RARX,2016-11-07,13.27,13.52,12.75,12.75,57755,13.27,0.0,13.52,12.75,12.75,1.0,57755
RARX,2016-11-08,13.05,13.3,12.75,13.3,377590,13.05,0.0,13.3,12.75,13.3,1.0,377590
RARX,2016-11-09,13.29,13.5,13.0,13.0,18812,13.29,0.0,13.5,13.0,13.0,1.0,18812
RARX,2016-11-10,13.33,13.79,13.14,13.79,34611,13.33,0.0,13.79,13.14,13.79,1.0,34611
RARX,2016-11-11,13.31,13.5855,12.48,13.04,353900,13.31,0.0,13.5855,12.48,13.04,1.0,353900
RARX,2016-11-14,14.0,14.0,13.26,13.26,48843,14.0,0.0,14.0,13.26,13.26,1.0,48843
RARX,2016-11-15,13.89,13.99,13.43,13.43,17596,13.89,0.0,13.99,13.43,13.43,1.0,17596
RARX,2016-11-16,13.55,13.95,13.1,13.785,36742,13.55,0.0,13.95,13.1,13.785,1.0,36742
RARX,2016-11-17,13.41,13.79,13.37,13.66,18661,13.41,0.0,13.79,13.37,13.66,1.0,18661
RARX,2016-11-18,13.29,13.65,12.81,13.38,141969,13.29,0.0,13.65,12.81,13.38,1.0,141969
RARX,2016-11-21,13.09,13.85,13.0,13.4,121859,13.09,0.0,13.85,13.0,13.4,1.0,121859
RARX,2016-11-22,13.0,13.4,13.0,13.11,57649,13.0,0.0,13.4,13.0,13.11,1.0,57649
RARX,2016-11-23,13.0,13.18,12.995,13.18,98305,13.0,0.0,13.18,12.995,13.18,1.0,98305
RARX,2016-11-25,13.14,13.18,13.0101,13.18,17660,13.14,0.0,13.18,13.0101,13.18,1.0,17660
RARX,2016-11-28,12.99,13.18,12.92,13.14,95663,12.99,0.0,13.18,12.92,13.14,1.0,95663
RARX,2016-11-29,13.0,13.18,12.92,13.0,33939,13.0,0.0,13.18,12.92,13.0,1.0,33939
RARX,2016-11-30,13.09,13.31,12.75,12.75,71906,13.09,0.0,13.31,12.75,12.75,1.0,71906
RARX,2016-12-01,12.92,13.38,12.76,13.07,94263,12.92,0.0,13.38,12.76,13.07,1.0,94263
RARX,2016-12-02,12.96,13.13,12.0511,12.99,85277,12.96,0.0,13.13,12.0511,12.99,1.0,85277
RARX,2016-12-05,13.51,13.91,12.84,13.08,69989,13.51,0.0,13.91,12.84,13.08,1.0,69989
RARX,2016-12-06,13.69,13.94,13.0011,13.4,57766,13.69,0.0,13.94,13.0011,13.4,1.0,57766
RARX,2016-12-07,13.75,13.85,13.1808,13.66,64155,13.75,0.0,13.85,13.1808,13.66,1.0,64155
RARX,2016-12-08,13.21,13.69,13.1501,13.69,52934,13.21,0.0,13.69,13.1501,13.69,1.0,52934
RARX,2016-12-09,13.105,13.5782,12.605,13.15,115753,13.105,0.0,13.5782,12.605,13.15,1.0,115753
RARX,2016-12-12,13.61,13.75,12.8,13.0,105576,13.61,0.0,13.75,12.8,13.0,1.0,105576
RARX,2016-12-13,13.75,13.76,13.16,13.74,24824,13.75,0.0,13.76,13.16,13.74,1.0,24824
RARX,2016-12-14,13.43,13.75,13.26,13.63,37128,13.43,0.0,13.75,13.26,13.63,1.0,37128
RARX,2016-12-15,13.0,13.63,12.63,13.52,87441,13.0,0.0,13.63,12.63,13.52,1.0,87441
RARX,2016-12-16,13.07,13.59,12.65,12.88,821845,13.07,0.0,13.59,12.65,12.88,1.0,821845
RARX,2016-12-19,14.1,14.15,12.875,12.92,113218,14.1,0.0,14.15,12.875,12.92,1.0,113218
RARX,2016-12-20,14.44,14.75,13.85,14.15,89635,14.44,0.0,14.75,13.85,14.15,1.0,89635
RARX,2016-12-21,15.37,15.39,14.17,14.49,51249,15.37,0.0,15.39,14.17,14.49,1.0,51249
RARX,2016-12-22,16.14,16.56,14.95,15.3,57416,16.14,0.0,16.56,14.95,15.3,1.0,57416
RARX,2016-12-23,16.05,16.14,15.75,16.0,48301,16.05,0.0,16.14,15.75,16.0,1.0,48301
RARX,2016-12-27,15.49,16.06,14.978,16.06,62285,15.49,0.0,16.06,14.978,16.06,1.0,62285
RARX,2016-12-28,14.82,15.56,14.0741,14.98,46893,14.82,0.0,15.56,14.0741,14.98,1.0,46893
RARX,2016-12-29,15.0,15.28,14.16,14.16,35578,15.0,0.0,15.28,14.16,14.16,1.0,35578
RARX,2016-12-30,15.19,15.26,14.89,15.0,45923,15.19,0.0,15.26,14.89,15.0,1.0,45923
RARX,2017-01-03,15.19,15.55,14.77,15.3,84835,15.19,0.0,15.55,14.77,15.3,1.0,84835
RARX,2017-01-04,15.33,15.49,14.905,15.27,59544,15.33,0.0,15.49,14.905,15.27,1.0,59544
RARX,2017-01-05,15.82,16.005,15.125,15.44,42595,15.82,0.0,16.005,15.125,15.44,1.0,42595
RARX,2017-01-06,15.22,15.99,15.0,15.99,91509,15.22,0.0,15.99,15.0,15.99,1.0,91509
RARX,2017-01-09,15.03,15.37,14.8,15.37,60854,15.03,0.0,15.37,14.8,15.37,1.0,60854
RARX,2017-01-10,14.92,15.17,14.41,14.96,77729,14.92,0.0,15.17,14.41,14.96,1.0,77729
RARX,2017-01-11,15.3,15.35,13.83,14.9774,67940,15.3,0.0,15.35,13.83,14.9774,1.0,67940
RARX,2017-01-12,15.0,15.25,14.82,15.25,15245,15.0,0.0,15.25,14.82,15.25,1.0,15245
RARX,2017-01-13,15.38,15.5,14.8814,15.05,31999,15.38,0.0,15.5,14.8814,15.05,1.0,31999
RARX,2017-01-17,14.94,15.36,14.54,15.26,39218,14.94,0.0,15.36,14.54,15.26,1.0,39218
RARX,2017-01-18,14.59,14.95,14.5,14.95,20573,14.59,0.0,14.95,14.5,14.95,1.0,20573
RARX,2017-01-19,14.05,14.9878,14.02,14.65,36991,14.05,0.0,14.9878,14.02,14.65,1.0,36991
RARX,2017-01-20,14.77,14.94,14.05,14.05,36669,14.77,0.0,14.94,14.05,14.05,1.0,36669
RARX,2017-01-23,15.79,16.06,14.3,14.71,83748,15.79,0.0,16.06,14.3,14.71,1.0,83748
RARX,2017-01-24,16.16,16.37,15.185,15.93,64571,16.16,0.0,16.37,15.185,15.93,1.0,64571
RARX,2017-01-25,16.16,16.65,15.77,16.16,96964,16.16,0.0,16.65,15.77,16.16,1.0,96964
RARX,2017-01-26,16.12,16.215,15.24,15.31,32984,16.12,0.0,16.215,15.24,15.31,1.0,32984
RARX,2017-01-27,15.93,16.11,15.53,15.99,7549,15.93,0.0,16.11,15.53,15.99,1.0,7549
RARX,2017-01-30,15.76,16.03,15.155,16.03,29806,15.76,0.0,16.03,15.155,16.03,1.0,29806
RARX,2017-01-31,15.94,16.11,15.32,15.78,63395,15.94,0.0,16.11,15.32,15.78,1.0,63395
RARX,2017-02-01,16.64,17.155,15.82,15.9,29954,16.64,0.0,17.155,15.82,15.9,1.0,29954
RARX,2017-02-02,16.48,16.76,16.01,16.76,30342,16.48,0.0,16.76,16.01,16.76,1.0,30342
RARX,2017-02-03,18.23,18.44,16.3,16.66,48513,18.23,0.0,18.44,16.3,16.66,1.0,48513
RARX,2017-02-06,18.24,18.35,17.92,17.98,26951,18.24,0.0,18.35,17.92,17.98,1.0,26951
RARX,2017-02-07,18.17,18.4,17.537,18.4,33361,18.17,0.0,18.4,17.537,18.4,1.0,33361
RARX,2017-02-08,17.98,18.18,17.37,18.18,33411,17.98,0.0,18.18,17.37,18.18,1.0,33411
RARX,2017-02-09,19.31,19.85,17.87,17.9,47512,19.31,0.0,19.85,17.87,17.9,1.0,47512
RARX,2017-02-10,22.15,22.48,19.22,19.73,91554,22.15,0.0,22.48,19.22,19.73,1.0,91554
RARX,2017-02-13,21.78,24.12,21.44,22.73,84796,21.78,0.0,24.12,21.44,22.73,1.0,84796
