symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
RIBTW,2014-09-24,1.47,1.55,1.4001,1.55,4705,1.47,0.0,1.55,1.4001,1.55,1.0,4705
RIBTW,2014-09-25,1.5,1.5,1.49,1.5,2800,1.5,0.0,1.5,1.49,1.5,1.0,2800
RIBTW,2014-09-26,1.4,1.84,1.4,1.55,1197,1.4,0.0,1.84,1.4,1.55,1.0,1197
RIBTW,2014-09-29,1.45,1.59,1.4,1.59,4351,1.45,0.0,1.59,1.4,1.59,1.0,4351
RIBTW,2014-09-30,1.6999,1.75,1.49,1.49,2511,1.6999,0.0,1.75,1.49,1.49,1.0,2511
RIBTW,2014-10-01,1.41,1.51,1.4,1.4,13422,1.41,0.0,1.51,1.4,1.4,1.0,13422
RIBTW,2014-10-02,1.36,1.38,1.36,1.38,910,1.36,0.0,1.38,1.36,1.38,1.0,910
RIBTW,2014-10-03,1.38,1.38,1.38,1.38,700,1.38,0.0,1.38,1.38,1.38,1.0,700
RIBTW,2014-10-06,1.36,1.4,1.36,1.4,721,1.36,0.0,1.4,1.36,1.4,1.0,721
RIBTW,2014-10-07,1.3,1.4,1.22,1.4,1300,1.3,0.0,1.4,1.22,1.4,1.0,1300
RIBTW,2014-10-08,1.32,1.5,1.3,1.5,2300,1.32,0.0,1.5,1.3,1.5,1.0,2300
RIBTW,2014-10-09,1.35,1.35,1.35,1.35,150,1.35,0.0,1.35,1.35,1.35,1.0,150
RIBTW,2014-10-10,1.25,1.33,1.25,1.3,5500,1.25,0.0,1.33,1.25,1.3,1.0,5500
RIBTW,2014-10-13,1.25,1.25,1.25,1.25,0,1.25,0.0,1.25,1.25,1.25,1.0,0
RIBTW,2014-10-14,1.2332,1.25,1.23,1.25,2154,1.2332,0.0,1.25,1.23,1.25,1.0,2154
RIBTW,2014-10-15,1.2,1.23,1.0,1.23,2550,1.2,0.0,1.23,1.0,1.23,1.0,2550
RIBTW,2014-10-16,1.3499,1.3499,1.25,1.25,1100,1.3499,0.0,1.3499,1.25,1.25,1.0,1100
RIBTW,2014-10-17,1.46,1.4999,1.2601,1.2601,10082,1.46,0.0,1.4999,1.2601,1.2601,1.0,10082
RIBTW,2014-10-20,1.38,1.38,1.38,1.38,190,1.38,0.0,1.38,1.38,1.38,1.0,190
RIBTW,2014-10-21,1.42,1.45,1.4,1.45,5640,1.42,0.0,1.45,1.4,1.45,1.0,5640
