symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SASR,2010-01-04,7.3500789156,7.4953055023,7.1161027482,7.2774656223,58200,9.11,0.0,9.29,8.82,9.02,1.0,58200
SASR,2010-01-05,6.9466717303,7.3097381971,6.9143991555,7.3097381971,55800,8.61,0.0,9.06,8.57,9.06,1.0,55800
SASR,2010-01-06,6.7853088562,7.0596257422,6.7046274192,6.9386035866,52300,8.41,0.0,8.75,8.31,8.6,1.0,52300
SASR,2010-01-07,7.1161027482,7.2009796199,6.656218557,6.7933769999,40000,8.82,0.0,8.9252,8.25,8.42,1.0,40000
SASR,2010-01-08,7.0838301733,7.3016700534,6.9950805926,7.0596257422,33700,8.78,0.0,9.05,8.67,8.75,1.0,33700
SASR,2010-01-11,6.9950805926,7.22905676,6.8579221496,7.1403071793,33600,8.67,0.0,8.96,8.5,8.85,1.0,33600
SASR,2010-01-12,6.9628080178,7.1645116104,6.9224672992,6.9305354429,41200,8.63,0.0,8.88,8.58,8.59,1.0,41200
SASR,2010-01-13,7.2532611912,7.2774656223,6.8659902933,6.9789443052,46900,8.99,0.0,9.02,8.51,8.65,1.0,46900
SASR,2010-01-14,7.8583719691,7.8906445439,7.185488784,7.2371249037,46400,9.74,0.0,9.78,8.906,8.97,1.0,46400
SASR,2010-01-15,7.8664401128,7.9955304121,7.4711010712,7.8825764002,65700,9.75,0.0,9.91,9.26,9.77,1.0,65700
SASR,2010-01-19,7.9390534061,8.0116666995,7.5517825083,7.8503038254,40900,9.84,0.0,9.93,9.36,9.73,1.0,40900
SASR,2010-01-20,7.7938268194,7.9955304121,7.6486002327,7.8664401128,43500,9.66,0.0,9.91,9.48,9.75,1.0,43500
SASR,2010-01-21,8.1246207113,8.3989375973,7.7292816698,7.8987126876,93100,10.07,0.0,10.41,9.58,9.79,1.0,93100
SASR,2010-01-22,7.9632578372,8.1810977173,7.8745082565,8.1488251425,45800,9.87,0.0,10.14,9.76,10.1,1.0,45800
SASR,2010-01-25,8.132688855,8.2779154417,7.9874622683,8.0358711306,49700,10.08,0.0,10.26,9.9,9.96,1.0,49700
SASR,2010-01-26,8.189165861,8.4312101721,8.0762118491,8.0923481365,48500,10.15,0.0,10.45,10.01,10.03,1.0,48500
SASR,2010-01-27,8.9798439441,9.0242187345,8.3828013099,8.4715508907,103300,11.13,0.0,11.185,10.39,10.5,1.0,103300
SASR,2010-01-28,9.1815475367,9.5365458598,9.0524572375,9.0524572375,92200,11.38,0.0,11.82,11.22,11.22,1.0,92200
SASR,2010-01-29,9.6737043028,9.7947264584,9.3267741234,9.4800688538,171000,11.99,0.0,12.14,11.56,11.75,1.0,171000
SASR,2010-02-01,9.9076804702,10.0044981947,9.6656361591,9.7059768776,58700,12.28,0.0,12.4,11.98,12.03,1.0,58700
SASR,2010-02-02,10.0287026258,10.077111488,9.8027946021,9.8915441828,67600,12.43,0.0,12.49,12.15,12.26,1.0,67600
SASR,2010-02-03,9.7624538835,9.9722256199,9.6817724465,9.9480211888,58400,12.1,0.0,12.36,12.0,12.33,1.0,58400
SASR,2010-02-04,9.6979087339,9.8996123265,9.6010910094,9.6898405902,108100,12.02,0.0,12.27,11.9,12.01,1.0,108100
SASR,2010-02-05,9.859271608,10.0529070569,9.6817724465,9.722113165,87300,12.22,0.0,12.46,12.0,12.05,1.0,87300
SASR,2010-02-08,9.9802937636,10.0690433443,9.7705220272,9.8189308895,37100,12.37,0.0,12.48,12.11,12.17,1.0,37100
SASR,2010-02-09,10.0851796318,10.3110876555,10.0287026258,10.1255203503,39400,12.5,0.0,12.78,12.43,12.55,1.0,39400
SASR,2010-02-10,9.9802937636,10.1376225658,9.9238167576,10.0044981947,29800,12.37,0.0,12.565,12.3,12.4,1.0,29800
SASR,2010-02-11,10.0529070569,10.0690433443,9.6817724465,9.9641574762,50300,12.46,0.0,12.48,12.0,12.35,1.0,50300
SASR,2010-02-12,10.3110876555,10.3352920866,9.859271608,9.859271608,37400,12.78,0.0,12.81,12.22,12.22,1.0,37400
SASR,2010-02-16,10.6015408289,10.6580178348,10.2949513681,10.3675646614,41600,13.14,0.0,13.21,12.76,12.85,1.0,41600
SASR,2010-02-17,10.762903703,10.8758577149,10.5773363978,10.6660859785,39900,13.34,0.0,13.48,13.11,13.22,1.0,39900
SASR,2010-02-18,11.1340383135,11.1340383135,10.7467674156,10.7709718467,27500,13.8,0.0,13.8,13.32,13.35,1.0,27500
SASR,2010-02-19,11.3680144809,11.4809684928,11.117902026,11.117902026,47500,14.09,0.0,14.23,13.78,13.78,1.0,47500
