symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SGYP,2010-01-04,10.840882802,10.840882802,10.840882802,10.840882802,0,5.6,0.0,5.6,5.6,5.6,1.0,0
SGYP,2010-01-05,10.840882802,10.840882802,10.840882802,10.840882802,100,5.6,0.0,5.6,5.6,5.6,1.0,200
SGYP,2010-01-06,10.840882802,10.840882802,10.840882802,10.840882802,0,5.6,0.0,5.6,5.6,5.6,1.0,0
SGYP,2010-01-07,10.9376763985,10.9376763985,10.840882802,10.840882802,400,5.65,0.0,5.65,5.6,5.6,1.0,800
SGYP,2010-01-08,10.840882802,10.840882802,10.840882802,10.840882802,200,5.6,0.0,5.6,5.6,5.6,1.0,400
SGYP,2010-01-11,10.840882802,10.840882802,10.840882802,10.840882802,300,5.6,0.0,5.6,5.6,5.6,1.0,600
SGYP,2010-01-12,10.840882802,10.840882802,10.840882802,10.840882802,0,5.6,0.0,5.6,5.6,5.6,1.0,0
SGYP,2010-01-13,11.2280571878,11.2280571878,9.1953916624,9.1953916624,200,5.8,0.0,5.8,4.75,4.75,1.0,400
SGYP,2010-01-14,11.2280571878,11.2280571878,11.2280571878,11.2280571878,0,5.8,0.0,5.8,5.8,5.8,1.0,0
SGYP,2010-01-15,11.2280571878,11.2280571878,11.2280571878,11.2280571878,0,5.8,0.0,5.8,5.8,5.8,1.0,0
SGYP,2010-01-19,11.2280571878,11.2280571878,10.840882802,10.840882802,200,5.8,0.0,5.8,5.6,5.6,1.0,400
SGYP,2010-01-20,11.4216443807,11.4216443807,10.840882802,10.840882802,500,5.9,0.0,5.9,5.6,5.6,1.0,1000
SGYP,2010-01-21,11.4216443807,11.4216443807,11.1312635914,11.4216443807,700,5.9,0.0,5.9,5.75,5.9,1.0,1400
SGYP,2010-01-22,11.4216443807,11.4216443807,11.4216443807,11.4216443807,600,5.9,0.0,5.9,5.9,5.9,1.0,1200
SGYP,2010-01-25,11.4216443807,11.4216443807,11.4216443807,11.4216443807,1300,5.9,0.0,5.9,5.9,5.9,1.0,2600
SGYP,2010-01-26,11.6152315736,11.6152315736,11.4216443807,11.4216443807,300,6.0,0.0,6.0,5.9,5.9,1.0,600
SGYP,2010-01-27,11.71202517,11.71202517,11.4216443807,11.4216443807,500,6.05,0.0,6.05,5.9,5.9,1.0,1000
SGYP,2010-01-28,11.71202517,11.71202517,11.71202517,11.71202517,0,6.05,0.0,6.05,6.05,6.05,1.0,0
SGYP,2010-01-29,11.71202517,11.71202517,11.6152315736,11.6152315736,1000,6.05,0.0,6.05,6.0,6.0,1.0,2000
SGYP,2010-02-01,11.8088187665,11.8088187665,11.71202517,11.71202517,1000,6.1,0.0,6.1,6.05,6.05,1.0,2000
SGYP,2010-02-02,12.0991995558,12.0991995558,10.3569148198,12.0024059594,500,6.25,0.0,6.25,5.35,6.2,1.0,1000
SGYP,2010-02-03,12.0991995558,12.0991995558,12.0991995558,12.0991995558,100,6.25,0.0,6.25,6.25,6.25,1.0,200
SGYP,2010-02-04,12.0798408365,12.0991995558,10.4537084162,12.0991995558,1500,6.24,0.0,6.25,5.4,6.25,1.0,3000
SGYP,2010-02-05,12.3895803452,19.3587192893,12.3895803452,19.3587192893,200,6.4,0.0,10.0,6.4,10.0,1.0,400
SGYP,2010-02-08,12.3895803452,12.3895803452,12.3895803452,12.3895803452,0,6.4,0.0,6.4,6.4,6.4,1.0,0
SGYP,2010-02-09,12.3895803452,12.3895803452,12.3895803452,12.3895803452,0,6.4,0.0,6.4,6.4,6.4,1.0,0
SGYP,2010-02-10,12.3895803452,12.3895803452,12.3895803452,12.3895803452,0,6.4,0.0,6.4,6.4,6.4,1.0,0
SGYP,2010-02-11,12.3895803452,12.3895803452,12.3895803452,12.3895803452,0,6.4,0.0,6.4,6.4,6.4,1.0,0
SGYP,2010-02-12,12.5638088188,12.5831675381,6.0012029797,10.5505020127,4600,6.49,0.0,6.5,3.1,5.45,1.0,9200
SGYP,2010-02-16,12.5638088188,12.5638088188,12.5638088188,12.5638088188,0,6.49,0.0,6.49,6.49,6.49,1.0,0
SGYP,2010-02-17,12.5831675381,12.5831675381,12.5831675381,12.5831675381,200,6.5,0.0,6.5,6.5,6.5,1.0,400
SGYP,2010-02-18,12.5831675381,12.5831675381,12.5831675381,12.5831675381,0,6.5,0.0,6.5,6.5,6.5,1.0,0
SGYP,2010-02-19,12.5831675381,12.5831675381,12.5831675381,12.5831675381,0,6.5,0.0,6.5,6.5,6.5,1.0,0
SGYP,2010-02-22,12.5831675381,12.5831675381,12.5831675381,12.5831675381,0,6.5,0.0,6.5,6.5,6.5,1.0,0
SGYP,2010-02-23,12.9703419238,12.9703419238,12.9703419238,12.9703419238,100,6.7,0.0,6.7,6.7,6.7,1.0,200
SGYP,2010-02-24,12.9703419238,12.9703419238,12.9703419238,12.9703419238,0,6.7,0.0,6.7,6.7,6.7,1.0,0
SGYP,2010-02-25,13.3575163096,13.3575163096,10.6472956091,10.6472956091,700,6.9,0.0,6.9,5.5,5.5,1.0,1400
SGYP,2010-02-26,13.5511035025,13.5511035025,13.5511035025,13.5511035025,400,7.0,0.0,7.0,7.0,7.0,1.0,800
SGYP,2010-03-01,13.8414842919,13.8414842919,13.7446906954,13.7446906954,200,7.15,0.0,7.15,7.1,7.1,1.0,400
SGYP,2010-03-02,13.9382778883,13.9382778883,13.5511035025,13.5511035025,2200,7.2,0.0,7.2,7.0,7.0,1.0,4400
SGYP,2010-03-03,13.9382778883,13.9382778883,13.9382778883,13.9382778883,600,7.2,0.0,7.2,7.2,7.2,1.0,1200
SGYP,2010-03-04,13.9382778883,13.9382778883,13.9382778883,13.9382778883,200,7.2,0.0,7.2,7.2,7.2,1.0,400
SGYP,2010-03-05,13.8414842919,13.9382778883,13.8414842919,13.9382778883,1200,7.15,0.0,7.2,7.15,7.2,1.0,2400
SGYP,2010-03-08,13.9382778883,13.9382778883,13.9382778883,13.9382778883,500,7.2,0.0,7.2,7.2,7.2,1.0,1000
SGYP,2010-03-09,13.7446906954,13.9382778883,13.7446906954,13.9382778883,1300,7.1,0.0,7.2,7.1,7.2,1.0,2600
SGYP,2010-03-10,13.5704622218,13.5704622218,13.5704622218,13.5704622218,100,7.01,0.0,7.01,7.01,7.01,1.0,200
SGYP,2010-03-11,13.5704622218,13.5704622218,13.5704622218,13.5704622218,0,7.01,0.0,7.01,7.01,7.01,1.0,0
SGYP,2010-03-12,13.5511035025,13.5511035025,13.5511035025,13.5511035025,200,7.0,0.0,7.0,7.0,7.0,1.0,400
SGYP,2010-03-15,15.0998010457,15.0998010457,13.5511035025,13.5511035025,800,7.8,0.0,7.8,7.0,7.0,1.0,1600
SGYP,2010-03-16,15.0998010457,15.0998010457,13.5511035025,15.0998010457,800,7.8,0.0,7.8,7.0,7.8,1.0,1600
SGYP,2010-03-17,14.519039467,14.519039467,13.5511035025,13.5511035025,2700,7.5,0.0,7.5,7.0,7.0,1.0,5400
SGYP,2010-03-18,15.4869754315,15.4869754315,15.4869754315,15.4869754315,200,8.0,0.0,8.0,8.0,8.0,1.0,400
SGYP,2010-03-19,15.4869754315,15.4869754315,15.4869754315,15.4869754315,0,8.0,0.0,8.0,8.0,8.0,1.0,0
SGYP,2010-03-22,15.4869754315,15.4869754315,15.4869754315,15.4869754315,0,8.0,0.0,8.0,8.0,8.0,1.0,0
SGYP,2010-03-23,15.4869754315,15.4869754315,15.4869754315,15.4869754315,300,8.0,0.0,8.0,8.0,8.0,1.0,600
SGYP,2010-03-24,15.4869754315,15.4869754315,15.4869754315,15.4869754315,0,8.0,0.0,8.0,8.0,8.0,1.0,0
SGYP,2010-03-25,15.4869754315,15.4869754315,15.4869754315,15.4869754315,200,8.0,0.0,8.0,8.0,8.0,1.0,400
SGYP,2010-03-26,13.1639291167,13.1639291167,13.1639291167,13.1639291167,1200,6.8,0.0,6.8,6.8,6.8,1.0,2400
SGYP,2010-03-29,15.7773562208,15.7773562208,15.7773562208,15.7773562208,200,8.15,0.0,8.15,8.15,8.15,1.0,400
SGYP,2010-03-30,15.7773562208,15.7773562208,15.7773562208,15.7773562208,0,8.15,0.0,8.15,8.15,8.15,1.0,0
SGYP,2010-03-31,16.3581177995,16.3581177995,15.7773562208,15.7773562208,300,8.45,0.0,8.45,8.15,8.15,1.0,600
SGYP,2010-04-01,16.3581177995,16.3581177995,16.3581177995,16.3581177995,0,8.45,0.0,8.45,8.45,8.45,1.0,0
SGYP,2010-04-05,16.3581177995,16.3581177995,16.3581177995,16.3581177995,0,8.45,0.0,8.45,8.45,8.45,1.0,0
SGYP,2010-04-06,16.6484985888,16.6484985888,16.6484985888,16.6484985888,100,8.6,0.0,8.6,8.6,8.6,1.0,200
SGYP,2010-04-07,16.6484985888,16.6484985888,16.6484985888,16.6484985888,0,8.6,0.0,8.6,8.6,8.6,1.0,0
SGYP,2010-04-08,16.6484985888,16.6484985888,16.6484985888,16.6484985888,100,8.6,0.0,8.6,8.6,8.6,1.0,200
SGYP,2010-04-09,16.6484985888,16.6484985888,16.6484985888,16.6484985888,0,8.6,0.0,8.6,8.6,8.6,1.0,0
SGYP,2010-04-12,17.0163142553,17.0163142553,17.0163142553,17.0163142553,100,8.79,0.0,8.79,8.79,8.79,1.0,200
SGYP,2010-04-13,17.0163142553,17.0163142553,17.0163142553,17.0163142553,0,8.79,0.0,8.79,8.79,8.79,1.0,0
SGYP,2010-04-14,17.4228473604,17.4228473604,17.4228473604,17.4228473604,2400,9.0,0.0,9.0,9.0,9.0,1.0,4800
SGYP,2010-04-15,17.4228473604,17.4228473604,17.4228473604,17.4228473604,0,9.0,0.0,9.0,9.0,9.0,1.0,0
SGYP,2010-04-16,17.4228473604,17.4228473604,14.1318650812,14.1318650812,300,9.0,0.0,9.0,7.3,7.3,1.0,600
SGYP,2010-04-19,17.4228473604,17.4228473604,14.1318650812,14.1318650812,300,9.0,0.0,9.0,7.3,7.3,1.0,600
SGYP,2010-04-20,17.4228473604,17.4228473604,17.4228473604,17.4228473604,0,9.0,0.0,9.0,9.0,9.0,1.0,0
SGYP,2010-04-21,17.4228473604,17.4228473604,17.4228473604,17.4228473604,0,9.0,0.0,9.0,9.0,9.0,1.0,0
SGYP,2010-04-22,16.0677370101,17.4228473604,16.0677370101,17.4228473604,1000,8.3,0.0,9.0,8.3,9.0,1.0,2000
SGYP,2010-04-23,14.1318650812,14.1318650812,14.1318650812,14.1318650812,800,7.3,0.0,7.3,7.3,7.3,1.0,1600
SGYP,2010-04-26,16.0677370101,16.0677370101,13.8414842919,13.8414842919,1100,8.3,0.0,8.3,7.15,7.15,1.0,2200
SGYP,2010-04-27,17.0356729746,17.0356729746,17.0356729746,17.0356729746,100,8.8,0.0,8.8,8.8,8.8,1.0,200
SGYP,2010-04-28,17.0356729746,17.0356729746,17.0356729746,17.0356729746,0,8.8,0.0,8.8,8.8,8.8,1.0,0
SGYP,2010-04-29,17.0356729746,17.0356729746,17.0356729746,17.0356729746,0,8.8,0.0,8.8,8.8,8.8,1.0,0
SGYP,2010-04-30,17.0356729746,17.0356729746,17.0356729746,17.0356729746,0,8.8,0.0,8.8,8.8,8.8,1.0,0
SGYP,2010-05-03,17.0356729746,17.0356729746,17.0356729746,17.0356729746,0,8.8,0.0,8.8,8.8,8.8,1.0,0
SGYP,2010-05-04,17.0356729746,17.0356729746,17.0356729746,17.0356729746,0,8.8,0.0,8.8,8.8,8.8,1.0,0
