symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SPSC,2010-04-22,13.6,14.5,13.21,14.0,1765800,13.6,0.0,14.5,13.21,14.0,1.0,1765800
SPSC,2010-04-23,13.91,14.125,13.51,13.83,115300,13.91,0.0,14.125,13.51,13.83,1.0,115300
SPSC,2010-04-26,13.85,13.98,13.41,13.96,46900,13.85,0.0,13.98,13.41,13.96,1.0,46900
SPSC,2010-04-27,13.46,13.85,13.25,13.65,67000,13.46,0.0,13.85,13.25,13.65,1.0,67000
SPSC,2010-04-28,13.27,13.676,13.25,13.5,73700,13.27,0.0,13.676,13.25,13.5,1.0,73700
SPSC,2010-04-29,13.56,13.6,13.32,13.51,49000,13.56,0.0,13.6,13.32,13.51,1.0,49000
SPSC,2010-04-30,13.5,14.01,13.42,13.5,47300,13.5,0.0,14.01,13.42,13.5,1.0,47300
SPSC,2010-05-03,13.33,13.5,13.3,13.5,61100,13.33,0.0,13.5,13.3,13.5,1.0,61100
SPSC,2010-05-04,13.35,13.55,13.05,13.3,59400,13.35,0.0,13.55,13.05,13.3,1.0,59400
SPSC,2010-05-05,13.48,13.55,13.12,13.12,38100,13.48,0.0,13.55,13.12,13.12,1.0,38100
SPSC,2010-05-06,12.8,13.75,12.06,13.75,119800,12.8,0.0,13.75,12.06,13.75,1.0,119800
SPSC,2010-05-07,12.86,12.99,12.47,12.95,10300,12.86,0.0,12.99,12.47,12.95,1.0,10300
SPSC,2010-05-10,12.95,13.19,12.27,13.14,74900,12.95,0.0,13.19,12.27,13.14,1.0,74900
SPSC,2010-05-11,12.91,13.09,12.8,13.09,67000,12.91,0.0,13.09,12.8,13.09,1.0,67000
SPSC,2010-05-12,13.05,13.05,12.81,12.99,2900,13.05,0.0,13.05,12.81,12.99,1.0,2900
SPSC,2010-05-13,13.5,13.74,13.29,13.29,8200,13.5,0.0,13.74,13.29,13.29,1.0,8200
SPSC,2010-05-14,13.0,13.59,12.61,13.59,43000,13.0,0.0,13.59,12.61,13.59,1.0,43000
SPSC,2010-05-17,12.94,13.35,12.81,12.9,41400,12.94,0.0,13.35,12.81,12.9,1.0,41400
SPSC,2010-05-18,12.96,13.24,12.9,13.18,81400,12.96,0.0,13.24,12.9,13.18,1.0,81400
SPSC,2010-05-19,13.08,13.16,12.6,12.91,97500,13.08,0.0,13.16,12.6,12.91,1.0,97500
SPSC,2010-05-20,12.5,13.0,12.5,12.75,11600,12.5,0.0,13.0,12.5,12.75,1.0,11600
SPSC,2010-05-21,12.5,12.82,12.17,12.82,23600,12.5,0.0,12.82,12.17,12.82,1.0,23600
SPSC,2010-05-24,12.57,12.98,12.49,12.98,15600,12.57,0.0,12.98,12.49,12.98,1.0,15600
SPSC,2010-05-25,12.63,12.74,12.45,12.5,8200,12.63,0.0,12.74,12.45,12.5,1.0,8200
SPSC,2010-05-26,12.01,12.55,12.01,12.5,40000,12.01,0.0,12.55,12.01,12.5,1.0,40000
SPSC,2010-05-27,12.15,12.45,12.05,12.23,4200,12.15,0.0,12.45,12.05,12.23,1.0,4200
SPSC,2010-05-28,12.08,12.37,11.95,12.37,7400,12.08,0.0,12.37,11.95,12.37,1.0,7400
SPSC,2010-06-01,11.55,12.5,11.55,12.01,15000,11.55,0.0,12.5,11.55,12.01,1.0,15000
SPSC,2010-06-02,11.255,11.7,11.21,11.69,6400,11.255,0.0,11.7,11.21,11.69,1.0,6400
SPSC,2010-06-03,11.58,11.7,10.93,11.25,93400,11.58,0.0,11.7,10.93,11.25,1.0,93400
SPSC,2010-06-04,11.57,11.91,11.09,11.44,15800,11.57,0.0,11.91,11.09,11.44,1.0,15800
SPSC,2010-06-07,11.49,11.65,11.36,11.52,5400,11.49,0.0,11.65,11.36,11.52,1.0,5400
SPSC,2010-06-08,11.49,11.645,11.01,11.57,20200,11.49,0.0,11.645,11.01,11.57,1.0,20200
