symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SPWR,2010-01-04,23.95,24.1,23.5,24.01,1411100,23.95,0.0,24.1,23.5,24.01,1.0,1411100
SPWR,2010-01-05,24.85,24.9,23.83,23.85,2056800,24.85,0.0,24.9,23.83,23.85,1.0,2056800
SPWR,2010-01-06,25.77,25.79,24.86,24.9,2174000,25.77,0.0,25.79,24.86,24.9,1.0,2174000
SPWR,2010-01-07,25.85,25.95,25.4,25.76,2010900,25.85,0.0,25.95,25.4,25.76,1.0,2010900
SPWR,2010-01-08,25.28,25.78,25.1,25.57,1898900,25.28,0.0,25.78,25.1,25.57,1.0,1898900
SPWR,2010-01-11,25.78,26.35,25.565,26.15,2215800,25.78,0.0,26.35,25.565,26.15,1.0,2215800
SPWR,2010-01-12,25.23,25.64,25.01,25.56,1784800,25.23,0.0,25.64,25.01,25.56,1.0,1784800
SPWR,2010-01-13,25.02,25.5,24.7,25.19,1243400,25.02,0.0,25.5,24.7,25.19,1.0,1243400
SPWR,2010-01-14,23.91,25.3,23.7,24.96,3204800,23.91,0.0,25.3,23.7,24.96,1.0,3204800
SPWR,2010-01-15,23.62,24.08,23.31,24.05,2161600,23.62,0.0,24.08,23.31,24.05,1.0,2161600
SPWR,2010-01-19,23.04,23.54,22.875,23.39,2051300,23.04,0.0,23.54,22.875,23.39,1.0,2051300
SPWR,2010-01-20,22.06,22.75,22.03,22.72,3175900,22.06,0.0,22.75,22.03,22.72,1.0,3175900
SPWR,2010-01-21,21.98,22.85,21.95,22.27,3810800,21.98,0.0,22.85,21.95,22.27,1.0,3810800
SPWR,2010-01-22,21.09,22.11,21.01,22.1,3296200,21.09,0.0,22.11,21.01,22.1,1.0,3296200
SPWR,2010-01-25,20.84,22.04,20.75,21.31,3380600,20.84,0.0,22.04,20.75,21.31,1.0,3380600
SPWR,2010-01-26,21.67,22.53,21.36,21.57,4915500,21.67,0.0,22.53,21.36,21.57,1.0,4915500
SPWR,2010-01-27,20.83,21.95,20.52,21.93,3140100,20.83,0.0,21.95,20.52,21.93,1.0,3140100
SPWR,2010-01-28,20.94,21.62,20.7704,21.48,1973800,20.94,0.0,21.62,20.7704,21.48,1.0,1973800
SPWR,2010-01-29,20.39,21.59,20.37,21.2,1728700,20.39,0.0,21.59,20.37,21.2,1.0,1728700
SPWR,2010-02-01,21.07,21.07,20.52,20.66,1423400,21.07,0.0,21.07,20.52,20.66,1.0,1423400
SPWR,2010-02-02,20.98,21.28,20.5,21.28,2450300,20.98,0.0,21.28,20.5,21.28,1.0,2450300
SPWR,2010-02-03,21.22,21.35,20.9,20.91,1326300,21.22,0.0,21.35,20.9,20.91,1.0,1326300
SPWR,2010-02-04,19.61,20.95,19.61,20.71,2289400,19.61,0.0,20.95,19.61,20.71,1.0,2289400
SPWR,2010-02-05,19.65,19.965,18.92,19.88,2434900,19.65,0.0,19.965,18.92,19.88,1.0,2434900
SPWR,2010-02-08,19.03,19.56,19.02,19.53,1501400,19.03,0.0,19.56,19.02,19.53,1.0,1501400
SPWR,2010-02-09,19.55,19.65,19.15,19.38,1371000,19.55,0.0,19.65,19.15,19.38,1.0,1371000
SPWR,2010-02-10,19.11,19.72,18.92,19.72,1543800,19.11,0.0,19.72,18.92,19.72,1.0,1543800
SPWR,2010-02-11,20.22,20.33,19.3,19.51,3076500,20.22,0.0,20.33,19.3,19.51,1.0,3076500
SPWR,2010-02-12,19.69,20.2,19.33,20.2,3883300,19.69,0.0,20.2,19.33,20.2,1.0,3883300
