symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SPY,2010-01-04,95.5189885231,95.5695588868,93.985020826,94.7098627049,118857369,113.33,0.0,113.39,111.51,112.37,1.0,118857369
SPY,2010-01-05,95.7718403413,95.813982311,95.114425614,95.4599897656,111519230,113.63,0.0,113.68,112.85,113.26,1.0,111519230
SPY,2010-01-06,95.8392674929,96.0752625232,95.6032724625,95.679128008,116017127,113.71,0.0,113.99,113.43,113.52,1.0,116017127
SPY,2010-01-07,96.243830402,96.3618279172,95.392562614,95.6622712201,130502017,114.19,0.0,114.33,113.18,113.5,1.0,130502017
SPY,2010-01-08,96.5641093717,96.6062513414,95.7971255232,95.9909785838,126357911,114.57,0.0,114.62,113.66,113.89,1.0,126357911
SPY,2010-01-11,96.6989636748,97.0360994324,96.2817581747,96.5641093717,105905179,114.73,0.0,115.13,114.235,114.57,1.0,105905179
SPY,2010-01-12,95.7971255232,96.2606871899,95.4262761898,96.0584057353,166498092,113.66,0.0,114.21,113.22,113.97,1.0,166498092
SPY,2010-01-13,96.6062513414,96.8759599475,95.5527020989,96.0415489474,161730350,114.62,0.0,114.94,113.37,113.95,1.0,161730350
SPY,2010-01-14,96.8675315536,97.0445278263,96.4376834626,96.4966822202,115646960,114.93,0.0,115.14,114.42,114.49,1.0,115646960
SPY,2010-01-15,95.7802687353,96.7916760081,95.4094194019,96.6989636748,212252769,113.64,0.0,114.84,113.2,114.73,1.0,212252769
SPY,2010-01-19,96.9771006748,97.0360994324,95.7381267656,95.7634119474,138671890,115.06,0.0,115.13,113.59,113.62,1.0,138671890
SPY,2010-01-20,95.9909785838,96.4629686444,95.2239947352,96.3196859475,216330645,113.89,0.0,114.45,112.98,114.28,1.0,216330645
SPY,2010-01-21,94.1451603109,96.3112575535,94.0271627957,96.0162637656,344747028,111.7,0.0,114.27,111.56,113.92,1.0,344747028
SPY,2010-01-22,92.0464902198,94.1802224297,91.9453494925,93.7237406139,345627282,109.21,0.0,111.7416,109.09,111.2,1.0,345627282
