symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SSRI,2010-01-04,22.76,22.89,22.43,22.52,901900,22.76,0.0,22.89,22.43,22.52,1.0,901900
SSRI,2010-01-05,23.36,23.54,22.74,22.81,937100,23.36,0.0,23.54,22.74,22.81,1.0,937100
SSRI,2010-01-06,23.68,24.17,23.59,23.61,752100,23.68,0.0,24.17,23.59,23.61,1.0,752100
SSRI,2010-01-07,23.88,23.99,23.24,23.8,635800,23.88,0.0,23.99,23.24,23.8,1.0,635800
SSRI,2010-01-08,24.02,24.25,23.47,24.2,768800,24.02,0.0,24.25,23.47,24.2,1.0,768800
SSRI,2010-01-11,24.0,24.75,23.93,24.52,733900,24.0,0.0,24.75,23.93,24.52,1.0,733900
SSRI,2010-01-12,23.07,23.75,22.83,23.6,1078100,23.07,0.0,23.75,22.83,23.6,1.0,1078100
SSRI,2010-01-13,23.72,24.0,22.86,23.1,1026000,23.72,0.0,24.0,22.86,23.1,1.0,1026000
SSRI,2010-01-14,23.83,24.02,23.37,23.84,542700,23.83,0.0,24.02,23.37,23.84,1.0,542700
SSRI,2010-01-15,23.18,23.6,22.9,23.6,603700,23.18,0.0,23.6,22.9,23.6,1.0,603700
SSRI,2010-01-19,23.17,23.44,22.99,23.22,767600,23.17,0.0,23.44,22.99,23.22,1.0,767600
SSRI,2010-01-20,21.1,22.41,21.02,22.41,2150900,21.1,0.0,22.41,21.02,22.41,1.0,2150900
SSRI,2010-01-21,19.67,21.1,19.5901,21.0,2226400,19.67,0.0,21.1,19.5901,21.0,1.0,2226400
SSRI,2010-01-22,19.42,19.9,18.7,19.35,1845100,19.42,0.0,19.9,18.7,19.35,1.0,1845100
SSRI,2010-01-25,18.87,19.46,18.54,19.36,2767400,18.87,0.0,19.46,18.54,19.36,1.0,2767400
SSRI,2010-01-26,18.68,19.28,18.23,18.44,1554100,18.68,0.0,19.28,18.23,18.44,1.0,1554100
SSRI,2010-01-27,18.62,18.87,18.0,18.5,1339200,18.62,0.0,18.87,18.0,18.5,1.0,1339200
SSRI,2010-01-28,18.28,19.05,17.72,18.69,1227300,18.28,0.0,19.05,17.72,18.69,1.0,1227300
SSRI,2010-01-29,17.4,18.37,17.25,18.36,1273500,17.4,0.0,18.37,17.25,18.36,1.0,1273500
SSRI,2010-02-01,18.31,18.46,17.53,17.53,1168400,18.31,0.0,18.46,17.53,17.53,1.0,1168400
SSRI,2010-02-02,18.15,18.66,17.85,18.6,830900,18.15,0.0,18.66,17.85,18.6,1.0,830900
SSRI,2010-02-03,17.93,18.45,17.84,18.1,690200,17.93,0.0,18.45,17.84,18.1,1.0,690200
SSRI,2010-02-04,17.02,17.65,16.67,17.64,1618300,17.02,0.0,17.65,16.67,17.64,1.0,1618300
SSRI,2010-02-05,18.1,18.12,16.44,16.64,1680800,18.1,0.0,18.12,16.44,16.64,1.0,1680800
SSRI,2010-02-08,17.27,18.22,17.23,18.22,757900,17.27,0.0,18.22,17.23,18.22,1.0,757900
