symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
SYPR,2010-01-04,2.5538605648,2.6477524973,2.5454102909,2.6477524973,11352,2.72,0.0,2.82,2.711,2.82,1.0,11352
SYPR,2010-01-05,2.4036334727,2.7228660433,2.3942442795,2.7228660433,13498,2.56,0.0,2.9,2.55,2.9,1.0,13498
SYPR,2010-01-06,2.3942442795,2.4599686323,2.3472983132,2.4036334727,22142,2.55,0.0,2.62,2.5,2.56,1.0,22142
SYPR,2010-01-07,2.5350821783,2.5350821783,2.3942442795,2.4411902457,19529,2.7,0.0,2.7,2.55,2.6,1.0,19529
SYPR,2010-01-08,2.6383633041,2.6383633041,2.488136212,2.488136212,17970,2.81,0.0,2.81,2.65,2.65,1.0,17970
SYPR,2010-01-11,2.6853092703,2.7040876568,2.5820281445,2.6383633041,10382,2.86,0.0,2.88,2.75,2.81,1.0,10382
SYPR,2010-01-12,2.7134768501,2.7134768501,2.4787470188,2.6289741108,8146,2.89,0.0,2.89,2.64,2.8,1.0,8146
SYPR,2010-01-13,2.7228660433,2.7322552366,2.676013969,2.7322552366,895,2.9,0.0,2.91,2.8501,2.91,1.0,895
SYPR,2010-01-14,2.5350821783,2.7510336231,2.5163037918,2.7510336231,7408,2.7,0.0,2.93,2.68,2.93,1.0,7408
SYPR,2010-01-15,2.7698120096,2.7698120096,2.413022666,2.4318010525,14625,2.95,0.0,2.95,2.57,2.59,1.0,14625
SYPR,2010-01-19,2.8637039421,2.8637978341,2.5538605648,2.7698120096,26858,3.05,0.0,3.0501,2.72,2.95,1.0,26858
SYPR,2010-01-20,2.8918715219,2.9482066814,2.8167579759,2.9482066814,23320,3.08,0.0,3.14,3.0,3.14,1.0,23320
SYPR,2010-01-21,2.9012607151,2.9575958747,2.8918715219,2.9575958747,10120,3.09,0.0,3.15,3.08,3.15,1.0,10120
SYPR,2010-01-22,2.8731870273,2.9763742612,2.7885903961,2.9763742612,12535,3.0601,0.0,3.17,2.97,3.17,1.0,12535
SYPR,2010-01-25,2.8730931354,2.9857634544,2.8637039421,2.9106499084,2574,3.06,0.0,3.18,3.05,3.1,1.0,2574
SYPR,2010-01-26,2.8073687826,2.8862380059,2.7059654955,2.8543147489,4957,2.99,0.0,3.074,2.882,3.04,1.0,4957
SYPR,2010-01-27,2.7416444298,2.8543147489,2.7416444298,2.7792012028,11785,2.92,0.0,3.04,2.92,2.96,1.0,11785
SYPR,2010-01-28,2.7134768501,2.9294282949,2.6383633041,2.9200391016,12103,2.89,0.0,3.12,2.81,3.11,1.0,12103
SYPR,2010-01-29,2.7604228163,2.8449255556,2.7228660433,2.8073687826,2550,2.94,0.0,3.03,2.9,2.99,1.0,2550
SYPR,2010-02-01,2.7885903961,2.8167579759,2.6477524973,2.6571416906,12179,2.97,0.0,3.0,2.82,2.83,1.0,12179
SYPR,2010-02-02,2.9294282949,2.9294282949,2.7603289244,2.7604228163,21103,3.12,0.0,3.12,2.9399,2.94,1.0,21103
SYPR,2010-02-03,2.9200391016,2.9294282949,2.8073687826,2.9106499084,1502,3.11,0.0,3.12,2.99,3.1,1.0,1502
SYPR,2010-02-04,2.7698120096,2.9012607151,2.7698120096,2.8637039421,2461,2.95,0.0,3.09,2.95,3.05,1.0,2461
SYPR,2010-02-05,2.7040876568,2.7416444298,2.5820281445,2.7322552366,11123,2.88,0.0,2.92,2.75,2.91,1.0,11123
SYPR,2010-02-08,2.6289741108,2.7322552366,2.5820281445,2.600806531,2573,2.8,0.0,2.91,2.75,2.77,1.0,2573
