symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
TACOU,2013-11-14,10.02,10.04,9.91,9.95,1982800,10.02,0.0,10.04,9.91,9.95,1.0,1982800
TACOU,2013-11-15,9.96,10.03,9.95,9.95,9800,9.96,0.0,10.03,9.95,9.95,1.0,9800
TACOU,2013-11-18,10.0,10.05,10.0,10.05,86100,10.0,0.0,10.05,10.0,10.05,1.0,86100
TACOU,2013-11-19,10.0,10.04,10.0,10.04,4700,10.0,0.0,10.04,10.0,10.04,1.0,4700
TACOU,2013-11-20,10.02,10.0476,10.0,10.0,4800,10.02,0.0,10.0476,10.0,10.0,1.0,4800
TACOU,2013-11-21,10.05,10.05,10.0,10.05,1700,10.05,0.0,10.05,10.0,10.05,1.0,1700
TACOU,2013-11-22,10.0,10.05,10.0,10.02,61100,10.0,0.0,10.05,10.0,10.02,1.0,61100
TACOU,2013-11-25,10.0,10.05,10.0,10.05,42300,10.0,0.0,10.05,10.0,10.05,1.0,42300
TACOU,2013-11-26,10.03,10.0499,10.0,10.02,26900,10.03,0.0,10.0499,10.0,10.02,1.0,26900
TACOU,2013-11-27,10.001,10.001,10.001,10.001,100,10.001,0.0,10.001,10.001,10.001,1.0,100
TACOU,2013-11-29,9.97,10.02,9.97,10.02,1800,9.97,0.0,10.02,9.97,10.02,1.0,1800
TACOU,2013-12-02,10.01,10.05,10.0,10.0,7100,10.01,0.0,10.05,10.0,10.0,1.0,7100
TACOU,2013-12-03,10.0,10.05,10.0,10.0,29500,10.0,0.0,10.05,10.0,10.0,1.0,29500
TACOU,2013-12-04,10.05,10.05,9.96,10.05,1900,10.05,0.0,10.05,9.96,10.05,1.0,1900
TACOU,2013-12-05,10.05,10.05,10.05,10.05,2000,10.05,0.0,10.05,10.05,10.05,1.0,2000
TACOU,2013-12-06,10.0129,10.0499,10.0129,10.0499,1100,10.0129,0.0,10.0499,10.0129,10.0499,1.0,1100
TACOU,2013-12-09,10.0129,10.0129,10.0129,10.0129,0,10.0129,0.0,10.0129,10.0129,10.0129,1.0,0
TACOU,2013-12-10,10.02,10.02,10.02,10.02,1900,10.02,0.0,10.02,10.02,10.02,1.0,1900
TACOU,2013-12-11,10.02,10.0447,10.02,10.02,19900,10.02,0.0,10.0447,10.02,10.02,1.0,19900
TACOU,2013-12-12,10.02,10.02,10.02,10.02,10000,10.02,0.0,10.02,10.02,10.02,1.0,10000
TACOU,2013-12-13,10.02,10.02,10.02,10.02,14200,10.02,0.0,10.02,10.02,10.02,1.0,14200
TACOU,2013-12-16,10.0,10.0,10.0,10.0,100,10.0,0.0,10.0,10.0,10.0,1.0,100
TACOU,2013-12-17,10.02,10.0499,10.02,10.02,35600,10.02,0.0,10.0499,10.02,10.02,1.0,35600
TACOU,2013-12-18,10.02,10.02,10.02,10.02,0,10.02,0.0,10.02,10.02,10.02,1.0,0
TACOU,2013-12-19,10.02,10.02,10.02,10.02,0,10.02,0.0,10.02,10.02,10.02,1.0,0
TACOU,2013-12-20,10.0499,10.0499,10.0499,10.0499,100,10.0499,0.0,10.0499,10.0499,10.0499,1.0,100
TACOU,2013-12-23,10.05,10.05,10.05,10.05,2000,10.05,0.0,10.05,10.05,10.05,1.0,2000
TACOU,2013-12-24,10.05,10.05,10.04,10.04,1600,10.05,0.0,10.05,10.04,10.04,1.0,1600
TACOU,2013-12-26,10.05,10.05,10.05,10.05,0,10.05,0.0,10.05,10.05,10.05,1.0,0
TACOU,2013-12-27,10.05,10.05,10.05,10.05,200,10.05,0.0,10.05,10.05,10.05,1.0,200
TACOU,2013-12-30,10.05,10.05,10.05,10.05,0,10.05,0.0,10.05,10.05,10.05,1.0,0
TACOU,2013-12-31,10.01,10.05,10.01,10.05,600,10.01,0.0,10.05,10.01,10.05,1.0,600
TACOU,2014-01-02,10.05,10.05,10.05,10.05,200,10.05,0.0,10.05,10.05,10.05,1.0,200
TACOU,2014-01-03,10.05,10.05,10.05,10.05,0,10.05,0.0,10.05,10.05,10.05,1.0,0
TACOU,2014-01-06,10.06,10.0808,10.04,10.04,30500,10.06,0.0,10.0808,10.04,10.04,1.0,30500
TACOU,2014-01-07,10.07,10.09,10.06,10.07,122100,10.07,0.0,10.09,10.06,10.07,1.0,122100
TACOU,2014-01-08,10.0699,10.08,10.06,10.06,26200,10.0699,0.0,10.08,10.06,10.06,1.0,26200
TACOU,2014-01-09,10.07,10.07,10.04,10.04,10300,10.07,0.0,10.07,10.04,10.04,1.0,10300
TACOU,2014-01-10,10.08,10.08,10.08,10.08,99400,10.08,0.0,10.08,10.08,10.08,1.0,99400
TACOU,2014-01-13,10.04,10.05,10.04,10.05,251000,10.04,0.0,10.05,10.04,10.05,1.0,251000
TACOU,2014-01-14,10.04,10.05,10.04,10.04,4500,10.04,0.0,10.05,10.04,10.04,1.0,4500
TACOU,2014-01-15,10.04,10.04,10.04,10.04,100,10.04,0.0,10.04,10.04,10.04,1.0,100
TACOU,2014-01-16,10.04,10.04,10.03,10.04,1300,10.04,0.0,10.04,10.03,10.04,1.0,1300
TACOU,2014-01-17,10.02,10.02,10.02,10.02,100,10.02,0.0,10.02,10.02,10.02,1.0,100
TACOU,2014-01-21,10.0482,10.05,10.02,10.02,2300,10.0482,0.0,10.05,10.02,10.02,1.0,2300
