symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
TOPS,2010-01-04,124248600.0,127260000.0,122850000.0,127260000.0,0,0.9861,0.0,1.01,0.975,1.01,1.0,131998
TOPS,2010-01-05,133560000.0,136080000.0,124740000.0,132300000.0,0,1.06,0.0,1.08,0.99,1.05,1.0,110193
TOPS,2010-01-06,138600000.0,139860000.0,133560000.0,138600000.0,0,1.1,0.0,1.11,1.06,1.1,1.0,83473
TOPS,2010-01-07,143640000.0,144900000.0,136080000.0,138600000.0,0,1.14,0.0,1.15,1.08,1.1,1.0,94421
TOPS,2010-01-08,143640000.0,144900000.0,137340000.0,143640000.0,0,1.14,0.0,1.15,1.09,1.14,1.0,63853
TOPS,2010-01-11,149940000.0,153720000.0,144900000.0,148680000.0,0,1.19,0.0,1.22,1.15,1.18,1.0,182022
TOPS,2010-01-12,147407400.0,157500000.0,144900000.0,148680000.0,0,1.1699,0.0,1.25,1.15,1.18,1.0,61542
TOPS,2010-01-13,152460000.0,157500000.0,146172600.0,151200000.0,0,1.21,0.0,1.25,1.1601,1.2,1.0,138086
TOPS,2010-01-14,156240000.0,163800000.0,152460000.0,157500000.0,0,1.24,0.0,1.3,1.21,1.25,1.0,119035
TOPS,2010-01-15,147420000.0,161280000.0,146160000.0,161280000.0,0,1.17,0.0,1.28,1.16,1.28,1.0,492154
TOPS,2010-01-19,131040000.0,147420000.0,128520000.0,147420000.0,0,1.04,0.0,1.17,1.02,1.17,1.0,290632
TOPS,2010-01-20,132300000.0,139860000.0,129780000.0,139860000.0,0,1.05,0.0,1.11,1.03,1.11,1.0,139003
TOPS,2010-01-21,138600000.0,138600000.0,129780000.0,129780000.0,0,1.1,0.0,1.1,1.03,1.03,1.0,216333
TOPS,2010-01-22,139860000.0,139860000.0,133560000.0,136080000.0,0,1.11,0.0,1.11,1.06,1.08,1.0,307750
TOPS,2010-01-25,142380000.0,146160000.0,138600000.0,142380000.0,0,1.13,0.0,1.16,1.1,1.13,1.0,105606
TOPS,2010-01-26,143640000.0,146160000.0,135135000.0,139860000.0,0,1.14,0.0,1.16,1.0725,1.11,1.0,61679
TOPS,2010-01-27,141120000.0,146160000.0,136080000.0,146160000.0,0,1.12,0.0,1.16,1.08,1.16,1.0,41405
TOPS,2010-01-28,141120000.0,141120000.0,136080000.0,138600000.0,0,1.12,0.0,1.12,1.08,1.1,1.0,101683
TOPS,2010-01-29,138600000.0,142380000.0,134820000.0,139860000.0,0,1.1,0.0,1.13,1.07,1.11,1.0,137727
TOPS,2010-02-01,138600000.0,146160000.0,137340000.0,146160000.0,0,1.1,0.0,1.16,1.09,1.16,1.0,55489
TOPS,2010-02-02,138600000.0,144900000.0,138600000.0,144900000.0,0,1.1,0.0,1.15,1.1,1.15,1.0,24500
TOPS,2010-02-03,138600000.0,144900000.0,138600000.0,144900000.0,0,1.1,0.0,1.15,1.1,1.15,1.0,20269
TOPS,2010-02-04,138600000.0,139860000.0,138600000.0,138600000.0,0,1.1,0.0,1.11,1.1,1.1,1.0,128912
TOPS,2010-02-05,138600000.0,139860000.0,134820000.0,134820000.0,0,1.1,0.0,1.11,1.07,1.07,1.0,105522
TOPS,2010-02-08,138600000.0,143640000.0,138600000.0,143640000.0,0,1.1,0.0,1.14,1.1,1.14,1.0,56897
TOPS,2010-02-09,138600000.0,142380000.0,136080000.0,136080000.0,0,1.1,0.0,1.13,1.08,1.08,1.0,45294
TOPS,2010-02-10,138600000.0,141120000.0,137377800.0,141120000.0,0,1.1,0.0,1.12,1.0903,1.12,1.0,50289
TOPS,2010-02-11,137340000.0,138612600.0,132300000.0,138600000.0,0,1.09,0.0,1.1001,1.05,1.1,1.0,38433
TOPS,2010-02-12,143640000.0,143640000.0,139860000.0,139860000.0,0,1.14,0.0,1.14,1.11,1.11,1.0,32170
TOPS,2010-02-16,145530000.0,146160000.0,139860000.0,143640000.0,0,1.155,0.0,1.16,1.11,1.14,1.0,32066
TOPS,2010-02-17,137340000.0,147420000.0,136080000.0,147420000.0,0,1.09,0.0,1.17,1.08,1.17,1.0,20906
TOPS,2010-02-18,134807400.0,138600000.0,132300000.0,138600000.0,0,1.0699,0.0,1.1,1.05,1.1,1.0,18126
TOPS,2010-02-19,129780000.0,134807400.0,128520000.0,132300000.0,0,1.03,0.0,1.0699,1.02,1.05,1.0,33087
TOPS,2010-02-22,136067400.0,136067400.0,129780000.0,129780000.0,0,1.0799,0.0,1.0799,1.03,1.03,1.0,21961
TOPS,2010-02-23,134820000.0,136080000.0,129780000.0,133560000.0,0,1.07,0.0,1.08,1.03,1.06,1.0,14691
TOPS,2010-02-24,134820000.0,134820000.0,129780000.0,133560000.0,0,1.07,0.0,1.07,1.03,1.06,1.0,23300
TOPS,2010-02-25,137340000.0,138600000.0,128520000.0,138600000.0,0,1.09,0.0,1.1,1.02,1.1,1.0,15904
TOPS,2010-02-26,136080000.0,139847400.0,131040000.0,138600000.0,0,1.08,0.0,1.1099,1.04,1.1,1.0,24689
TOPS,2010-03-01,138600000.0,141120000.0,133560000.0,138612600.0,0,1.1,0.0,1.12,1.06,1.1001,1.0,7735
TOPS,2010-03-02,133572600.0,138600000.0,132300000.0,138600000.0,0,1.0601,0.0,1.1,1.05,1.1,1.0,4236
TOPS,2010-03-03,136080000.0,141120000.0,133560000.0,137340000.0,0,1.08,0.0,1.12,1.06,1.09,1.0,12629
TOPS,2010-03-04,136080000.0,136080000.0,133560000.0,134820000.0,0,1.08,0.0,1.08,1.06,1.07,1.0,12371
TOPS,2010-03-05,134832600.0,138600000.0,134820000.0,137340000.0,0,1.0701,0.0,1.1,1.07,1.09,1.0,4314
TOPS,2010-03-08,141120000.0,149940000.0,133560000.0,137340000.0,0,1.12,0.0,1.19,1.06,1.09,1.0,95445
TOPS,2010-03-09,143640000.0,148680000.0,131040000.0,136080000.0,0,1.14,0.0,1.18,1.04,1.08,1.0,46588
TOPS,2010-03-10,141120000.0,143640000.0,136080000.0,143640000.0,0,1.12,0.0,1.14,1.08,1.14,1.0,17229
TOPS,2010-03-11,139847400.0,141120000.0,137340000.0,141120000.0,0,1.1099,0.0,1.12,1.09,1.12,1.0,5275
TOPS,2010-03-12,143640000.0,143640000.0,131040000.0,137340000.0,0,1.14,0.0,1.14,1.04,1.09,1.0,95718
TOPS,2010-03-15,143640000.0,143640000.0,141120000.0,142380000.0,0,1.14,0.0,1.14,1.12,1.13,1.0,32213
TOPS,2010-03-16,141120000.0,145152000.0,141120000.0,143640000.0,0,1.12,0.0,1.152,1.12,1.14,1.0,31622
TOPS,2010-03-17,142380000.0,143627400.0,139860000.0,141120000.0,0,1.13,0.0,1.1399,1.11,1.12,1.0,30530
TOPS,2010-03-18,141120000.0,144900000.0,136080000.0,141120000.0,0,1.12,0.0,1.15,1.08,1.12,1.0,135935
TOPS,2010-03-19,132300000.0,143640000.0,132300000.0,143640000.0,0,1.05,0.0,1.14,1.05,1.14,1.0,71036
