symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
TREE,2010-01-04,8.6174039581,8.9093597206,8.4949708964,8.6644935972,21900,9.15,0.0,9.46,9.02,9.2,1.0,21900
TREE,2010-01-05,8.2124330617,8.7869266589,8.2124330617,8.5608963912,27500,8.72,0.0,9.33,8.72,9.09,1.0,27500
TREE,2010-01-06,8.6174039581,8.834016298,8.0711641444,8.1747613504,36900,9.15,0.0,9.38,8.57,8.68,1.0,36900
TREE,2010-01-07,8.5420605355,8.890523865,8.2312689173,8.4761350407,31800,9.07,0.0,9.44,8.74,9.0,1.0,31800
TREE,2010-01-08,8.7021653085,8.7680908033,8.1935972061,8.5420605355,60300,9.24,0.0,9.31,8.7,9.07,1.0,60300
TREE,2010-01-11,8.6174039581,8.7775087311,8.4761350407,8.7021653085,16500,9.15,0.0,9.32,9.0,9.24,1.0,16500
TREE,2010-01-12,8.2406868452,8.5891501746,8.2124330617,8.570314319,232300,8.75,0.0,9.12,8.72,9.1,1.0,232300
TREE,2010-01-13,8.4855529686,8.5514784633,8.1935972061,8.2030151339,23900,9.01,0.0,9.08,8.7,8.71,1.0,23900
TREE,2010-01-14,8.4667171129,8.5891501746,8.3442840512,8.4761350407,25900,8.99,0.0,9.12,8.86,9.0,1.0,25900
TREE,2010-01-15,8.4667171129,8.5043888242,7.9487310827,8.5043888242,37900,8.99,0.0,9.03,8.44,9.03,1.0,37900
TREE,2010-01-19,8.353701979,8.4384633295,8.1653434226,8.3442840512,18000,8.87,0.0,8.96,8.67,8.86,1.0,18000
TREE,2010-01-20,7.9864027939,8.2689406286,7.9581490105,8.250104773,8100,8.48,0.0,8.78,8.45,8.76,1.0,8100
TREE,2010-01-21,7.8074621653,8.0146565774,7.449580908,7.7603725262,45200,8.29,0.0,8.51,7.91,8.24,1.0,45200
TREE,2010-01-22,7.5437601863,8.0523282887,7.506088475,7.7603725262,19600,8.01,0.0,8.55,7.97,8.24,1.0,19600
TREE,2010-01-25,7.3271478463,7.9487310827,7.2988940629,7.9110593714,26800,7.78,0.0,8.44,7.75,8.4,1.0,26800
TREE,2010-01-26,7.5155064028,7.7227008149,7.3271478463,7.3271478463,14900,7.98,0.0,8.2,7.78,7.78,1.0,14900
TREE,2010-01-27,7.2612223516,7.4589988359,7.1670430733,7.4589988359,13100,7.71,0.0,7.92,7.61,7.92,1.0,13100
TREE,2010-01-28,6.8374155995,7.2518044237,6.8091618161,7.2518044237,20400,7.26,0.0,7.7,7.23,7.7,1.0,20400
TREE,2010-01-29,6.8845052386,6.8939231665,6.7196915017,6.8279976717,31400,7.31,0.0,7.32,7.135,7.25,1.0,31400
TREE,2010-02-01,6.865669383,7.0446100116,6.7714901048,6.8845052386,16400,7.29,0.0,7.48,7.19,7.31,1.0,16400
TREE,2010-02-02,7.0351920838,7.1576251455,6.8562514552,6.8562514552,43600,7.47,0.0,7.6,7.28,7.28,1.0,43600
TREE,2010-02-03,7.5531781141,7.7627270081,7.0351920838,7.0351920838,74400,8.02,0.0,8.2425,7.47,7.47,1.0,74400
TREE,2010-02-04,7.9487310827,8.0146565774,7.2612223516,7.5437601863,33200,8.44,0.0,8.51,7.71,8.01,1.0,33200
TREE,2010-02-05,7.4307450524,7.7603725262,7.4024912689,7.7227008149,9300,7.89,0.0,8.24,7.86,8.2,1.0,9300
TREE,2010-02-08,7.0728637951,7.4024912689,6.9881024447,7.4024912689,48300,7.51,0.0,7.86,7.42,7.86,1.0,48300
TREE,2010-02-09,7.3930733411,7.4307450524,7.1199534342,7.4307450524,19600,7.85,0.0,7.89,7.56,7.89,1.0,19600
TREE,2010-02-10,7.6002677532,7.769790454,7.1670430733,7.3836554133,42700,8.07,0.0,8.25,7.61,7.84,1.0,42700
TREE,2010-02-11,7.7603725262,7.7603725262,7.5437601863,7.5720139697,12000,8.24,0.0,8.24,8.01,8.04,1.0,12000
TREE,2010-02-12,7.3930733411,7.7321187427,7.3554016298,7.5625960419,19300,7.85,0.0,8.21,7.81,8.03,1.0,19300
TREE,2010-02-16,7.6285215367,7.6285215367,7.4307450524,7.4307450524,35700,8.1,0.0,8.1,7.89,7.89,1.0,35700
TREE,2010-02-17,7.6567753201,7.7132828871,7.609685681,7.609685681,4600,8.13,0.0,8.19,8.08,8.08,1.0,4600
TREE,2010-02-18,7.6567753201,7.666193248,7.6191036088,7.6191036088,5200,8.13,0.0,8.14,8.09,8.09,1.0,5200
TREE,2010-02-19,7.7415366705,7.7415366705,7.6567753201,7.666193248,17600,8.22,0.0,8.22,8.13,8.14,1.0,17600
TREE,2010-02-22,7.9204772992,7.9204772992,7.3742374854,7.3836554133,27400,8.41,0.0,8.41,7.83,7.84,1.0,27400
TREE,2010-02-23,8.1182537835,8.2971944121,7.9204772992,7.9393131548,44600,8.62,0.0,8.81,8.41,8.43,1.0,44600
TREE,2010-02-24,7.9110593714,8.1559254948,7.8168800931,8.1370896391,16000,8.4,0.0,8.66,8.3,8.64,1.0,16000
TREE,2010-02-25,7.7886263097,7.9864027939,7.6567753201,7.7980442375,6200,8.27,0.0,8.48,8.13,8.28,1.0,6200
TREE,2010-02-26,7.9958207218,8.2030151339,7.7132828871,7.7132828871,13900,8.49,0.0,8.71,8.19,8.19,1.0,13900
TREE,2010-03-01,8.0805820722,8.2595227008,7.9110593714,7.9958207218,22500,8.58,0.0,8.77,8.4,8.49,1.0,22500
TREE,2010-03-02,7.8922235157,8.0711641444,7.4778346915,8.0711641444,7400,8.38,0.0,8.57,7.94,8.57,1.0,7400
TREE,2010-03-03,7.7792083818,8.0523282887,7.7321187427,7.929895227,20100,8.26,0.0,8.55,8.21,8.42,1.0,20100
TREE,2010-03-04,7.8451338766,7.8828055879,7.7509545984,7.7509545984,6500,8.33,0.0,8.37,8.23,8.23,1.0,6500
TREE,2010-03-05,7.9487310827,8.0240745052,7.6285215367,7.8451338766,36800,8.44,0.0,8.52,8.1,8.33,1.0,36800
TREE,2010-03-08,8.2877764843,8.3348661234,7.9110593714,7.9110593714,34600,8.8,0.0,8.85,8.4,8.4,1.0,34600
TREE,2010-03-09,8.1841792782,8.6644935972,8.1559254948,8.1559254948,39300,8.69,0.0,9.2,8.66,8.66,1.0,39300
TREE,2010-03-10,7.6285215367,8.1747613504,7.4966705471,8.0711641444,37600,8.1,0.0,8.68,7.96,8.57,1.0,37600
TREE,2010-03-11,8.0994179278,8.4079492433,7.5720139697,7.5720139697,28300,8.6,0.0,8.9276,8.04,8.04,1.0,28300
TREE,2010-03-12,8.1841792782,8.2783585565,7.9204772992,8.0146565774,34500,8.69,0.0,8.79,8.41,8.51,1.0,34500
TREE,2010-03-15,8.3160302678,8.3160302678,8.1841792782,8.1935972061,28000,8.83,0.0,8.83,8.69,8.7,1.0,28000
TREE,2010-03-16,8.410209546,8.4761350407,8.1559254948,8.4572991851,56700,8.93,0.0,9.0,8.66,8.98,1.0,56700
TREE,2010-03-17,8.4949708964,8.5326426077,7.769790454,8.4290454016,43400,9.02,0.0,9.06,8.25,8.95,1.0,43400
TREE,2010-03-18,8.4855529686,8.5232246799,8.2453958091,8.2453958091,8000,9.01,0.0,9.05,8.755,8.755,1.0,8000
TREE,2010-03-19,8.5232246799,8.730419092,8.4949708964,8.5514784633,35500,9.05,0.0,9.27,9.02,9.08,1.0,35500
TREE,2010-03-22,8.6362398137,8.6927473807,8.4761350407,8.4949708964,37900,9.17,0.0,9.23,9.0,9.02,1.0,37900
TREE,2010-03-23,8.6833294529,8.6927473807,8.0994179278,8.0994179278,35800,9.22,0.0,9.23,8.6,8.6,1.0,35800
TREE,2010-03-24,8.5985681024,8.7115832363,8.5608963912,8.7115832363,55700,9.13,0.0,9.25,9.09,9.25,1.0,55700
TREE,2010-03-25,8.570314319,8.9460896391,8.5043888242,8.5043888242,18500,9.1,0.0,9.499,9.03,9.03,1.0,18500
TREE,2010-03-26,8.6174039581,8.6550756694,8.2745913853,8.5891501746,14300,9.15,0.0,9.19,8.786,9.12,1.0,14300
TREE,2010-03-29,8.6644935972,8.7115832363,8.5891501746,8.5891501746,13700,9.2,0.0,9.25,9.12,9.12,1.0,13700
TREE,2010-03-30,8.673911525,8.7021653085,8.4478812573,8.4478812573,14300,9.21,0.0,9.24,8.97,8.97,1.0,14300
TREE,2010-03-31,8.6174039581,8.7398370198,8.5938591385,8.6079860303,52200,9.15,0.0,9.28,9.125,9.14,1.0,52200
TREE,2010-04-01,8.5514784633,8.6644935972,8.0994179278,8.6644935972,36500,9.08,0.0,9.2,8.6,9.2,1.0,36500
