symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
TRIV,2014-04-15,0.05,0.05,0.05,0.05,0,0.05,0.0,0.05,0.05,0.05,1.0,0
TRIV,2014-04-16,13.79,13.79,11.15,11.35,2166755,13.79,0.0,13.79,11.15,11.35,1.0,2166755
TRIV,2014-04-17,14.32,16.0,13.071,13.7,137906,14.32,0.0,16.0,13.071,13.7,1.0,137906
TRIV,2014-04-21,13.43,15.249,13.23,14.75,47705,13.43,0.0,15.249,13.23,14.75,1.0,47705
TRIV,2014-04-22,13.52,13.8,13.3,13.3,27709,13.52,0.0,13.8,13.3,13.3,1.0,27709
TRIV,2014-04-23,13.59,13.99,13.18,13.65,27532,13.59,0.0,13.99,13.18,13.65,1.0,27532
TRIV,2014-04-24,13.57,13.99,13.25,13.49,14551,13.57,0.0,13.99,13.25,13.49,1.0,14551
TRIV,2014-04-25,13.62,14.0,13.6,13.6,25215,13.62,0.0,14.0,13.6,13.6,1.0,25215
TRIV,2014-04-28,13.97,14.85,13.7,13.76,28335,13.97,0.0,14.85,13.7,13.76,1.0,28335
TRIV,2014-04-29,13.76,14.81,13.5,14.04,27885,13.76,0.0,14.81,13.5,14.04,1.0,27885
TRIV,2014-04-30,13.99,14.06,13.77,13.87,7459,13.99,0.0,14.06,13.77,13.87,1.0,7459
TRIV,2014-05-01,13.69,14.15,13.38,14.14,16850,13.69,0.0,14.15,13.38,14.14,1.0,16850
TRIV,2014-05-02,13.1,13.7468,13.055,13.7468,9955,13.1,0.0,13.7468,13.055,13.7468,1.0,9955
TRIV,2014-05-05,13.55,13.71,13.16,13.16,11080,13.55,0.0,13.71,13.16,13.16,1.0,11080
TRIV,2014-05-06,12.79,13.5,11.76,13.5,35421,12.79,0.0,13.5,11.76,13.5,1.0,35421
TRIV,2014-05-07,12.75,13.42,11.75,11.75,19239,12.75,0.0,13.42,11.75,11.75,1.0,19239
TRIV,2014-05-08,12.85,13.16,12.41,13.16,21336,12.85,0.0,13.16,12.41,13.16,1.0,21336
TRIV,2014-05-09,12.92,14.0,12.7053,13.25,89227,12.92,0.0,14.0,12.7053,13.25,1.0,89227
TRIV,2014-05-12,13.04,13.67,12.51,12.97,31008,13.04,0.0,13.67,12.51,12.97,1.0,31008
TRIV,2014-05-13,13.03,13.48,12.52,13.48,18475,13.03,0.0,13.48,12.52,13.48,1.0,18475
TRIV,2014-05-14,12.88,13.25,12.5,12.59,45290,12.88,0.0,13.25,12.5,12.59,1.0,45290
TRIV,2014-05-15,13.92,13.98,12.56,13.28,27342,13.92,0.0,13.98,12.56,13.28,1.0,27342
TRIV,2014-05-16,14.06,14.06,13.224,13.35,20924,14.06,0.0,14.06,13.224,13.35,1.0,20924
TRIV,2014-05-19,14.31,15.9,13.54,14.06,13670,14.31,0.0,15.9,13.54,14.06,1.0,13670
TRIV,2014-05-20,15.47,15.49,13.84,14.4,19592,15.47,0.0,15.49,13.84,14.4,1.0,19592
TRIV,2014-05-21,15.5,16.0,14.75,15.66,24534,15.5,0.0,16.0,14.75,15.66,1.0,24534
TRIV,2014-05-22,14.72,15.69,14.56,15.69,10313,14.72,0.0,15.69,14.56,15.69,1.0,10313
TRIV,2014-05-23,15.41,15.85,14.5103,14.518,9697,15.41,0.0,15.85,14.5103,14.518,1.0,9697
TRIV,2014-05-27,16.02,16.28,15.255,15.72,15590,16.02,0.0,16.28,15.255,15.72,1.0,15590
TRIV,2014-05-28,15.61,16.1,15.5,16.0899,64813,15.61,0.0,16.1,15.5,16.0899,1.0,64813
TRIV,2014-05-29,15.9,16.0,14.41,15.52,15336,15.9,0.0,16.0,14.41,15.52,1.0,15336
TRIV,2014-05-30,15.99,16.15,15.41,16.15,23086,15.99,0.0,16.15,15.41,16.15,1.0,23086
TRIV,2014-06-02,16.36,16.36,15.71,16.0,29047,16.36,0.0,16.36,15.71,16.0,1.0,29047
TRIV,2014-06-03,17.14,17.99,15.31,16.19,73252,17.14,0.0,17.99,15.31,16.19,1.0,73252
TRIV,2014-06-04,16.94,17.35,16.2,17.14,32321,16.94,0.0,17.35,16.2,17.14,1.0,32321
TRIV,2014-06-05,17.35,17.635,16.688,17.14,29870,17.35,0.0,17.635,16.688,17.14,1.0,29870
TRIV,2014-06-06,17.25,17.55,17.024,17.11,23181,17.25,0.0,17.55,17.024,17.11,1.0,23181
TRIV,2014-06-09,17.14,17.35,16.301,17.09,19513,17.14,0.0,17.35,16.301,17.09,1.0,19513
TRIV,2014-06-10,16.9,17.13,16.472,17.0,63037,16.9,0.0,17.13,16.472,17.0,1.0,63037
TRIV,2014-06-11,17.0,17.4,16.605,17.0,53819,17.0,0.0,17.4,16.605,17.0,1.0,53819
TRIV,2014-06-12,16.79,17.28,16.15,16.15,58825,16.79,0.0,17.28,16.15,16.15,1.0,58825
TRIV,2014-06-13,17.0,17.0,16.3,16.75,50487,17.0,0.0,17.0,16.3,16.75,1.0,50487
TRIV,2014-06-16,17.0,17.0,16.3,16.81,74652,17.0,0.0,17.0,16.3,16.81,1.0,74652
TRIV,2014-06-17,17.0,17.23,16.88,17.0,87793,17.0,0.0,17.23,16.88,17.0,1.0,87793
TRIV,2014-06-18,17.06,17.5,16.96,17.25,90519,17.06,0.0,17.5,16.96,17.25,1.0,90519
TRIV,2014-06-19,17.53,17.6,17.16,17.22,48654,17.53,0.0,17.6,17.16,17.22,1.0,48654
TRIV,2014-06-20,16.56,17.9,15.26,17.46,164515,16.56,0.0,17.9,15.26,17.46,1.0,164515
TRIV,2014-06-23,17.0,17.33,16.06,16.64,65248,17.0,0.0,17.33,16.06,16.64,1.0,65248
TRIV,2014-06-24,17.54,17.83,16.8,16.8,58531,17.54,0.0,17.83,16.8,16.8,1.0,58531
TRIV,2014-06-25,16.85,17.67,16.82,17.25,39955,16.85,0.0,17.67,16.82,17.25,1.0,39955
TRIV,2014-06-26,16.6,17.56,16.11,17.01,63008,16.6,0.0,17.56,16.11,17.01,1.0,63008
TRIV,2014-06-27,15.63,17.27,15.3175,16.84,868530,15.63,0.0,17.27,15.3175,16.84,1.0,868530
TRIV,2014-06-30,15.57,16.1,14.44,15.77,95452,15.57,0.0,16.1,14.44,15.77,1.0,95452
TRIV,2014-07-01,16.35,16.94,15.124,16.9399,78290,16.35,0.0,16.94,15.124,16.9399,1.0,78290
TRIV,2014-07-02,16.39,16.825,15.85,16.25,44962,16.39,0.0,16.825,15.85,16.25,1.0,44962
TRIV,2014-07-03,16.87,17.01,16.37,16.37,30426,16.87,0.0,17.01,16.37,16.37,1.0,30426
TRIV,2014-07-07,15.52,17.006,15.22,16.75,57220,15.52,0.0,17.006,15.22,16.75,1.0,57220
TRIV,2014-07-08,15.34,17.25,14.7,15.5,31073,15.34,0.0,17.25,14.7,15.5,1.0,31073
TRIV,2014-07-09,14.92,15.34,14.5,15.34,41545,14.92,0.0,15.34,14.5,15.34,1.0,41545
TRIV,2014-07-10,14.8,15.0,14.63,14.64,15762,14.8,0.0,15.0,14.63,14.64,1.0,15762
TRIV,2014-07-11,14.9,15.47,14.63,14.76,16418,14.9,0.0,15.47,14.63,14.76,1.0,16418
TRIV,2014-07-14,14.39,15.02,14.29,15.02,31617,14.39,0.0,15.02,14.29,15.02,1.0,31617
TRIV,2014-07-15,14.09,14.51,14.0001,14.34,11910,14.09,0.0,14.51,14.0001,14.34,1.0,11910
TRIV,2014-07-16,14.37,14.54,13.89,14.1,28629,14.37,0.0,14.54,13.89,14.1,1.0,28629
TRIV,2014-07-17,14.14,14.46,13.97,14.43,20898,14.14,0.0,14.46,13.97,14.43,1.0,20898
TRIV,2014-07-18,15.45,15.53,13.94,13.94,15043,15.45,0.0,15.53,13.94,13.94,1.0,15043
TRIV,2014-07-21,15.15,15.8,15.11,15.3,7166,15.15,0.0,15.8,15.11,15.3,1.0,7166
TRIV,2014-07-22,15.0,16.47,14.87,16.14,12707,15.0,0.0,16.47,14.87,16.14,1.0,12707
TRIV,2014-07-23,14.67,15.1,14.52,14.98,19896,14.67,0.0,15.1,14.52,14.98,1.0,19896
TRIV,2014-07-24,14.52,16.06,14.39,14.75,11677,14.52,0.0,16.06,14.39,14.75,1.0,11677
TRIV,2014-07-25,14.83,15.68,14.12,14.36,16411,14.83,0.0,15.68,14.12,14.36,1.0,16411
TRIV,2014-07-28,14.58,15.434,14.335,15.0,9207,14.58,0.0,15.434,14.335,15.0,1.0,9207
TRIV,2014-07-29,14.05,15.04,13.77,14.57,15760,14.05,0.0,15.04,13.77,14.57,1.0,15760
