symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
TTGT,2010-01-04,6.21,6.48,5.62,6.23,130900,6.21,0.0,6.48,5.62,6.23,1.0,130900
TTGT,2010-01-05,5.91,6.21,5.7909,6.19,30300,5.91,0.0,6.21,5.7909,6.19,1.0,30300
TTGT,2010-01-06,5.55,6.17,5.48,6.17,25200,5.55,0.0,6.17,5.48,6.17,1.0,25200
TTGT,2010-01-07,5.66,5.74,5.53,5.53,22600,5.66,0.0,5.74,5.53,5.53,1.0,22600
TTGT,2010-01-08,5.97,6.02,5.42,5.61,24700,5.97,0.0,6.02,5.42,5.61,1.0,24700
TTGT,2010-01-11,5.57,5.99,5.51,5.99,19600,5.57,0.0,5.99,5.51,5.99,1.0,19600
TTGT,2010-01-12,5.65,5.72,5.5,5.5,21100,5.65,0.0,5.72,5.5,5.5,1.0,21100
TTGT,2010-01-13,5.6,5.69,5.55,5.67,11300,5.6,0.0,5.69,5.55,5.67,1.0,11300
TTGT,2010-01-14,5.83,5.85,5.55,5.55,19100,5.83,0.0,5.85,5.55,5.55,1.0,19100
TTGT,2010-01-15,5.76,5.9,5.64,5.85,68400,5.76,0.0,5.9,5.64,5.85,1.0,68400
TTGT,2010-01-19,5.82,5.89,5.73,5.76,53200,5.82,0.0,5.89,5.73,5.76,1.0,53200
TTGT,2010-01-20,5.69,5.83,5.48,5.73,22000,5.69,0.0,5.83,5.48,5.73,1.0,22000
TTGT,2010-01-21,5.43,5.73,5.43,5.73,28200,5.43,0.0,5.73,5.43,5.73,1.0,28200
TTGT,2010-01-22,5.38,5.69,5.29,5.58,27700,5.38,0.0,5.69,5.29,5.58,1.0,27700
TTGT,2010-01-25,5.36,5.36,5.16,5.21,15300,5.36,0.0,5.36,5.16,5.21,1.0,15300
TTGT,2010-01-26,5.27,5.5,5.15,5.32,52600,5.27,0.0,5.5,5.15,5.32,1.0,52600
TTGT,2010-01-27,5.39,5.42,5.21,5.21,5600,5.39,0.0,5.42,5.21,5.21,1.0,5600
TTGT,2010-01-28,5.35,5.5,5.33,5.4,11600,5.35,0.0,5.5,5.33,5.4,1.0,11600
TTGT,2010-01-29,5.3,5.64,5.21,5.37,16200,5.3,0.0,5.64,5.21,5.37,1.0,16200
TTGT,2010-02-01,5.43,5.43,5.15,5.32,27700,5.43,0.0,5.43,5.15,5.32,1.0,27700
