symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
UBOH,2010-01-04,7.8524814942,7.8524814942,7.6407101486,7.6407101486,2580,9.27,0.0,9.27,9.02,9.02,1.0,2580
UBOH,2010-01-05,7.8355397865,7.8355397865,7.6830644177,7.6830644177,1597,9.25,0.0,9.25,9.07,9.07,1.0,1597
UBOH,2010-01-06,7.6322392948,7.716947833,7.6322392948,7.716947833,5452,9.01,0.0,9.11,9.01,9.11,1.0,5452
UBOH,2010-01-07,7.4967056336,7.716947833,7.4628222183,7.716947833,5722,8.85,0.0,9.11,8.81,9.11,1.0,5722
UBOH,2010-01-08,7.9626025939,7.9753088746,7.8355397865,7.9753088746,2200,9.4,0.0,9.415,9.25,9.415,1.0,2200
UBOH,2010-01-11,7.9201636162,7.9201636162,7.9201636162,7.9201636162,100,9.3499,0.0,9.3499,9.3499,9.3499,1.0,100
UBOH,2010-01-12,8.004956863,8.004956863,7.8863649095,7.8863649095,1200,9.45,0.0,9.45,9.31,9.31,1.0,1200
UBOH,2010-01-13,7.8778940557,7.8778940557,7.8694232018,7.8694232018,500,9.3,0.0,9.3,9.29,9.29,1.0,500
UBOH,2010-01-14,7.767772956,7.767772956,7.7084769792,7.7084769792,415,9.17,0.0,9.17,9.1,9.1,1.0,415
UBOH,2010-01-15,7.7931855174,7.7931855174,7.716947833,7.7508312483,2146,9.2,0.0,9.2,9.11,9.15,1.0,2146
UBOH,2010-01-19,7.7931855174,7.7931855174,7.7931855174,7.7931855174,0,9.2,0.0,9.2,9.2,9.2,1.0,0
UBOH,2010-01-20,7.8524814942,7.8524814942,7.8524814942,7.8524814942,156,9.27,0.0,9.27,9.27,9.27,1.0,156
UBOH,2010-01-21,7.7931855174,7.8778940557,7.7931855174,7.8778940557,1895,9.2,0.0,9.3,9.2,9.3,1.0,1895
UBOH,2010-01-22,7.7084769792,7.7084769792,7.623768441,7.7084769792,3895,9.1,0.0,9.1,9.0,9.1,1.0,3895
UBOH,2010-01-25,7.5898850257,7.7084769792,7.5898850257,7.6661227101,5750,8.96,0.0,9.1,8.96,9.05,1.0,5750
UBOH,2010-01-26,7.7931855174,7.8270689327,7.7847146636,7.8185980789,1962,9.2,0.0,9.24,9.19,9.23,1.0,1962
UBOH,2010-01-27,7.8355397865,7.8355397865,7.8355397865,7.8355397865,155,9.25,0.0,9.25,9.25,9.25,1.0,155
UBOH,2010-01-28,7.6322392948,7.6322392948,7.6322392948,7.6322392948,500,9.01,0.0,9.01,9.01,9.01,1.0,500
UBOH,2010-01-29,7.6830644177,7.8482460673,7.6407101486,7.8482460673,1122,9.07,0.0,9.265,9.02,9.265,1.0,1122
UBOH,2010-02-01,7.7084769792,7.7084769792,7.7084769792,7.7084769792,795,9.1,0.0,9.1,9.1,9.1,1.0,795
UBOH,2010-02-02,7.7931855174,7.8524814942,7.6491810024,7.6491810024,4438,9.2,0.0,9.27,9.03,9.03,1.0,4438
UBOH,2010-02-03,7.7931855174,7.7931855174,7.7931855174,7.7931855174,0,9.2,0.0,9.2,9.2,9.2,1.0,0
UBOH,2010-02-04,7.8948357633,8.004956863,7.8948357633,8.004956863,800,9.32,0.0,9.45,9.32,9.45,1.0,800
UBOH,2010-02-05,7.8948357633,7.8948357633,7.8948357633,7.8948357633,0,9.32,0.0,9.32,9.32,9.32,1.0,0
UBOH,2010-02-08,7.860952348,7.9795443015,7.8524814942,7.8524814942,3962,9.28,0.0,9.42,9.27,9.27,1.0,3962
UBOH,2010-02-09,7.8778940557,7.8778940557,7.8778940557,7.8778940557,500,9.3,0.0,9.3,9.3,9.3,1.0,500
UBOH,2010-02-10,7.8778940557,7.8779787642,7.8778940557,7.8779787642,700,9.3,0.0,9.3001,9.3,9.3001,1.0,700
UBOH,2010-02-11,7.6491810024,7.98716807,7.6491810024,7.98716807,1607,9.03,0.0,9.429,9.03,9.429,1.0,1607
UBOH,2010-02-12,7.6830644177,7.9880151554,7.6830644177,7.9880151554,3751,9.07,0.0,9.43,9.07,9.43,1.0,3751
UBOH,2010-02-16,7.7338895407,7.7338895407,7.6830644177,7.6830644177,591,9.13,0.0,9.13,9.07,9.07,1.0,591
UBOH,2010-02-17,7.6491810024,7.6576518563,7.6407101486,7.6491810024,5477,9.03,0.0,9.04,9.02,9.03,1.0,5477
UBOH,2010-02-18,7.9287191786,7.9753088746,7.9202483248,7.9753088746,410,9.36,0.0,9.415,9.35,9.415,1.0,410
UBOH,2010-02-19,7.623768441,7.9414254593,7.623768441,7.9414254593,4331,9.0,0.0,9.375,9.0,9.375,1.0,4331
UBOH,2010-02-22,7.8185980789,7.9626025939,7.7000061254,7.7000061254,1151,9.23,0.0,9.4,9.09,9.09,1.0,1151
UBOH,2010-02-23,7.8185980789,7.8185980789,7.8185980789,7.8185980789,0,9.23,0.0,9.23,9.23,9.23,1.0,0
UBOH,2010-02-24,7.9922505823,8.0654160426,7.9190851219,8.0051621341,5361,9.285,0.15,9.37,9.2,9.3,1.0,5361
