symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
UG,2010-01-04,7.6983127771,7.7652546273,7.6849244071,7.6983127771,2364,11.5,0.0,11.6,11.48,11.5,1.0,2364
UG,2010-01-05,7.7652546273,7.7652546273,7.6983127771,7.7652546273,6173,11.6,0.0,11.6,11.5,11.6,1.0,6173
UG,2010-01-06,7.6849244071,7.8924441428,7.6849244071,7.8924441428,3633,11.48,0.0,11.79,11.48,11.79,1.0,3633
UG,2010-01-07,7.658147667,7.664841852,7.6574782485,7.664841852,2512,11.44,0.0,11.45,11.439,11.45,1.0,2512
UG,2010-01-08,7.658147667,7.658147667,7.658147667,7.658147667,100,11.44,0.0,11.44,11.44,11.44,1.0,100
UG,2010-01-11,7.664841852,7.664841852,7.5659687392,7.658147667,1661,11.45,0.0,11.45,11.3023,11.44,1.0,1661
UG,2010-01-12,7.7237506802,7.7645852088,7.5444134634,7.664841852,4260,11.538,0.0,11.599,11.2701,11.45,1.0,4260
UG,2010-01-13,7.6313709269,7.6313709269,7.5711232617,7.5711232617,4958,11.4,0.0,11.4,11.31,11.31,1.0,4958
UG,2010-01-14,7.7116342053,7.7652546273,7.7116342053,7.7652546273,1500,11.5199,0.0,11.6,11.5199,11.6,1.0,1500
UG,2010-01-15,7.6313709269,7.6313709269,7.6313709269,7.6313709269,100,11.4,0.0,11.4,11.4,11.4,1.0,100
UG,2010-01-19,7.5644290766,7.8188081075,7.5644290766,7.8188081075,600,11.3,0.0,11.68,11.3,11.68,1.0,600
UG,2010-01-20,7.7652546273,7.8321964776,7.7317837022,7.7317837022,855,11.6,0.0,11.7,11.55,11.55,1.0,855
UG,2010-01-21,7.7561505357,7.7652546273,7.6716029789,7.7518662573,1975,11.5864,0.0,11.6,11.4601,11.58,1.0,1975
UG,2010-01-22,7.7585604423,7.7585604423,7.7585604423,7.7585604423,200,11.59,0.0,11.59,11.59,11.59,1.0,200
UG,2010-01-25,7.7585604423,7.7585604423,7.7585604423,7.7585604423,0,11.59,0.0,11.59,11.59,11.59,1.0,0
UG,2010-01-26,7.671536037,7.7588282097,7.5979000018,7.671536037,3210,11.46,0.0,11.5904,11.35,11.46,1.0,3210
UG,2010-01-27,7.7652546273,7.7652546273,7.6045941868,7.6045941868,1200,11.6,0.0,11.6,11.36,11.36,1.0,1200
UG,2010-01-28,7.7652546273,7.7652546273,7.7598992793,7.7651876855,525,11.6,0.0,11.6,11.592,11.5999,1.0,525
UG,2010-01-29,7.6112883718,7.7652546273,7.5979000018,7.5979000018,5841,11.37,0.0,11.6,11.35,11.35,1.0,5841
UG,2010-02-01,7.6882714996,7.6882714996,7.6209279982,7.6209279982,406,11.485,0.0,11.485,11.3844,11.3844,1.0,406
UG,2010-02-02,7.6882714996,7.6882714996,7.6882714996,7.6882714996,0,11.485,0.0,11.485,11.485,11.485,1.0,0
UG,2010-02-03,7.6983127771,7.6983127771,7.6246767418,7.6313709269,3392,11.5,0.0,11.5,11.39,11.4,1.0,3392
UG,2010-02-04,7.6514534819,7.6983127771,7.6112883718,7.6983127771,1079,11.43,0.0,11.5,11.37,11.5,1.0,1079
UG,2010-02-05,7.6112883718,7.6226684863,7.6112883718,7.6179825568,4011,11.37,0.0,11.387,11.37,11.38,1.0,4011
UG,2010-02-08,7.5377192784,7.5921430026,7.5376523365,7.5376523365,826,11.2601,0.0,11.3414,11.26,11.26,1.0,826
UG,2010-02-09,7.5912058167,7.5912058167,7.5376523365,7.5376523365,320,11.34,0.0,11.34,11.26,11.26,1.0,320
UG,2010-02-10,7.5644290766,7.678230222,7.5644290766,7.678230222,3288,11.3,0.0,11.47,11.3,11.47,1.0,3288
UG,2010-02-11,7.5644290766,7.5644290766,7.5644290766,7.5644290766,0,11.3,0.0,11.3,11.3,11.3,1.0,0
UG,2010-02-12,7.658147667,7.658147667,7.6580807251,7.6580807251,400,11.44,0.0,11.44,11.4399,11.4399,1.0,400
UG,2010-02-16,7.5978330599,7.5978330599,7.5376523365,7.5711232617,3700,11.3499,0.0,11.3499,11.26,11.31,1.0,3700
UG,2010-02-17,7.6849244071,7.6849244071,7.6848574652,7.6848574652,304,11.48,0.0,11.48,11.4799,11.4799,1.0,304
UG,2010-02-18,7.678230222,7.678230222,7.678230222,7.678230222,280,11.47,0.0,11.47,11.47,11.47,1.0,280
UG,2010-02-19,7.5443465216,7.5443465216,7.5443465216,7.5443465216,100,11.27,0.0,11.27,11.27,11.27,1.0,100
UG,2010-02-22,7.5644290766,7.5644290766,7.5644290766,7.5644290766,185,11.3,0.0,11.3,11.3,11.3,1.0,185
UG,2010-02-23,7.664841852,7.664841852,7.5644290766,7.5644290766,1315,11.45,0.0,11.45,11.3,11.3,1.0,1315
UG,2010-02-24,7.5376523365,7.6983127771,7.5376523365,7.664841852,3185,11.26,0.0,11.5,11.26,11.45,1.0,3185
UG,2010-02-25,7.5517101251,7.6916185921,7.5517101251,7.6681889445,1144,11.281,0.0,11.49,11.281,11.455,1.0,1144
UG,2010-02-26,7.5644290766,7.5711232617,7.5644290766,7.5711232617,800,11.3,0.0,11.31,11.3,11.31,1.0,800
UG,2010-03-01,7.8054197375,7.8321964776,7.6539972723,7.6916185921,7968,11.66,0.0,11.7,11.4338,11.49,1.0,7968
UG,2010-03-02,7.8255022926,7.8255022926,7.705073904,7.705073904,800,11.69,0.0,11.69,11.5101,11.5101,1.0,800
UG,2010-03-03,7.8656674027,7.9459306811,7.8188081075,7.8255022926,4628,11.75,0.0,11.8699,11.68,11.69,1.0,4628
UG,2010-03-04,7.966080178,7.966080178,7.952691808,7.952691808,208,11.9,0.0,11.9,11.88,11.88,1.0,208
UG,2010-03-05,7.8656674027,7.966080178,7.8328658961,7.966080178,651,11.75,0.0,11.9,11.701,11.9,1.0,651
UG,2010-03-08,7.8656674027,7.8864193763,7.8656674027,7.8657343445,1173,11.75,0.0,11.781,11.75,11.7501,1.0,1173
UG,2010-03-09,7.9001424556,7.9058325128,7.88655326,7.88655326,1436,11.8015,0.0,11.81,11.7812,11.7812,1.0,1436
UG,2010-03-10,8.0999638785,8.1334348036,7.8656674027,8.0430633058,9753,12.1,0.0,12.15,11.75,12.015,1.0,9753
UG,2010-03-11,8.0557822574,8.0999638785,8.0397162133,8.0999638785,365,12.034,0.0,12.1,12.01,12.1,1.0,365
UG,2010-03-12,8.2003766539,8.2003766539,8.1334348036,8.1334348036,1200,12.25,0.0,12.25,12.15,12.15,1.0,1200
UG,2010-03-15,8.2003766539,8.2003766539,7.8375518256,8.1602115437,10691,12.25,0.0,12.25,11.708,12.19,1.0,10691
UG,2010-03-16,8.1067250054,8.2003766539,8.1067250054,8.2003766539,3217,12.1101,0.0,12.25,12.1101,12.25,1.0,3217
UG,2010-03-17,8.1066580635,8.1066580635,8.1066580635,8.1066580635,2075,12.11,0.0,12.11,12.11,12.11,1.0,2075
UG,2010-03-18,8.1066580635,8.1066580635,8.1065911217,8.1066580635,4162,12.11,0.0,12.11,12.1099,12.11,1.0,4162
UG,2010-03-19,8.0932696935,8.1066580635,8.092600275,8.1066580635,9990,12.09,0.0,12.11,12.089,12.11,1.0,9990
UG,2010-03-22,8.1066580635,8.1066580635,8.0731871384,8.0932696935,6549,12.11,0.0,12.11,12.06,12.09,1.0,6549
UG,2010-03-23,8.1334348036,8.1334348036,8.0932696935,8.0932696935,1700,12.15,0.0,12.15,12.09,12.09,1.0,1700
UG,2010-03-24,8.0999638785,8.2137650239,8.0932696935,8.2137650239,3625,12.1,0.0,12.27,12.09,12.27,1.0,3625
UG,2010-03-25,8.1669057288,8.1936824689,8.0932696935,8.0932696935,27375,12.2,0.0,12.24,12.09,12.09,1.0,27375
UG,2010-03-26,8.6954116364,9.385247403,8.3075505561,9.385247403,16200,12.9895,0.0,14.02,12.4101,14.02,1.0,16200
UG,2010-03-29,8.5685568302,8.6957463456,8.5585155526,8.6488870505,3418,12.8,0.0,12.99,12.785,12.92,1.0,3418
UG,2010-03-30,8.5016819218,8.5685568302,8.5016149799,8.5685568302,14298,12.7001,0.0,12.8,12.7,12.8,1.0,14298
UG,2010-03-31,8.5016149799,8.508309165,8.3342603543,8.508309165,6406,12.7,0.0,12.71,12.45,12.71,1.0,6406
UG,2010-04-01,8.4012022046,8.4012022046,8.4012022046,8.4012022046,300,12.55,0.0,12.55,12.55,12.55,1.0,300
UG,2010-04-05,8.8965718963,9.9877240552,8.52839172,9.9877240552,23000,13.29,0.0,14.92,12.74,14.92,1.0,23000
