symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
VCYT,2013-10-30,13.25,14.1152,12.65,13.0,4594400,13.25,0.0,14.1152,12.65,13.0,1.0,4594400
VCYT,2013-10-31,12.39,13.0,12.01,12.83,339200,12.39,0.0,13.0,12.01,12.83,1.0,339200
VCYT,2013-11-01,12.3,12.5,12.15,12.39,137700,12.3,0.0,12.5,12.15,12.39,1.0,137700
VCYT,2013-11-04,12.8,12.8,12.1,12.4,38800,12.8,0.0,12.8,12.1,12.4,1.0,38800
VCYT,2013-11-05,12.4,12.77,12.0,12.35,143600,12.4,0.0,12.77,12.0,12.35,1.0,143600
VCYT,2013-11-06,11.5,12.39,11.5,12.16,157700,11.5,0.0,12.39,11.5,12.16,1.0,157700
VCYT,2013-11-07,11.15,11.6,10.88,11.5,345600,11.15,0.0,11.6,10.88,11.5,1.0,345600
VCYT,2013-11-08,11.41,11.55,11.0,11.1,26400,11.41,0.0,11.55,11.0,11.1,1.0,26400
VCYT,2013-11-11,12.1,12.15,11.3,11.3,30800,12.1,0.0,12.15,11.3,11.3,1.0,30800
VCYT,2013-11-12,12.43,12.47,11.9,12.1,21200,12.43,0.0,12.47,11.9,12.1,1.0,21200
VCYT,2013-11-13,12.24,12.73,12.0,12.3,28800,12.24,0.0,12.73,12.0,12.3,1.0,28800
VCYT,2013-11-14,12.15,12.33,12.0101,12.1426,45900,12.15,0.0,12.33,12.0101,12.1426,1.0,45900
VCYT,2013-11-15,12.15,12.65,11.81,12.08,72500,12.15,0.0,12.65,11.81,12.08,1.0,72500
VCYT,2013-11-18,12.65,13.3922,12.1335,12.75,65000,12.65,0.0,13.3922,12.1335,12.75,1.0,65000
VCYT,2013-11-19,12.47,12.9799,12.02,12.5,7500,12.47,0.0,12.9799,12.02,12.5,1.0,7500
VCYT,2013-11-20,12.89,13.22,12.16,12.2,72800,12.89,0.0,13.22,12.16,12.2,1.0,72800
VCYT,2013-11-21,12.76,13.15,12.5001,12.63,43800,12.76,0.0,13.15,12.5001,12.63,1.0,43800
