symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
VICL,2010-01-04,34.1,34.9,33.5,34.2,98400,3.41,0.0,3.49,3.35,3.42,1.0,984000
VICL,2010-01-05,33.3,34.2,32.5,34.2,73760,3.33,0.0,3.42,3.25,3.42,1.0,737600
VICL,2010-01-06,32.8,33.7,32.7,33.1,46500,3.28,0.0,3.37,3.27,3.31,1.0,465000
VICL,2010-01-07,33.7,35.0,33.2,35.0,95860,3.37,0.0,3.5,3.32,3.5,1.0,958600
VICL,2010-01-08,34.5,34.5,33.0,33.5,54720,3.45,0.0,3.45,3.3,3.35,1.0,547200
VICL,2010-01-11,34.7,36.0,34.0,35.3,93140,3.47,0.0,3.6,3.4,3.53,1.0,931400
VICL,2010-01-12,34.4,36.0,34.0,36.0,56120,3.44,0.0,3.6,3.4,3.6,1.0,561200
VICL,2010-01-13,34.8,35.0,33.3,34.3,47400,3.48,0.0,3.5,3.33,3.43,1.0,474000
VICL,2010-01-14,34.2,34.9,34.0,34.6,30780,3.42,0.0,3.49,3.4,3.46,1.0,307800
VICL,2010-01-15,33.2,34.4,33.2,34.4,40130,3.32,0.0,3.44,3.32,3.44,1.0,401300
VICL,2010-01-19,34.1,34.2,33.0,33.2,36640,3.41,0.0,3.42,3.3,3.32,1.0,366400
VICL,2010-01-20,32.4,33.9,32.3,33.9,44520,3.24,0.0,3.39,3.23,3.39,1.0,445200
VICL,2010-01-21,31.0,32.5,31.0,32.3,45470,3.1,0.0,3.25,3.1,3.23,1.0,454700
VICL,2010-01-22,30.6,31.8,30.5,31.1,35650,3.06,0.0,3.18,3.05,3.11,1.0,356500
VICL,2010-01-25,29.6,30.6,29.2,30.5,54440,2.96,0.0,3.06,2.92,3.05,1.0,544400
VICL,2010-01-26,29.1,30.1,29.1,29.6,32660,2.91,0.0,3.01,2.91,2.96,1.0,326600
VICL,2010-01-27,29.4,29.5,28.2,29.1,26890,2.94,0.0,2.95,2.82,2.91,1.0,268900
VICL,2010-01-28,28.7,30.299,28.0,29.6,62900,2.87,0.0,3.0299,2.8,2.96,1.0,629000
VICL,2010-01-29,28.2,29.3,28.0,28.9,30750,2.82,0.0,2.93,2.8,2.89,1.0,307500
VICL,2010-02-01,29.1,29.1,27.8,28.2,29140,2.91,0.0,2.91,2.78,2.82,1.0,291400
VICL,2010-02-02,31.2,31.301,29.1,29.1,44790,3.12,0.0,3.1301,2.91,2.91,1.0,447900
VICL,2010-02-03,30.9,31.7,30.0,31.1,35610,3.09,0.0,3.17,3.0,3.11,1.0,356100
VICL,2010-02-04,29.2,31.0,28.8,30.7,52080,2.92,0.0,3.1,2.88,3.07,1.0,520800
VICL,2010-02-05,28.5,29.2,28.0,29.1,33600,2.85,0.0,2.92,2.8,2.91,1.0,336000
VICL,2010-02-08,29.9,30.6,28.399,28.6,33560,2.99,0.0,3.06,2.8399,2.86,1.0,335600
VICL,2010-02-09,28.9,30.1,28.7,30.0,35240,2.89,0.0,3.01,2.87,3.0,1.0,352400
VICL,2010-02-10,28.7,29.1,28.1,28.9,28090,2.87,0.0,2.91,2.81,2.89,1.0,280900
VICL,2010-02-11,31.0,31.2,28.301,28.6,47730,3.1,0.0,3.12,2.8301,2.86,1.0,477300
VICL,2010-02-12,31.9,31.9,30.0,30.9,52960,3.19,0.0,3.19,3.0,3.09,1.0,529600
VICL,2010-02-16,34.4,34.5,32.4,32.6,86470,3.44,0.0,3.45,3.24,3.26,1.0,864700
VICL,2010-02-17,33.8,35.0,33.0,35.0,49630,3.38,0.0,3.5,3.3,3.5,1.0,496300
VICL,2010-02-18,32.9,33.9,32.3,33.3,25270,3.29,0.0,3.39,3.23,3.33,1.0,252700
VICL,2010-02-19,33.1,33.6,32.3,32.9,17750,3.31,0.0,3.36,3.23,3.29,1.0,177500
VICL,2010-02-22,32.5,33.1,32.2,32.9,23460,3.25,0.0,3.31,3.22,3.29,1.0,234600
VICL,2010-02-23,33.1,33.5,32.2,32.5,26970,3.31,0.0,3.35,3.22,3.25,1.0,269700
VICL,2010-02-24,34.3,35.6,33.0,33.1,52580,3.43,0.0,3.56,3.3,3.31,1.0,525800
VICL,2010-02-25,33.7,34.4,33.1,34.0,24110,3.37,0.0,3.44,3.31,3.4,1.0,241100
VICL,2010-02-26,32.8,33.6,32.4,33.5,34080,3.28,0.0,3.36,3.24,3.35,1.0,340800
VICL,2010-03-01,35.5,36.1,32.9,33.0,55030,3.55,0.0,3.61,3.29,3.3,1.0,550300
VICL,2010-03-02,35.2,36.0,34.4,35.6,42440,3.52,0.0,3.6,3.44,3.56,1.0,424400
VICL,2010-03-03,36.1,36.3,35.0,35.2,45770,3.61,0.0,3.63,3.5,3.52,1.0,457700
VICL,2010-03-04,36.5,37.5,35.3,36.6,65330,3.65,0.0,3.75,3.53,3.66,1.0,653300
VICL,2010-03-05,37.9,37.9,36.6,36.7,47590,3.79,0.0,3.79,3.66,3.67,1.0,475900
VICL,2010-03-08,38.5,38.7,37.5,37.8,51460,3.85,0.0,3.87,3.75,3.78,1.0,514600
VICL,2010-03-09,39.2,40.0,37.8,38.3,57730,3.92,0.0,4.0,3.78,3.83,1.0,577300
VICL,2010-03-10,39.4,41.2,39.0,39.1,57830,3.94,0.0,4.12,3.9,3.91,1.0,578300
VICL,2010-03-11,40.1,40.3,38.0,39.4,41760,4.01,0.0,4.03,3.8,3.94,1.0,417600
VICL,2010-03-12,39.4,40.7,38.9,40.4,33740,3.94,0.0,4.07,3.89,4.04,1.0,337400
VICL,2010-03-15,39.5,39.7,38.1,39.2,28490,3.95,0.0,3.97,3.81,3.92,1.0,284900
VICL,2010-03-16,39.2,39.8,38.7,39.8,24280,3.92,0.0,3.98,3.87,3.98,1.0,242800
VICL,2010-03-17,38.5,39.9,38.5,39.3,23980,3.85,0.0,3.99,3.85,3.93,1.0,239800
VICL,2010-03-18,38.4,39.3,38.2,38.5,22880,3.84,0.0,3.93,3.82,3.85,1.0,228800
VICL,2010-03-19,36.9,39.0,36.1,38.5,57450,3.69,0.0,3.9,3.61,3.85,1.0,574500
VICL,2010-03-22,38.4,38.5,37.4,37.4,39750,3.84,0.0,3.85,3.74,3.74,1.0,397500
VICL,2010-03-23,36.8,38.3,36.7,38.3,38990,3.68,0.0,3.83,3.67,3.83,1.0,389900
VICL,2010-03-24,36.2,36.8,35.5,36.6,32690,3.62,0.0,3.68,3.55,3.66,1.0,326900
VICL,2010-03-25,35.2,37.0,35.1,36.4,40500,3.52,0.0,3.7,3.51,3.64,1.0,405000
VICL,2010-03-26,34.9,36.0,34.7,35.2,28520,3.49,0.0,3.6,3.47,3.52,1.0,285200
VICL,2010-03-29,35.8,35.8,34.9,34.9,35860,3.58,0.0,3.58,3.49,3.49,1.0,358600
VICL,2010-03-30,35.0,36.0,34.3,35.9,42010,3.5,0.0,3.6,3.43,3.59,1.0,420100
VICL,2010-03-31,33.3,35.5,33.2,35.0,70460,3.33,0.0,3.55,3.32,3.5,1.0,704600
VICL,2010-04-01,34.7,34.7,33.602,33.7,29790,3.47,0.0,3.47,3.3602,3.37,1.0,297900
VICL,2010-04-05,35.3,35.9,34.5,34.6,37570,3.53,0.0,3.59,3.45,3.46,1.0,375700
VICL,2010-04-06,35.0,35.6,34.8,35.1,16040,3.5,0.0,3.56,3.48,3.51,1.0,160400
VICL,2010-04-07,34.9,35.2,34.2,34.7,29110,3.49,0.0,3.52,3.42,3.47,1.0,291100
VICL,2010-04-08,35.2,35.4,34.15,34.7,21850,3.52,0.0,3.54,3.415,3.47,1.0,218500
VICL,2010-04-09,35.3,35.7,34.75,35.3,16770,3.53,0.0,3.57,3.475,3.53,1.0,167700
VICL,2010-04-12,35.6,35.8,35.1,35.3,19170,3.56,0.0,3.58,3.51,3.53,1.0,191700
VICL,2010-04-13,35.7,35.7,34.7,35.5,36020,3.57,0.0,3.57,3.47,3.55,1.0,360200
VICL,2010-04-14,36.0,36.4,35.7,35.7,31090,3.6,0.0,3.64,3.57,3.57,1.0,310900
VICL,2010-04-15,36.9,36.9,35.8,36.0,36640,3.69,0.0,3.69,3.58,3.6,1.0,366400
VICL,2010-04-16,35.5,37.022,35.4,37.0,31180,3.55,0.0,3.7022,3.54,3.7,1.0,311800
VICL,2010-04-19,34.1,36.2,33.7,35.2,25720,3.41,0.0,3.62,3.37,3.52,1.0,257200
VICL,2010-04-20,35.0,35.2,33.8,33.8,25010,3.5,0.0,3.52,3.38,3.38,1.0,250100
VICL,2010-04-21,35.3,35.5,34.6,35.2,16690,3.53,0.0,3.55,3.46,3.52,1.0,166900
VICL,2010-04-22,37.6,37.8,35.3,36.7,45470,3.76,0.0,3.78,3.53,3.67,1.0,454700
VICL,2010-04-23,37.1,37.5,36.1,37.5,29700,3.71,0.0,3.75,3.61,3.75,1.0,297000
VICL,2010-04-26,36.5,37.5,35.8,37.0,19380,3.65,0.0,3.75,3.58,3.7,1.0,193800
VICL,2010-04-27,35.2,38.3,35.1,37.1,38290,3.52,0.0,3.83,3.51,3.71,1.0,382900
VICL,2010-04-28,35.2,36.4,35.1,35.2,17750,3.52,0.0,3.64,3.51,3.52,1.0,177500
VICL,2010-04-29,38.5,38.6,35.6,36.0,47300,3.85,0.0,3.86,3.56,3.6,1.0,473000
VICL,2010-04-30,36.2,38.5,36.2,38.5,36240,3.62,0.0,3.85,3.62,3.85,1.0,362400
VICL,2010-05-03,38.4,38.5,36.9,37.0,33710,3.84,0.0,3.85,3.69,3.7,1.0,337100
VICL,2010-05-04,37.4,38.4,37.0,37.8,20900,3.74,0.0,3.84,3.7,3.78,1.0,209000
