symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
VPCO,2010-02-10,33.125,33.125,33.125,33.125,0,0.53,0.0,0.53,0.53,0.53,1.0,0
VPCO,2010-02-11,33.125,33.125,33.125,33.125,0,0.53,0.0,0.53,0.53,0.53,1.0,0
VPCO,2010-02-12,33.125,33.125,33.125,33.125,0,0.53,0.0,0.53,0.53,0.53,1.0,0
VPCO,2010-02-16,22.5,22.5,22.5,22.5,0,0.9,0.0,0.9,0.9,0.9,0.4,0
VPCO,2010-02-17,22.5,22.5,22.5,22.5,0,0.9,0.0,0.9,0.9,0.9,1.0,0
VPCO,2010-02-18,18.0,18.0,18.0,18.0,0,0.72,0.0,0.72,0.72,0.72,1.0,0
VPCO,2010-02-19,17.5,17.5,17.5,17.5,0,0.7,0.0,0.7,0.7,0.7,1.0,0
VPCO,2010-02-22,7.5,7.5,7.5,7.5,80,0.3,0.0,0.3,0.3,0.3,1.0,2000
VPCO,2010-02-23,7.5,7.5,7.5,7.5,20,0.3,0.0,0.3,0.3,0.3,1.0,500
VPCO,2010-02-24,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-02-25,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-02-26,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-03-01,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-03-02,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-03-03,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-03-04,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-03-05,13.75,13.75,13.75,13.75,40,0.55,0.0,0.55,0.55,0.55,1.0,1000
VPCO,2010-03-08,13.75,13.75,13.75,13.75,0,0.55,0.0,0.55,0.55,0.55,1.0,0
VPCO,2010-03-09,13.75,13.75,13.75,13.75,0,0.55,0.0,0.55,0.55,0.55,1.0,0
VPCO,2010-03-10,13.75,13.75,13.75,13.75,0,0.55,0.0,0.55,0.55,0.55,1.0,0
VPCO,2010-03-11,12.5,12.5,12.5,12.5,80,0.5,0.0,0.5,0.5,0.5,1.0,2000
VPCO,2010-03-12,7.5,12.5,7.5,7.5,980,0.3,0.0,0.5,0.3,0.3,1.0,24500
VPCO,2010-03-15,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-03-16,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-03-17,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-03-18,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-03-19,7.5,7.5,7.5,7.5,0,0.3,0.0,0.3,0.3,0.3,1.0,0
VPCO,2010-03-22,6.25,7.5,6.25,7.5,200,0.25,0.0,0.3,0.25,0.3,1.0,5000
VPCO,2010-03-23,6.25,6.25,6.25,6.25,0,0.25,0.0,0.25,0.25,0.25,1.0,0
VPCO,2010-03-24,3.5,3.5,3.5,3.5,20,0.14,0.0,0.14,0.14,0.14,1.0,500
VPCO,2010-03-25,3.5,3.5,3.5,3.5,0,0.14,0.0,0.14,0.14,0.14,1.0,0
VPCO,2010-03-26,3.5,3.5,3.5,3.5,0,0.14,0.0,0.14,0.14,0.14,1.0,0
VPCO,2010-03-29,3.5,3.5,3.5,3.5,0,0.14,0.0,0.14,0.14,0.14,1.0,0
VPCO,2010-03-30,3.5,3.5,3.5,3.5,0,0.14,0.0,0.14,0.14,0.14,1.0,0
VPCO,2010-03-31,12.25,12.25,12.25,12.25,280,0.49,0.0,0.49,0.49,0.49,1.0,7000
VPCO,2010-04-01,4.25,4.25,3.5,3.5,60,0.17,0.0,0.17,0.14,0.14,1.0,1500
VPCO,2010-04-05,4.25,4.25,4.25,4.25,0,0.17,0.0,0.17,0.17,0.17,1.0,0
VPCO,2010-04-06,4.25,4.25,4.25,4.25,0,0.17,0.0,0.17,0.17,0.17,1.0,0
VPCO,2010-04-07,4.25,4.25,4.25,4.25,0,0.17,0.0,0.17,0.17,0.17,1.0,0
VPCO,2010-04-08,4.25,4.25,4.25,4.25,0,0.17,0.0,0.17,0.17,0.17,1.0,0
VPCO,2010-04-09,4.25,4.25,4.25,4.25,0,0.17,0.0,0.17,0.17,0.17,1.0,0
VPCO,2010-04-12,4.25,4.25,4.25,4.25,0,0.17,0.0,0.17,0.17,0.17,1.0,0
VPCO,2010-04-13,12.25,12.25,12.25,12.25,60,0.49,0.0,0.49,0.49,0.49,1.0,1500
VPCO,2010-04-14,12.0,12.0,12.0,12.0,40,0.48,0.0,0.48,0.48,0.48,1.0,1000
