symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
VRML,2010-01-04,25.85,27.45,23.75,27.45,65355,25.85,0.0,27.45,23.75,27.45,1.0,65355
VRML,2010-01-05,24.54,26.1,23.76,25.4,191758,24.54,0.0,26.1,23.76,25.4,1.0,191758
VRML,2010-01-06,23.4,24.9,22.95,24.9,62187,23.4,0.0,24.9,22.95,24.9,1.0,62187
VRML,2010-01-07,24.79,25.0,22.95,23.25,70261,24.79,0.0,25.0,22.95,23.25,1.0,70261
VRML,2010-01-08,23.95,25.5,22.99,24.75,134332,23.95,0.0,25.5,22.99,24.75,1.0,134332
VRML,2010-01-11,22.8,23.7,22.35,23.05,71460,22.8,0.0,23.7,22.35,23.05,1.0,71460
VRML,2010-01-12,23.0,23.3,22.3,22.35,42234,23.0,0.0,23.3,22.3,22.35,1.0,42234
VRML,2010-01-13,24.75,25.3,23.0,23.25,114868,24.75,0.0,25.3,23.0,23.25,1.0,114868
VRML,2010-01-14,25.0,25.35,24.3,25.0,39702,25.0,0.0,25.35,24.3,25.0,1.0,39702
VRML,2010-01-15,24.5,25.5,23.9,25.34,24777,24.5,0.0,25.5,23.9,25.34,1.0,24777
VRML,2010-01-19,25.45,25.65,23.9,24.2,41223,25.45,0.0,25.65,23.9,24.2,1.0,41223
VRML,2010-01-20,25.65,25.65,23.75,25.25,86419,25.65,0.0,25.65,23.75,25.25,1.0,86419
VRML,2010-01-21,25.0,26.6,23.87,25.75,65242,25.0,0.0,26.6,23.87,25.75,1.0,65242
VRML,2010-01-22,25.4,26.15,24.2,24.75,54362,25.4,0.0,26.15,24.2,24.75,1.0,54362
VRML,2010-01-25,24.5,25.4,23.6,25.1,32684,24.5,0.0,25.4,23.6,25.1,1.0,32684
VRML,2010-01-26,24.25,24.5,23.5,24.0,68507,24.25,0.0,24.5,23.5,24.0,1.0,68507
VRML,2010-01-27,23.25,24.0,22.8,23.85,31664,23.25,0.0,24.0,22.8,23.85,1.0,31664
VRML,2010-01-28,24.75,24.95,20.9,23.1,181440,24.75,0.0,24.95,20.9,23.1,1.0,181440
VRML,2010-01-29,23.5,24.75,22.98,24.75,42633,23.5,0.0,24.75,22.98,24.75,1.0,42633
VRML,2010-02-01,23.99,24.6,21.95,22.75,96349,23.99,0.0,24.6,21.95,22.75,1.0,96349
VRML,2010-02-02,24.15,24.25,23.25,24.25,44858,24.15,0.0,24.25,23.25,24.25,1.0,44858
VRML,2010-02-03,24.85,24.85,24.1,24.15,140214,24.85,0.0,24.85,24.1,24.15,1.0,140214
VRML,2010-02-04,25.4,25.5,24.0,24.85,115213,25.4,0.0,25.5,24.0,24.85,1.0,115213
VRML,2010-02-05,25.4,25.5,24.5,25.5,19712,25.4,0.0,25.5,24.5,25.5,1.0,19712
VRML,2010-02-08,26.05,26.5,25.0,25.4,55879,26.05,0.0,26.5,25.0,25.4,1.0,55879
VRML,2010-02-09,26.4,26.7,25.5,26.08,43151,26.4,0.0,26.7,25.5,26.08,1.0,43151
VRML,2010-02-10,26.0,26.65,25.55,26.65,7058,26.0,0.0,26.65,25.55,26.65,1.0,7058
VRML,2010-02-11,25.65,26.0,25.0,25.55,16922,25.65,0.0,26.0,25.0,25.55,1.0,16922
VRML,2010-02-12,24.25,25.4,23.77,25.05,70621,24.25,0.0,25.4,23.77,25.05,1.0,70621
VRML,2010-02-16,23.2,24.25,22.5,24.24,96449,23.2,0.0,24.25,22.5,24.24,1.0,96449
VRML,2010-02-17,25.04,25.35,23.1,23.1,102517,25.04,0.0,25.35,23.1,23.1,1.0,102517
VRML,2010-02-18,26.85,27.0,25.3,25.8,153961,26.85,0.0,27.0,25.3,25.8,1.0,153961
VRML,2010-02-19,27.0,27.65,26.49,26.9,87219,27.0,0.0,27.65,26.49,26.9,1.0,87219
VRML,2010-02-22,28.0,28.0,26.55,26.55,39451,28.0,0.0,28.0,26.55,26.55,1.0,39451
VRML,2010-02-23,28.65,28.75,27.5,27.97,72049,28.65,0.0,28.75,27.5,27.97,1.0,72049
VRML,2010-02-24,30.0,30.25,28.6,28.7,193937,30.0,0.0,30.25,28.6,28.7,1.0,193937
VRML,2010-02-25,31.0,31.25,29.05,30.2,124230,31.0,0.0,31.25,29.05,30.2,1.0,124230
VRML,2010-02-26,32.03,32.24,31.0,31.0,133843,32.03,0.0,32.24,31.0,31.0,1.0,133843
VRML,2010-03-01,31.43,32.7,30.55,32.0,157663,31.43,0.0,32.7,30.55,32.0,1.0,157663
VRML,2010-03-02,30.2,31.43,29.5,31.25,112961,30.2,0.0,31.43,29.5,31.25,1.0,112961
VRML,2010-03-03,31.5,31.56,29.05,30.0,141538,31.5,0.0,31.56,29.05,30.0,1.0,141538
VRML,2010-03-04,32.81,33.15,31.0,31.0,91341,32.81,0.0,33.15,31.0,31.0,1.0,91341
VRML,2010-03-05,33.81,34.0,32.7,33.15,216279,33.81,0.0,34.0,32.7,33.15,1.0,216279
VRML,2010-03-08,33.11,34.0,31.25,33.18,85362,33.11,0.0,34.0,31.25,33.18,1.0,85362
VRML,2010-03-09,32.0,34.0,31.75,33.5,84519,32.0,0.0,34.0,31.75,33.5,1.0,84519
VRML,2010-03-10,31.0,32.0,30.85,32.0,79010,31.0,0.0,32.0,30.85,32.0,1.0,79010
VRML,2010-03-11,31.7,31.7,28.5,30.85,242727,31.7,0.0,31.7,28.5,30.85,1.0,242727
VRML,2010-03-12,33.0,34.0,32.0,33.9,202199,33.0,0.0,34.0,32.0,33.9,1.0,202199
VRML,2010-03-15,32.3,33.25,31.05,33.0,75154,32.3,0.0,33.25,31.05,33.0,1.0,75154
VRML,2010-03-16,29.85,32.5,29.06,32.35,104155,29.85,0.0,32.5,29.06,32.35,1.0,104155
