symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
VTGN,2016-05-06,7.0,7.75,7.0,7.0,8837,7.0,0.0,7.75,7.0,7.0,1.0,8837
VTGN,2016-05-09,7.0,7.0,6.5,6.5,2964,7.0,0.0,7.0,6.5,6.5,1.0,2964
VTGN,2016-05-10,5.5,6.85,5.5,5.5,8398,5.5,0.0,6.85,5.5,5.5,1.0,8398
VTGN,2016-05-11,4.1085,4.5,4.07,4.5,35510,4.1085,0.0,4.5,4.07,4.5,1.0,35510
VTGN,2016-05-12,4.11,4.22,3.987,4.22,120104,4.11,0.0,4.22,3.987,4.22,1.0,120104
VTGN,2016-05-13,3.98,4.04,3.956,4.0,7100,3.98,0.0,4.04,3.956,4.0,1.0,7100
VTGN,2016-05-16,3.99,4.0,3.75,4.0,3470,3.99,0.0,4.0,3.75,4.0,1.0,3470
VTGN,2016-05-17,3.9899,4.0,3.85,4.0,804,3.9899,0.0,4.0,3.85,4.0,1.0,804
VTGN,2016-05-18,3.88,4.0,3.88,4.0,5900,3.88,0.0,4.0,3.88,4.0,1.0,5900
VTGN,2016-05-19,3.94,3.98,3.87,3.98,1750,3.94,0.0,3.98,3.87,3.98,1.0,1750
VTGN,2016-05-20,3.98,3.98,3.82,3.82,7000,3.98,0.0,3.98,3.82,3.82,1.0,7000
VTGN,2016-05-23,3.98,3.98,3.98,3.98,592,3.98,0.0,3.98,3.98,3.98,1.0,592
VTGN,2016-05-24,3.98,3.98,3.9001,3.9001,894,3.98,0.0,3.98,3.9001,3.9001,1.0,894
VTGN,2016-05-25,3.89,3.98,3.89,3.96,9553,3.89,0.0,3.98,3.89,3.96,1.0,9553
VTGN,2016-05-26,3.8501,3.98,3.8501,3.98,2110,3.8501,0.0,3.98,3.8501,3.98,1.0,2110
VTGN,2016-05-27,3.83,3.95,3.8,3.8501,2540,3.83,0.0,3.95,3.8,3.8501,1.0,2540
VTGN,2016-05-31,3.8,3.95,3.8,3.82,22470,3.8,0.0,3.95,3.8,3.82,1.0,22470
VTGN,2016-06-01,3.83,3.95,3.8,3.95,6600,3.83,0.0,3.95,3.8,3.95,1.0,6600
VTGN,2016-06-02,3.85,3.9,3.85,3.85,10923,3.85,0.0,3.9,3.85,3.85,1.0,10923
VTGN,2016-06-03,3.85,3.92,3.85,3.858,14603,3.85,0.0,3.92,3.85,3.858,1.0,14603
VTGN,2016-06-06,3.85,3.92,3.85,3.9151,7525,3.85,0.0,3.92,3.85,3.9151,1.0,7525
VTGN,2016-06-07,3.86,3.92,3.85,3.85,6317,3.86,0.0,3.92,3.85,3.85,1.0,6317
VTGN,2016-06-08,3.8552,3.92,3.71,3.75,2516,3.8552,0.0,3.92,3.71,3.75,1.0,2516
VTGN,2016-06-09,3.4,3.74,3.3137,3.74,25431,3.4,0.0,3.74,3.3137,3.74,1.0,25431
VTGN,2016-06-10,3.6541,3.8447,3.06,3.73,5574,3.6541,0.0,3.8447,3.06,3.73,1.0,5574
VTGN,2016-06-13,3.8,3.92,3.64,3.65,7643,3.8,0.0,3.92,3.64,3.65,1.0,7643
VTGN,2016-06-14,3.73,3.9,3.43,3.867,9732,3.73,0.0,3.9,3.43,3.867,1.0,9732
VTGN,2016-06-15,3.9,3.9,3.55,3.74,5328,3.9,0.0,3.9,3.55,3.74,1.0,5328
VTGN,2016-06-16,3.9,3.9,3.6701,3.7,5370,3.9,0.0,3.9,3.6701,3.7,1.0,5370
VTGN,2016-06-17,3.49,3.9,3.49,3.9,9627,3.49,0.0,3.9,3.49,3.9,1.0,9627
VTGN,2016-06-20,3.5,3.82,3.4,3.57,9897,3.5,0.0,3.82,3.4,3.57,1.0,9897
VTGN,2016-06-21,3.94,4.25,3.0001,3.6,24361,3.94,0.0,4.25,3.0001,3.6,1.0,24361
VTGN,2016-06-22,3.85,3.9,3.85,3.89,6581,3.85,0.0,3.9,3.85,3.89,1.0,6581
VTGN,2016-06-23,3.85,3.86,3.85,3.85,456,3.85,0.0,3.86,3.85,3.85,1.0,456
VTGN,2016-06-24,3.57,3.81,3.53,3.8,4407,3.57,0.0,3.81,3.53,3.8,1.0,4407
VTGN,2016-06-27,3.474,3.65,3.2601,3.65,5829,3.474,0.0,3.65,3.2601,3.65,1.0,5829
VTGN,2016-06-28,3.45,3.75,3.43,3.45,9594,3.45,0.0,3.75,3.43,3.45,1.0,9594
VTGN,2016-06-29,3.6899,3.71,3.46,3.46,2200,3.6899,0.0,3.71,3.46,3.46,1.0,2200
VTGN,2016-06-30,3.9,3.989,3.559,3.7999,51648,3.9,0.0,3.989,3.559,3.7999,1.0,51648
VTGN,2016-07-01,3.94,3.95,3.65,3.89,36716,3.94,0.0,3.95,3.65,3.89,1.0,36716
VTGN,2016-07-05,3.8299,3.89,3.798,3.84,6402,3.8299,0.0,3.89,3.798,3.84,1.0,6402
VTGN,2016-07-06,3.75,3.79,3.56,3.79,14400,3.75,0.0,3.79,3.56,3.79,1.0,14400
VTGN,2016-07-07,3.94,4.015,3.75,3.85,18313,3.94,0.0,4.015,3.75,3.85,1.0,18313
VTGN,2016-07-08,3.97,4.1,3.85,3.97,23296,3.97,0.0,4.1,3.85,3.97,1.0,23296
VTGN,2016-07-11,3.91,3.97,3.906,3.97,9507,3.91,0.0,3.97,3.906,3.97,1.0,9507
VTGN,2016-07-12,3.8,4.25,3.7,3.91,77828,3.8,0.0,4.25,3.7,3.91,1.0,77828
VTGN,2016-07-13,3.78,4.0,3.6988,4.0,5123,3.78,0.0,4.0,3.6988,4.0,1.0,5123
VTGN,2016-07-14,3.7,3.8744,3.7,3.8744,7917,3.7,0.0,3.8744,3.7,3.8744,1.0,7917
VTGN,2016-07-15,3.54,3.71,3.5,3.71,5759,3.54,0.0,3.71,3.5,3.71,1.0,5759
VTGN,2016-07-18,3.71,3.71,3.71,3.71,2190,3.71,0.0,3.71,3.71,3.71,1.0,2190
VTGN,2016-07-19,3.515,3.76,3.5035,3.76,4862,3.515,0.0,3.76,3.5035,3.76,1.0,4862
VTGN,2016-07-20,3.769,3.789,3.5101,3.5101,1600,3.769,0.0,3.789,3.5101,3.5101,1.0,1600
VTGN,2016-07-21,3.61,3.85,3.6,3.63,6622,3.61,0.0,3.85,3.6,3.63,1.0,6622
VTGN,2016-07-22,3.51,3.625,3.51,3.625,5002,3.51,0.0,3.625,3.51,3.625,1.0,5002
VTGN,2016-07-25,3.45,3.53,3.45,3.53,16260,3.45,0.0,3.53,3.45,3.53,1.0,16260
