symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
WAYN,2010-01-04,4.742199297,4.7501161573,4.742199297,4.7461577271,900,5.99,0.0,6.0,5.99,5.995,1.0,900
WAYN,2010-01-05,4.742199297,4.742199297,4.742199297,4.742199297,0,5.99,0.0,5.99,5.99,5.99,1.0,0
WAYN,2010-01-06,4.742199297,4.742199297,4.742199297,4.742199297,0,5.99,0.0,5.99,5.99,5.99,1.0,0
WAYN,2010-01-07,4.9876219651,4.9876219651,4.983663535,4.9875427965,900,6.3,0.0,6.3,6.295,6.2999,1.0,900
WAYN,2010-01-08,4.9480376638,4.9480376638,4.9440792337,4.9440792337,1400,6.25,0.0,6.25,6.245,6.245,1.0,1400
WAYN,2010-01-11,4.9876219651,4.9876219651,4.9876219651,4.9876219651,0,6.25,0.05,6.25,6.25,6.25,1.0,0
WAYN,2010-01-12,4.9876219651,4.9876219651,4.9876219651,4.9876219651,0,6.25,0.0,6.25,6.25,6.25,1.0,0
WAYN,2010-01-13,4.9876219651,4.9876219651,4.9876219651,4.9876219651,0,6.25,0.0,6.25,6.25,6.25,1.0,0
WAYN,2010-01-14,4.9876219651,4.9876219651,4.9876219651,4.9876219651,0,6.25,0.0,6.25,6.25,6.25,1.0,0
WAYN,2010-01-15,4.9876219651,5.1871268437,4.867919038,5.1871268437,5003,6.25,0.0,6.5,6.1,6.5,1.0,5003
WAYN,2010-01-19,4.9876219651,4.9876219651,4.9876219651,4.9876219651,2103,6.25,0.0,6.25,6.25,6.25,1.0,2103
WAYN,2010-01-20,4.8280180622,4.8280180622,4.812057672,4.8280180622,1800,6.05,0.0,6.05,6.03,6.05,1.0,1800
WAYN,2010-01-21,4.8280180622,4.8280180622,4.8280180622,4.8280180622,0,6.05,0.0,6.05,6.05,6.05,1.0,0
WAYN,2010-01-22,4.8200378671,4.8838794283,4.7402359157,4.8838794283,4636,6.04,0.0,6.12,5.94,6.12,1.0,4636
WAYN,2010-01-25,4.7761467938,4.7761467938,4.7761467938,4.7761467938,228,5.985,0.0,5.985,5.985,5.985,1.0,228
WAYN,2010-01-26,4.8359982574,4.8359982574,4.8320081598,4.8359982574,300,6.06,0.0,6.06,6.055,6.06,1.0,300
WAYN,2010-01-27,4.8838794283,4.8838794283,4.8838794283,4.8838794283,279,6.12,0.0,6.12,6.12,6.12,1.0,279
WAYN,2010-01-28,4.97964177,4.9876219651,4.97964177,4.9876219651,12475,6.24,0.0,6.25,6.24,6.25,1.0,12475
WAYN,2010-01-29,4.8040774768,4.9197903064,4.8040774768,4.9078200137,9718,6.02,0.0,6.165,6.02,6.15,1.0,9718
WAYN,2010-02-01,4.8200378671,4.8200378671,4.8040774768,4.8040774768,900,6.04,0.0,6.04,6.02,6.02,1.0,900
WAYN,2010-02-02,4.7960972817,4.7968953012,4.7561963059,4.7561963059,18200,6.01,0.0,6.011,5.96,5.96,1.0,18200
WAYN,2010-02-03,4.7881170865,4.7881170865,4.7880372846,4.7881170865,6000,6.0,0.0,6.0,5.9999,6.0,1.0,6000
WAYN,2010-02-04,4.7881170865,4.7881170865,4.7881170865,4.7881170865,1900,6.0,0.0,6.0,6.0,6.0,1.0,1900
WAYN,2010-02-05,4.7881170865,4.7881170865,4.7322557205,4.7881170865,7715,6.0,0.0,6.0,5.93,6.0,1.0,7715
WAYN,2010-02-08,4.7881170865,4.7881170865,4.7881170865,4.7881170865,300,6.0,0.0,6.0,6.0,6.0,1.0,300
WAYN,2010-02-09,4.7881170865,4.7881170865,4.7881170865,4.7881170865,0,6.0,0.0,6.0,6.0,6.0,1.0,0
WAYN,2010-02-10,4.784126989,4.784126989,4.784126989,4.784126989,100,5.995,0.0,5.995,5.995,5.995,1.0,100
WAYN,2010-02-11,5.3626911369,5.4265326981,5.2988495758,5.4025921126,2700,6.72,0.0,6.8,6.64,6.77,1.0,2700
WAYN,2010-02-12,5.0833843069,5.0833843069,4.9876219651,4.9876219651,437,6.37,0.0,6.37,6.25,6.25,1.0,437
WAYN,2010-02-16,5.0115625506,5.0833843069,4.9876219651,5.0833843069,29050,6.28,0.0,6.37,6.25,6.37,1.0,29050
WAYN,2010-02-17,5.0275229409,5.3307703563,5.0275229409,5.3307703563,950,6.3,0.0,6.68,6.3,6.68,1.0,950
WAYN,2010-02-18,5.0275229409,5.0275229409,5.0275229409,5.0275229409,0,6.3,0.0,6.3,6.3,6.3,1.0,0
WAYN,2010-02-19,5.0275229409,5.0275229409,5.0275229409,5.0275229409,0,6.3,0.0,6.3,6.3,6.3,1.0,0
WAYN,2010-02-22,5.5781564058,5.5781564058,5.1871268437,5.1871268437,1700,6.99,0.0,6.99,6.5,6.5,1.0,1700
WAYN,2010-02-23,5.5781564058,5.5781564058,5.5781564058,5.5781564058,0,6.99,0.0,6.99,6.99,6.99,1.0,0
WAYN,2010-02-24,5.1552060632,5.1552060632,5.1312654777,5.1312654777,354,6.46,0.0,6.46,6.43,6.43,1.0,354
WAYN,2010-02-25,5.147225868,5.1591961607,5.147225868,5.1591961607,200,6.45,0.0,6.465,6.45,6.465,1.0,200
WAYN,2010-02-26,5.5143148446,5.8814038213,5.4277297273,5.5621960155,4456,6.91,0.0,7.37,6.8015,6.97,1.0,4456
WAYN,2010-03-01,6.3681957251,6.3681957251,5.203087234,5.203087234,1842,7.98,0.0,7.98,6.52,6.52,1.0,1842
WAYN,2010-03-02,6.3362749445,6.3761759202,6.3362749445,6.3761759202,1356,7.94,0.0,7.99,7.94,7.99,1.0,1356
WAYN,2010-03-03,6.3522353348,6.3921363105,6.3522353348,6.3841561154,1700,7.96,0.0,8.01,7.96,8.0,1.0,1700
WAYN,2010-03-04,6.2883937736,6.3282947494,6.2804135785,6.3282947494,1300,7.88,0.0,7.93,7.87,7.93,1.0,1300
WAYN,2010-03-05,6.2883937736,6.2883937736,6.2883937736,6.2883937736,0,7.88,0.0,7.88,7.88,7.88,1.0,0
WAYN,2010-03-08,6.4160768959,7.1422746541,5.753720699,5.753720699,4761,8.04,0.0,8.95,7.21,7.21,1.0,4761
WAYN,2010-03-09,6.2564729931,6.695383726,5.977166163,5.977166163,4859,7.84,0.0,8.39,7.49,7.49,1.0,4859
WAYN,2010-03-10,6.1367700659,6.7831658726,6.1208096756,6.1208096756,4392,7.69,0.0,8.5,7.67,7.67,1.0,4392
WAYN,2010-03-11,6.8549876289,6.9347895803,6.0011067484,6.0011067484,3800,8.59,0.0,8.69,7.52,7.52,1.0,3800
WAYN,2010-03-12,6.3681957251,6.6714431406,6.3681957251,6.6714431406,2451,7.98,0.0,8.36,7.98,8.36,1.0,2451
WAYN,2010-03-15,6.9427697755,6.9427697755,5.977166163,6.0011067484,8115,8.7,0.0,8.7,7.49,7.52,1.0,8115
WAYN,2010-03-16,6.3282947494,6.6874035308,6.2724333833,6.6874035308,6285,7.93,0.0,8.38,7.86,8.38,1.0,6285
WAYN,2010-03-17,6.779175775,6.779175775,6.2644531882,6.2644531882,3638,8.495,0.0,8.495,7.85,7.85,1.0,3638
