symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
WSC,2017-11-30,10.5,11.05,9.75,9.75,823180,10.5,0.0,11.05,9.75,9.75,1.0,823180
WSC,2017-12-01,11.1,12.125,10.5813,10.7,587329,11.1,0.0,12.125,10.5813,10.7,1.0,587329
WSC,2017-12-04,11.15,11.5,10.875,11.15,588248,11.15,0.0,11.5,10.875,11.15,1.0,588248
WSC,2017-12-05,11.25,11.5,11.2,11.2,297993,11.25,0.0,11.5,11.2,11.2,1.0,297993
WSC,2017-12-06,11.3,11.5,11.01,11.35,216881,11.3,0.0,11.5,11.01,11.35,1.0,216881
WSC,2017-12-07,11.45,11.6,11.35,11.35,709927,11.45,0.0,11.6,11.35,11.35,1.0,709927
WSC,2017-12-08,11.5,11.85,11.5,11.55,51933,11.5,0.0,11.85,11.5,11.55,1.0,51933
WSC,2017-12-11,11.55,11.7,11.475,11.5,1109588,11.55,0.0,11.7,11.475,11.5,1.0,1109588
WSC,2017-12-12,11.85,12.0,11.65,11.65,547400,11.85,0.0,12.0,11.65,11.65,1.0,547400
WSC,2017-12-13,12.2,12.4,11.85,11.85,1232667,12.2,0.0,12.4,11.85,11.85,1.0,1232667
WSC,2017-12-14,12.35,12.35,12.25,12.3,543558,12.35,0.0,12.35,12.25,12.3,1.0,543558
WSC,2017-12-15,12.4,12.425,12.3,12.3,768313,12.4,0.0,12.425,12.3,12.3,1.0,768313
WSC,2017-12-18,12.45,12.45,12.3,12.45,559734,12.45,0.0,12.45,12.3,12.45,1.0,559734
WSC,2017-12-19,12.55,12.6,12.305,12.45,264102,12.55,0.0,12.6,12.305,12.45,1.0,264102
WSC,2017-12-20,12.65,12.75,12.4,12.4,255260,12.65,0.0,12.75,12.4,12.4,1.0,255260
WSC,2017-12-21,12.7,12.7,12.5,12.55,55620,12.7,0.0,12.7,12.5,12.55,1.0,55620
WSC,2017-12-22,12.7,12.95,12.6,12.65,38368,12.7,0.0,12.95,12.6,12.65,1.0,38368
WSC,2017-12-26,12.8,13.0,12.7,12.7,59689,12.8,0.0,13.0,12.7,12.7,1.0,59689
WSC,2017-12-27,12.9,12.9,12.75,12.9,61544,12.9,0.0,12.9,12.75,12.9,1.0,61544
WSC,2017-12-28,12.85,13.0,12.7,13.0,49182,12.85,0.0,13.0,12.7,13.0,1.0,49182
WSC,2017-12-29,12.7,13.15,12.55,12.85,119777,12.7,0.0,13.15,12.55,12.85,1.0,119777
WSC,2018-01-02,12.95,13.2,12.65,13.1,144412,12.95,0.0,13.2,12.65,13.1,1.0,144412
WSC,2018-01-03,12.9,13.0,12.6,13.0,131900,12.9,0.0,13.0,12.6,13.0,1.0,131900
WSC,2018-01-04,12.95,13.0,12.85,13.0,53079,12.95,0.0,13.0,12.85,13.0,1.0,53079
WSC,2018-01-05,12.9,13.0,12.7,13.0,81276,12.9,0.0,13.0,12.7,13.0,1.0,81276
WSC,2018-01-08,12.45,12.9,12.45,12.9,102304,12.45,0.0,12.9,12.45,12.9,1.0,102304
WSC,2018-01-09,12.65,12.9,12.6,12.6,114098,12.65,0.0,12.9,12.6,12.6,1.0,114098
WSC,2018-01-10,12.8,12.85,12.55,12.8,94960,12.8,0.0,12.85,12.55,12.8,1.0,94960
WSC,2018-01-11,12.8,12.85,12.5,12.8,34696,12.8,0.0,12.85,12.5,12.8,1.0,34696
WSC,2018-01-12,12.75,12.8,12.55,12.8,36184,12.75,0.0,12.8,12.55,12.8,1.0,36184
WSC,2018-01-16,12.75,12.875,12.65,12.7,46510,12.75,0.0,12.875,12.65,12.7,1.0,46510
WSC,2018-01-17,12.7,12.8,12.55,12.75,48699,12.7,0.0,12.8,12.55,12.75,1.0,48699
WSC,2018-01-18,12.6,12.75,12.45,12.65,112315,12.6,0.0,12.75,12.45,12.65,1.0,112315
