symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
WSFS,2010-01-04,7.9908409821,8.0524749272,7.9692691013,8.0031677711,67500,25.93,0.0,26.13,25.86,25.97,1.0,22500
WSFS,2010-01-05,7.8275110276,8.0648017162,7.8275110276,7.9538606151,88500,25.4,0.0,26.17,25.4,25.81,1.0,29500
WSFS,2010-01-06,7.7905306605,7.9538606151,7.7535502935,7.8521646056,74400,25.28,0.0,25.81,25.16,25.48,1.0,24800
WSFS,2010-01-07,7.8598688488,7.8768181837,7.7381418072,7.8614096974,113100,25.505,0.0,25.56,25.11,25.51,1.0,37700
WSFS,2010-01-08,8.0000860739,8.0524749272,7.8460012111,7.8644913947,102000,25.96,0.0,26.13,25.46,25.52,1.0,34000
WSFS,2010-01-11,7.8460012111,8.0339847437,7.7658770825,8.0339847437,27000,25.46,0.0,26.07,25.2,26.07,1.0,9000
WSFS,2010-01-12,7.8521646056,8.0339847437,7.7966940551,7.7966940551,47100,25.48,0.0,26.07,25.3,25.3,1.0,15700
WSFS,2010-01-13,7.8798998809,7.9939226794,7.7997757523,7.9137985507,66000,25.57,0.0,25.94,25.31,25.68,1.0,22000
WSFS,2010-01-14,7.9754324958,8.1510892394,7.941533826,7.9846775876,186000,25.88,0.0,26.45,25.77,25.91,1.0,62000
WSFS,2010-01-15,7.8244293303,8.04939323,7.8244293303,8.0216579547,56100,25.39,0.0,26.12,25.39,26.03,1.0,18700
WSFS,2010-01-19,8.0093311656,8.0124128629,7.8244293303,7.8244293303,54300,25.99,0.0,26.0,25.39,25.39,1.0,18100
WSFS,2010-01-20,7.8768181837,7.9538606151,7.7381418072,7.9507789178,39000,25.56,0.0,25.81,25.11,25.8,1.0,13000
WSFS,2010-01-21,8.0247396519,8.0894552943,7.6826712566,7.8768181837,224700,26.04,0.0,26.25,24.93,25.56,1.0,74900
WSFS,2010-01-22,8.0124128629,8.1310582072,7.8490829084,7.9939226794,207600,26.0,0.0,26.385,25.47,25.94,1.0,69200
WSFS,2010-01-25,7.9261253398,8.0802102025,7.6610993758,8.0802102025,43800,25.72,0.0,26.22,24.86,26.22,1.0,14600
WSFS,2010-01-26,7.941533826,8.0124128629,7.7073248347,7.7504685962,41100,25.77,0.0,26.0,25.01,25.15,1.0,13700
WSFS,2010-01-27,8.0093311656,8.0432298355,7.8706547892,7.8706547892,64200,25.99,0.0,26.1,25.54,25.54,1.0,21400
