symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
WSTC,2013-03-22,16.2902135419,16.7048107052,16.0656400785,16.4111377145,10274900,18.86,0.0,19.34,18.6,19.0,1.0,10274900
WSTC,2013-03-25,16.3247633055,16.5406993281,15.8756163786,16.4111377145,1244300,18.9,0.0,19.15,18.38,19.0,1.0,1244300
WSTC,2013-03-26,16.4284125964,16.4975121236,16.0656400785,16.2211140147,637900,19.02,0.0,19.1,18.6,18.78,1.0,637900
WSTC,2013-03-27,16.4111377145,16.4370500373,16.195201692,16.3334007464,341600,19.0,0.0,19.03,18.75,18.91,1.0,341600
WSTC,2013-03-28,16.5752490917,16.6270737371,16.2902135419,16.3247633055,331100,19.19,0.0,19.25,18.86,18.9,1.0,331100
WSTC,2013-04-01,16.5925239735,16.6270737371,16.4802372418,16.4802372418,168100,19.21,0.0,19.25,19.08,19.08,1.0,168100
WSTC,2013-04-02,16.8602846415,16.8602846415,16.549336769,16.5666116508,400200,19.52,0.0,19.52,19.16,19.18,1.0,400200
WSTC,2013-04-03,16.8861969642,16.8948344051,16.722085587,16.8084599961,307800,19.55,0.0,19.56,19.36,19.46,1.0,307800
WSTC,2013-04-04,17.1453201913,17.1453201913,16.7998225552,16.8430097597,527500,19.85,0.0,19.85,19.45,19.5,1.0,527500
WSTC,2013-04-05,17.5340050319,17.5771922364,17.0071211368,17.0157585777,521000,20.3,0.0,20.35,19.69,19.7,1.0,521000
WSTC,2013-04-08,17.5599173546,17.6894789681,17.2748818048,17.3785310956,407900,20.33,0.0,20.48,20.0,20.12,1.0,407900
WSTC,2013-04-09,17.9313273134,17.9313273134,17.2835192457,17.2835192457,309200,20.76,0.0,20.76,20.01,20.01,1.0,309200
WSTC,2013-04-10,18.3286495949,18.4970796925,17.6290168818,17.6290168818,512700,21.22,0.0,21.415,20.41,20.41,1.0,512700
WSTC,2013-04-11,18.0781638087,18.3977491221,17.879502668,18.2250003041,178000,20.93,0.0,21.3,20.7,21.1,1.0,178000
WSTC,2013-04-12,18.1213510132,18.1213510132,17.3180690093,17.9054149907,207800,20.98,0.0,20.98,20.05,20.73,1.0,207800
WSTC,2013-04-15,17.6462917636,18.052251486,17.5858296773,18.052251486,139800,20.43,0.0,20.9,20.36,20.9,1.0,139800
WSTC,2013-04-16,18.0133830019,18.2163628631,17.4044434183,17.4044434183,91400,20.855,0.0,21.09,20.15,20.15,1.0,91400
WSTC,2013-04-17,17.9140524316,18.1299884541,17.3958059774,17.9140524316,199200,20.74,0.0,20.99,20.14,20.74,1.0,199200
WSTC,2013-04-18,17.8881401089,18.1213510132,17.4130808592,17.4908178273,114400,20.71,0.0,20.98,20.16,20.25,1.0,114400
WSTC,2013-04-19,17.6704765981,17.9226898725,17.4735429455,17.6549292045,817000,20.458,0.0,20.75,20.23,20.44,1.0,817000
WSTC,2013-04-22,17.7758533771,17.8708652271,17.5340050319,17.5599173546,375100,20.58,0.0,20.69,20.3,20.33,1.0,375100
WSTC,2013-04-23,18.138625895,18.1904505404,17.7931282589,17.8190405816,175600,21.0,0.0,21.06,20.6,20.63,1.0,175600
WSTC,2013-04-24,17.965877077,18.1818130995,17.7672159362,18.1818130995,105000,20.8,0.0,21.05,20.57,21.05,1.0,105000
WSTC,2013-04-25,18.1040761314,18.1040761314,17.4735429455,17.9010962702,170200,20.96,0.0,20.96,20.23,20.725,1.0,170200
WSTC,2013-04-26,17.9226898725,18.138625895,17.7153912908,18.138625895,78400,20.75,0.0,21.0,20.51,21.0,1.0,78400
WSTC,2013-04-29,17.9831519588,18.0781638087,17.7413036135,17.7413036135,177300,20.82,0.0,20.93,20.54,20.54,1.0,177300
WSTC,2013-04-30,18.138625895,18.138625895,17.9226898725,17.9831519588,57700,21.0,0.0,21.0,20.75,20.82,1.0,57700
WSTC,2013-05-01,18.8296211672,20.5052847023,18.6395974674,18.8728083717,871800,21.8,0.0,23.74,21.58,21.85,1.0,871800
WSTC,2013-05-02,18.6611910696,19.4641983561,18.6350060494,19.4030999756,233200,21.38,0.225,22.3,21.35,22.23,1.0,233200
WSTC,2013-05-03,18.9317696118,19.1325214334,18.329514147,18.8881279114,232600,21.69,0.0,21.92,21.0,21.64,1.0,232600
WSTC,2013-05-06,19.2896315547,19.7260485582,18.5128092884,19.1063364132,197800,22.1,0.0,22.6,21.21,21.89,1.0,197800
WSTC,2013-05-07,19.4205566557,19.6387651575,19.211076494,19.2896315547,78300,22.25,0.0,22.5,22.01,22.1,1.0,78300
WSTC,2013-05-08,19.4380133358,19.586395117,19.3001055627,19.4205566557,75100,22.27,0.0,22.44,22.112,22.25,1.0,75100
WSTC,2013-05-09,19.3769149554,19.5514817568,19.3507299352,19.4118283156,48300,22.2,0.0,22.4,22.17,22.24,1.0,48300
WSTC,2013-05-10,19.455470016,19.6387651575,19.211076494,19.4205566557,54600,22.29,0.0,22.5,22.01,22.25,1.0,54600
WSTC,2013-05-13,19.0539663728,19.6038517972,18.9404979519,19.5078400564,68800,21.83,0.0,22.46,21.7,22.35,1.0,68800
WSTC,2013-05-14,19.2198048341,19.4816550362,18.9404979519,19.1150647533,119400,22.02,0.0,22.32,21.7,21.9,1.0,119400
WSTC,2013-05-15,19.3769149554,19.4205566557,19.0539663728,19.2634465345,104900,22.2,0.0,22.25,21.83,22.07,1.0,104900
WSTC,2013-05-16,19.6649501777,19.8482453191,19.333273255,19.4467416759,179600,22.53,0.0,22.74,22.15,22.28,1.0,179600
WSTC,2013-05-17,19.7260485582,19.8918870195,19.5514817568,19.6824068578,74800,22.6,0.0,22.79,22.4,22.55,1.0,74800
WSTC,2013-05-20,19.7696902585,19.9006153596,19.5427534167,19.7609619184,92400,22.65,0.0,22.8,22.39,22.64,1.0,92400
WSTC,2013-05-21,19.8133319589,20.075182161,19.6976814529,20.075182161,69100,22.7,0.0,23.0,22.5675,23.0,1.0,69100
WSTC,2013-05-22,20.0053554404,20.4897783143,19.7609619184,19.8046036188,222900,22.92,0.0,23.475,22.64,22.69,1.0,222900
WSTC,2013-05-23,20.1100955212,20.1602834766,19.7260485582,19.7260485582,133000,23.04,0.0,23.0975,22.6,22.6,1.0,133000
WSTC,2013-05-24,20.1275522014,20.206107262,19.8918870195,19.9878987603,32000,23.06,0.0,23.15,22.79,22.9,1.0,32000
WSTC,2013-05-28,20.0926388411,20.3021190028,19.7958752787,20.3021190028,62200,23.02,0.0,23.26,22.68,23.26,1.0,62200
WSTC,2013-05-29,20.075182161,20.1624655617,19.8220602989,19.8831586794,60700,23.0,0.0,23.1,22.71,22.78,1.0,60700
WSTC,2013-05-30,19.8133319589,20.328304023,19.7609619184,20.328304023,80300,22.7,0.0,23.29,22.64,23.29,1.0,80300
WSTC,2013-05-31,19.9878987603,20.0489971407,19.7609619184,19.7609619184,130500,22.9,0.0,22.97,22.64,22.64,1.0,130500
WSTC,2013-06-03,19.2198048341,20.0228121205,18.9754113121,19.9966271003,204700,22.02,0.0,22.94,21.74,22.91,1.0,204700
WSTC,2013-06-04,19.3420015951,19.4118283156,18.957954632,19.211076494,72600,22.16,0.0,22.24,21.72,22.01,1.0,72600
WSTC,2013-06-05,18.6175493693,19.2896315547,18.5128092884,19.1674347937,107000,21.33,0.0,22.1,21.21,21.96,1.0,107000
WSTC,2013-06-06,19.3681866153,19.3681866153,18.1549473456,18.3469708271,72700,22.19,0.0,22.19,20.8,21.02,1.0,72700
WSTC,2013-06-07,19.9442570599,19.9878987603,19.1063364132,19.4641983561,45100,22.85,0.0,22.9,21.89,22.3,1.0,45100
WSTC,2013-06-10,20.5377841847,20.581425885,19.5645742669,19.7435052383,182500,23.53,0.0,23.58,22.415,22.62,1.0,182500
WSTC,2013-06-11,20.5203275045,20.5726975449,19.951676149,20.1537372216,86600,23.51,0.0,23.57,22.8585,23.09,1.0,86600
WSTC,2013-06-12,20.5115991645,21.0440279087,20.1363678248,20.5988825652,190500,23.5,0.0,24.11,23.0701,23.6,1.0,190500
WSTC,2013-06-13,20.5028708244,20.5115991645,19.9879860437,20.3981307435,65100,23.49,0.0,23.5,22.9001,23.37,1.0,65100
WSTC,2013-06-14,20.5115991645,21.078941269,20.3457607031,20.4766858042,74000,23.5,0.0,24.15,23.31,23.46,1.0,74000
WSTC,2013-06-17,20.3632173833,20.950198253,20.1188238613,20.5115991645,135600,23.33,0.0,24.0025,23.05,23.5,1.0,135600
WSTC,2013-06-18,20.5290558446,20.5552408648,20.0489971407,20.4854141442,494200,23.52,0.0,23.55,22.97,23.47,1.0,494200
WSTC,2013-06-19,20.5203275045,20.5988825652,20.1973789219,20.4243157638,304800,23.51,0.0,23.6,23.14,23.4,1.0,304800
WSTC,2013-06-20,20.4094775856,20.6599809456,18.7659311505,20.3108473428,339600,23.383,0.0,23.67,21.5,23.27,1.0,339600
WSTC,2013-06-21,19.4380133358,20.5988825652,19.3507299352,20.2933906627,772400,22.27,0.0,23.6,22.17,23.25,1.0,772400
WSTC,2013-06-24,18.6699194097,19.7260485582,18.0065655644,19.3943716355,218200,21.39,0.0,22.6,20.63,22.22,1.0,218200
WSTC,2013-06-25,18.835757871,18.9055845916,18.5128092884,18.71356111,177400,21.58,0.0,21.66,21.21,21.44,1.0,177400
WSTC,2013-06-26,18.6699194097,19.211076494,18.1200339853,18.8532145512,255400,21.39,0.0,22.01,20.76,21.6,1.0,255400
WSTC,2013-06-27,18.9754113121,19.8918870195,18.4429825679,18.6524627296,284500,21.74,0.0,22.79,21.13,21.37,1.0,284500
WSTC,2013-06-28,19.3245449149,19.708591878,18.5651793289,19.0103246724,3027400,22.14,0.0,22.58,21.27,21.78,1.0,3027400
WSTC,2013-07-01,19.5602100968,19.8133319589,18.7484744703,19.455470016,133100,22.41,0.0,22.7,21.48,22.29,1.0,133100
WSTC,2013-07-02,19.708591878,19.9791704202,19.0648767979,19.6038517972,92200,22.58,0.0,22.89,21.8425,22.46,1.0,92200
WSTC,2013-07-03,19.9529854,20.1537372216,19.5165683965,19.6736785177,76300,22.86,0.0,23.09,22.36,22.54,1.0,76300
WSTC,2013-07-05,20.1886505819,29.2486675745,19.7522335784,29.2486675745,46800,23.13,0.0,33.51,22.63,33.51,1.0,46800
WSTC,2013-07-08,20.5203275045,20.581425885,20.1100955212,20.3021190028,58800,23.51,0.0,23.58,23.04,23.26,1.0,58800
WSTC,2013-07-09,20.825819407,21.078941269,19.9813525052,20.5988825652,204900,23.86,0.0,24.15,22.8925,23.6,1.0,204900
WSTC,2013-07-10,20.8956461275,21.1225829694,20.7123509861,20.7647210265,158700,23.94,0.0,24.2,23.73,23.79,1.0,158700
WSTC,2013-07-11,21.2884214307,21.3757048314,20.9131028077,21.1487679896,82900,24.39,0.0,24.49,23.96,24.23,1.0,82900
WSTC,2013-07-12,20.5988825652,21.2360513903,19.9966271003,21.2098663701,179200,23.6,0.0,24.33,22.91,24.3,1.0,179200
WSTC,2013-07-15,20.948016168,21.0680308439,20.3894024035,20.5988825652,112800,24.0,0.0,24.1375,23.36,23.6,1.0,112800
WSTC,2013-07-16,20.7734493666,21.0091145484,20.5421483547,21.0091145484,209800,23.8,0.0,24.07,23.535,24.07,1.0,209800
WSTC,2013-07-17,20.4854141442,20.9131028077,20.2584773024,20.9131028077,114900,23.47,0.0,23.96,23.21,23.96,1.0,114900
WSTC,2013-07-18,19.9355287198,21.20113803,19.8831586794,20.6425242655,135200,22.84,0.0,24.29,22.78,23.65,1.0,135200
WSTC,2013-07-19,19.9006153596,20.258390019,19.8657019993,19.8918870195,101900,22.8,0.0,23.2099,22.76,22.79,1.0,101900
WSTC,2013-07-22,19.6387651575,19.8176961289,19.5340250766,19.6998635379,98000,22.5,0.0,22.705,22.38,22.57,1.0,98000
WSTC,2013-07-23,19.4903833763,19.7260485582,19.1814001378,19.6474934975,249600,22.33,0.0,22.6,21.976,22.51,1.0,249600
WSTC,2013-07-24,19.3856432954,19.6496755825,19.2983598947,19.4816550362,107800,22.21,0.0,22.5125,22.11,22.32,1.0,107800
WSTC,2013-07-25,19.5951234571,19.5951234571,18.4778959282,19.3070882348,138000,22.45,0.0,22.45,21.17,22.12,1.0,138000
WSTC,2013-07-26,19.6213084773,19.9529854,19.4729266961,19.4729266961,139000,22.48,0.0,22.86,22.31,22.31,1.0,139000
WSTC,2013-07-29,19.333273255,19.8089677888,19.0539663728,19.6824068578,100800,22.15,0.0,22.695,21.83,22.55,1.0,100800
WSTC,2013-07-30,19.2547181944,19.4205566557,18.9492262919,19.4205566557,101600,22.06,0.0,22.25,21.71,22.25,1.0,101600
WSTC,2013-07-31,19.1674347937,19.4030999756,19.1412497735,19.2285331742,96800,21.96,0.0,22.23,21.93,22.03,1.0,96800
WSTC,2013-08-01,20.3195756829,20.6425242655,19.2459898543,19.2896315547,271900,23.28,0.0,23.65,22.05,22.1,1.0,271900
WSTC,2013-08-02,20.6337959254,20.7123509861,20.2148356021,20.2148356021,85100,23.64,0.0,23.73,23.16,23.16,1.0,85100
WSTC,2013-08-05,20.9131028077,20.956744508,20.3894024035,20.8825536174,191000,23.96,0.0,24.01,23.36,23.925,1.0,191000
WSTC,2013-08-06,21.1225829694,21.1882200867,20.7123509861,20.9043744676,95800,24.2,0.0,24.2752,23.73,23.95,1.0,95800
WSTC,2013-08-07,20.9742011882,21.2622364105,20.948016168,21.0265712286,63600,24.03,0.0,24.36,24.0,24.09,1.0,63600
WSTC,2013-08-08,20.8825536174,21.1239806086,20.6270286998,20.9794768621,41800,23.7,0.225,23.974,23.41,23.81,1.0,41800
WSTC,2013-08-09,20.5565390673,20.8825536174,20.362692578,20.8825536174,26600,23.33,0.0,23.7,23.11,23.7,1.0,26600
WSTC,2013-08-12,20.5653502713,20.6138118937,20.2745805374,20.4243710064,24900,23.34,0.0,23.395,23.01,23.18,1.0,24900
