symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
ZIONW,2010-05-20,7.8,8.15,7.58,7.8,3073500,7.8,0.0,8.15,7.58,7.8,1.0,3073500
ZIONW,2010-05-21,8.1,8.39,7.55,7.7,197800,8.1,0.0,8.39,7.55,7.7,1.0,197800
ZIONW,2010-05-24,7.81,8.1,7.81,8.1,38700,7.81,0.0,8.1,7.81,8.1,1.0,38700
ZIONW,2010-05-25,7.9,7.9,7.3,7.32,14100,7.9,0.0,7.9,7.3,7.32,1.0,14100
ZIONW,2010-05-26,8.35,8.53,8.1,8.23,415600,8.35,0.0,8.53,8.1,8.23,1.0,415600
ZIONW,2010-05-27,8.84,8.85,8.42,8.42,109700,8.84,0.0,8.85,8.42,8.42,1.0,109700
ZIONW,2010-05-28,8.41,8.65,8.17,8.65,169500,8.41,0.0,8.65,8.17,8.65,1.0,169500
ZIONW,2010-06-01,7.93,8.59,7.88,8.49,250500,7.93,0.0,8.59,7.88,8.49,1.0,250500
ZIONW,2010-06-02,8.2,8.2,7.82,7.82,83000,8.2,0.0,8.2,7.82,7.82,1.0,83000
ZIONW,2010-06-03,8.0,8.35,7.95,8.2,257400,8.0,0.0,8.35,7.95,8.2,1.0,257400
ZIONW,2010-06-04,7.46,7.78,7.4,7.78,20200,7.46,0.0,7.78,7.4,7.78,1.0,20200
ZIONW,2010-06-07,7.0,7.35,7.0,7.31,14700,7.0,0.0,7.35,7.0,7.31,1.0,14700
ZIONW,2010-06-08,7.605,7.605,6.84,6.97,65100,7.605,0.0,7.605,6.84,6.97,1.0,65100
ZIONW,2010-06-09,7.64,7.77,7.25,7.285,227000,7.64,0.0,7.77,7.25,7.285,1.0,227000
ZIONW,2010-06-10,8.09,8.09,7.79,7.89,26800,8.09,0.0,8.09,7.79,7.89,1.0,26800
ZIONW,2010-06-11,8.0,8.0,7.8,7.85,249800,8.0,0.0,8.0,7.8,7.85,1.0,249800
ZIONW,2010-06-14,8.08,8.8,8.0,8.39,55800,8.08,0.0,8.8,8.0,8.39,1.0,55800
ZIONW,2010-06-15,8.5,8.61,8.04,8.2299,399400,8.5,0.0,8.61,8.04,8.2299,1.0,399400
ZIONW,2010-06-16,8.5,8.72,8.4,8.72,61000,8.5,0.0,8.72,8.4,8.72,1.0,61000
