ticker,exchange,assetType,priceCurrency,startDate,endDate
000001,SHE,Stock,CNY,2007-08-30,2018-06-06
000002,SHE,Stock,CNY,2000-01-04,2018-06-06
000004,SHE,Stock,CNY,2007-08-31,2018-06-06
000005,SHE,Stock,CNY,2001-01-02,2018-06-06
000006,SHE,Stock,CNY,2007-08-31,2018-06-06
000007,SHE,Stock,CNY,2007-08-31,2018-06-06
000008,SHE,Stock,CNY,2000-01-03,2018-06-05
000009,SHE,Stock,CNY,2000-01-03,2018-06-06
000010,SHE,Stock,CNY,2007-08-31,2018-06-06
000011,SHE,Stock,CNY,2018-01-02,2018-06-06
000012,SHE,Stock,CNY,2000-01-03,2018-06-06
000014,SHE,Stock,CNY,2018-01-02,2018-06-06
000015,SHE,Stock,CNY,,
000016,SHE,Stock,CNY,2018-01-02,2018-06-06
000017,SHE,Stock,CNY,2018-01-02,2018-06-06
000018,SHE,Stock,CNY,2007-08-31,2018-06-06
000019,SHE,Stock,CNY,2007-10-12,2018-06-06
000020,SHE,Stock,CNY,2007-08-31,2018-06-06
000021,SHE,Stock,CNY,2000-01-03,2018-06-06
000022,SHE,Stock,CNY,2007-08-31,2018-04-24
000023,SHE,Stock,CNY,2018-01-02,2018-06-06
000024,SHE,Stock,CNY,2007-01-04,2015-12-07
000025,SHE,Stock,CNY,2007-08-31,2018-06-06
000026,SHE,Stock,CNY,2018-01-02,2018-06-06
000027,SHE,Stock,CNY,2000-01-03,2018-06-06
000028,SHE,Stock,CNY,2018-01-02,2018-06-06
000029,SHE,Stock,CNY,2016-09-13,2018-04-24
000030,SHE,Stock,CNY,2000-01-03,2018-06-06
000031,SHE,Stock,CNY,2007-08-31,2018-06-06
000032,SHE,Stock,CNY,2018-01-02,2018-06-06
000033,SHE,Stock,CNY,2007-08-31,2017-07-06
000034,SHE,Stock,CNY,2017-09-28,2018-06-06
000035,SHE,Stock,CNY,2007-09-28,2017-08-21
000036,SHE,Stock,CNY,2000-01-03,2018-06-06
000037,SHE,Stock,CNY,2000-01-03,2018-06-06
000038,SHE,Stock,CNY,2013-02-08,2018-02-23
000039,SHE,Stock,CNY,2018-01-02,2018-06-06
000040,SHE,Stock,CNY,2018-01-02,2018-06-06
000042,SHE,Stock,CNY,2000-01-03,2018-05-14
000043,SHE,Stock,CNY,2000-01-03,2018-06-06
000045,SHE,Stock,CNY,2000-01-03,2018-06-06
000046,SHE,Stock,CNY,2007-08-31,2018-06-06
000048,SHE,Stock,CNY,2000-01-04,2018-04-27
000049,SHE,Stock,CNY,2018-01-02,2018-06-06
000050,SHE,Stock,CNY,2000-01-03,2018-06-06
000055,SHE,Stock,CNY,2000-01-03,2018-06-06
000056,SHE,Stock,CNY,2017-10-31,2018-06-06
000058,SHE,Stock,CNY,2000-01-03,2018-06-06
000059,SHE,Stock,CNY,2000-01-03,2018-06-06
000060,SHE,Stock,CNY,2018-01-02,2018-06-06
